Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-04-07T09:52:51.007Z,1.74,4.23,1.053,0,0,0.000,905,0.338
2026-04-07T09:52:52.006Z,2.00,4.18,1.043,0,0,0.000,905,0.338
2026-04-07T09:52:53.006Z,2.14,4.14,1.033,1,0,0.000,4769,1.476
2026-04-07T09:52:54.008Z,2.32,4.11,1.029,1,0,0.000,4454,1.372
2026-04-07T09:52:55.006Z,1.84,4.08,1.024,1,0,0.000,4454,1.372
2026-04-07T09:52:56.007Z,2.14,4.06,1.019,1,0,0.000,5050,1.580
2026-04-07T09:52:57.006Z,1.82,4.05,1.014,1,0,0.000,5050,1.580
2026-04-07T09:52:58.008Z,2.04,4.03,1.010,1,0,0.000,4205,1.295
2026-04-07T09:52:59.006Z,1.85,4.02,1.010,1,0,0.000,4205,1.295
2026-04-07T09:53:00.008Z,2.11,4.02,1.005,1,0,0.000,4126,1.272
2026-04-07T09:53:01.006Z,1.55,4.01,1.005,1,0,0.000,4126,1.272
2026-04-07T09:53:02.008Z,2.06,4.01,1.005,1,0,0.000,4817,1.479
2026-04-07T09:53:03.006Z,1.37,4.00,1.005,1,0,0.000,4817,1.479
2026-04-07T09:53:04.010Z,2.11,4.00,1.001,1,0,0.000,2546,0.839
2026-04-07T09:53:05.006Z,1.55,4.00,1.001,1,0,0.000,2546,0.839
2026-04-07T09:53:06.010Z,2.10,4.00,1.001,1,0,0.000,3756,1.164
2026-04-07T09:53:07.006Z,1.30,4.00,1.001,1,0,0.000,3756,1.164
2026-04-07T09:53:08.009Z,2.00,4.00,1.001,1,0,0.000,4363,1.374
2026-04-07T09:53:09.006Z,1.07,4.00,1.001,1,0,0.000,4363,1.374
2026-04-07T09:53:10.006Z,1.25,4.00,1.001,1,0,0.000,4363,1.374
2026-04-07T09:53:11.006Z,1.21,4.00,1.001,1,0,0.000,4758,1.646
2026-04-07T09:53:12.006Z,1.74,4.00,1.001,1,0,0.000,4758,1.646
2026-04-07T09:53:13.006Z,1.08,4.00,1.001,1,0,0.000,4517,1.419
2026-04-07T09:53:14.006Z,1.50,3.99,1.001,1,0,0.000,4517,1.419
2026-04-07T09:53:15.006Z,1.22,3.99,1.001,1,0,0.000,5021,1.543
2026-04-07T09:53:16.006Z,1.28,3.99,1.001,1,0,0.000,5021,1.543
2026-04-07T09:53:17.006Z,1.09,3.99,1.001,1,0,0.000,4861,1.522
2026-04-07T09:53:18.009Z,2.02,3.99,1.001,1,0,0.000,2755,0.861
2026-04-07T09:53:19.006Z,1.23,3.99,1.001,1,0,0.000,2755,0.861
2026-04-07T09:53:20.006Z,1.53,3.99,1.001,1,0,0.000,2755,0.861
2026-04-07T09:53:21.012Z,1.10,3.99,1.001,1,0,0.000,3572,1.491
2026-04-07T09:53:22.006Z,0.54,3.99,1.001,1,0,0.000,3572,1.491
2026-04-07T09:53:23.006Z,0.05,4.06,1.000,1,2,0.408,3572,1.491
2026-04-07T09:53:24.006Z,0.05,4.31,1.000,1,5,1.014,3572,1.491
2026-04-07T09:53:25.006Z,0.27,4.43,1.081,1,9,1.434,5019,3.063
2026-04-07T09:53:26.006Z,0.33,4.37,1.074,1,12,1.907,5019,3.063
2026-04-07T09:53:27.006Z,0.36,4.54,1.089,2,15,2.450,3102,1.903
2026-04-07T09:53:28.006Z,0.36,4.47,1.087,2,19,2.718,3102,1.903
2026-04-07T09:53:29.006Z,0.71,4.39,1.076,2,20,2.912,3328,2.038
2026-04-07T09:53:30.007Z,0.32,4.31,1.066,3,20,2.912,1807,1.128
2026-04-07T09:53:31.006Z,0.74,4.43,1.083,3,22,3.184,1807,1.128
2026-04-07T09:53:32.006Z,1.90,4.35,1.074,3,22,3.184,1947,1.275
2026-04-07T09:53:33.006Z,2.65,4.28,1.065,3,22,3.184,1182,0.739
2026-04-07T09:53:34.007Z,2.27,4.22,1.054,3,22,3.184,1631,1.012
2026-04-07T09:53:35.006Z,2.54,4.17,1.045,3,22,3.184,1631,1.012
2026-04-07T09:53:36.009Z,2.34,4.14,1.034,3,22,3.184,1531,0.950
2026-04-07T09:53:37.006Z,2.22,4.10,1.030,3,22,3.184,1531,0.950
2026-04-07T09:53:38.009Z,2.15,4.08,1.020,3,22,3.184,1697,1.054
2026-04-07T09:53:39.006Z,2.58,4.06,1.015,3,22,3.184,1697,1.054
2026-04-07T09:53:40.010Z,2.25,4.04,1.015,3,22,3.184,1115,0.698
2026-04-07T09:53:41.006Z,1.93,4.03,1.010,3,22,3.184,1115,0.698
2026-04-07T09:53:42.009Z,2.10,4.02,1.006,3,22,3.184,1433,0.982
2026-04-07T09:53:43.007Z,1.79,4.02,1.006,3,22,3.184,1433,0.982
2026-04-07T09:53:44.010Z,2.23,4.01,1.006,3,22,3.184,1747,1.085
2026-04-07T09:53:45.006Z,1.75,4.01,1.001,3,22,3.184,1747,1.085
2026-04-07T09:53:46.006Z,2.10,4.00,1.001,3,22,3.184,1581,0.992
2026-04-07T09:53:47.006Z,1.54,4.00,1.001,3,22,3.184,1581,0.992
2026-04-07T09:53:48.010Z,2.24,4.00,1.001,3,22,3.184,1540,0.976
2026-04-07T09:53:49.006Z,1.37,4.00,1.001,3,22,3.184,1540,0.976
2026-04-07T09:53:50.008Z,2.11,4.00,1.001,3,22,3.184,1622,1.004
2026-04-07T09:53:51.006Z,1.35,4.00,1.001,3,22,3.184,1622,1.004
2026-04-07T09:53:52.007Z,2.09,4.00,1.001,3,22,3.184,1653,1.098
2026-04-07T09:53:53.006Z,1.29,3.99,1.001,3,22,3.184,1653,1.098
2026-04-07T09:53:54.010Z,2.12,3.99,1.001,3,22,3.184,1726,1.071
2026-04-07T09:53:55.006Z,1.06,3.99,1.001,3,22,3.184,1726,1.071
2026-04-07T09:53:56.009Z,1.99,3.99,1.001,3,22,3.184,1729,1.071
2026-04-07T09:53:57.006Z,1.19,3.99,1.001,3,22,3.184,1729,1.071
2026-04-07T09:53:58.010Z,2.05,3.99,1.001,3,22,3.184,1741,1.076
2026-04-07T09:53:59.006Z,1.07,3.98,1.001,3,22,3.184,1741,1.076
2026-04-07T09:54:00.006Z,1.75,3.98,1.001,3,22,3.184,1741,1.076
2026-04-07T09:54:01.006Z,1.20,3.98,1.001,3,22,3.184,1779,1.108
2026-04-07T09:54:02.006Z,1.57,3.98,1.001,3,22,3.184,1779,1.108
2026-04-07T09:54:03.010Z,1.08,3.98,0.997,3,22,3.184,1790,1.200
2026-04-07T09:54:04.009Z,2.02,3.98,0.997,3,22,3.184,581,0.391
2026-04-07T09:54:05.009Z,1.22,3.98,0.997,3,22,3.184,581,0.391
2026-04-07T09:54:06.006Z,2.79,3.99,0.997,3,22,3.184,687,0.443
2026-04-07T09:54:07.009Z,3.10,3.99,0.997,3,22,3.184,1714,1.063
2026-04-07T09:54:08.006Z,3.29,3.99,0.997,3,22,3.184,1714,1.063
2026-04-07T09:54:09.010Z,3.25,4.00,0.997,3,22,3.184,1826,1.144
2026-04-07T09:54:10.006Z,3.37,4.00,0.997,3,22,3.184,1826,1.144
2026-04-07T09:54:11.009Z,3.13,4.00,0.997,3,22,3.184,1642,1.015
2026-04-07T09:54:12.006Z,3.08,4.00,0.997,3,22,3.184,1642,1.015
2026-04-07T09:54:13.007Z,3.01,4.01,1.001,3,22,3.184,1648,1.098
2026-04-07T09:54:14.006Z,3.12,4.00,1.001,3,22,3.184,1648,1.098
2026-04-07T09:54:15.009Z,3.15,4.00,1.001,3,22,3.184,1632,1.012
2026-04-07T09:54:16.006Z,3.04,4.00,1.001,3,22,3.184,1632,1.012
2026-04-07T09:54:17.011Z,3.02,4.00,1.001,3,22,3.184,1718,1.066
2026-04-07T09:54:18.006Z,2.86,4.00,1.001,3,22,3.184,1718,1.066
2026-04-07T09:54:19.010Z,3.14,4.00,1.001,3,22,3.184,1850,1.144
2026-04-07T09:54:20.006Z,2.56,4.00,1.001,3,22,3.184,1850,1.144
2026-04-07T09:54:21.007Z,3.03,3.99,1.001,3,22,3.184,1944,1.216
2026-04-07T09:54:22.006Z,2.87,3.99,1.001,3,22,3.184,1944,1.216
2026-04-07T09:54:23.010Z,3.17,3.99,1.001,3,22,3.184,1111,0.791
2026-04-07T09:54:24.006Z,2.59,3.99,1.001,3,22,3.184,1111,0.791
2026-04-07T09:54:25.008Z,3.04,3.99,1.001,3,22,3.184,1403,0.873
2026-04-07T09:54:26.006Z,2.52,3.99,1.001,3,22,3.184,1403,0.873
2026-04-07T09:54:27.007Z,3.18,3.98,1.001,3,22,3.184,1671,1.035
2026-04-07T09:54:28.006Z,2.57,3.98,1.001,3,22,3.184,1671,1.035
2026-04-07T09:54:29.008Z,3.05,3.98,1.001,3,22,3.184,1237,0.788
2026-04-07T09:54:30.006Z,2.27,3.98,1.001,3,22,3.184,1237,0.788
2026-04-07T09:54:31.009Z,3.10,3.98,0.997,3,22,3.184,1813,1.123
2026-04-07T09:54:32.006Z,2.13,3.98,0.997,3,22,3.184,1813,1.123
2026-04-07T09:54:33.006Z,2.80,3.98,0.997,3,22,3.184,1813,1.123
2026-04-07T09:54:34.007Z,2.01,3.99,0.997,3,22,3.184,1902,1.250
2026-04-07T09:54:35.007Z,2.99,3.99,0.997,3,22,3.184,1834,1.136
2026-04-07T09:54:36.006Z,2.15,3.99,0.997,3,22,3.184,1834,1.136
2026-04-07T09:54:37.009Z,3.06,4.00,0.997,3,22,3.184,1629,1.021
2026-04-07T09:54:38.006Z,2.03,4.00,0.997,3,22,3.184,1629,1.021
2026-04-07T09:54:39.013Z,2.99,4.00,0.997,3,22,3.184,1618,1.045
2026-04-07T09:54:40.007Z,2.18,4.00,0.997,3,22,3.184,1618,1.045
2026-04-07T09:54:41.006Z,2.80,4.00,1.001,3,22,3.184,1618,1.045
2026-04-07T09:54:42.010Z,2.05,4.00,1.001,3,22,3.184,1599,0.992
2026-04-07T09:54:43.006Z,2.56,4.00,1.001,3,22,3.184,1599,0.992
2026-04-07T09:54:44.007Z,2.19,4.00,1.001,3,22,3.184,1624,1.096
2026-04-07T09:54:45.006Z,2.57,4.00,1.001,3,22,3.184,1624,1.096
2026-04-07T09:54:46.010Z,2.06,4.00,1.001,3,22,3.184,1640,1.015
2026-04-07T09:54:47.006Z,2.49,4.00,1.001,3,22,3.184,1640,1.015
2026-04-07T09:54:48.008Z,2.20,3.99,1.001,3,22,3.184,1728,1.080
2026-04-07T09:54:49.006Z,2.04,3.99,1.001,3,22,3.184,1728,1.080
2026-04-07T09:54:50.009Z,2.07,3.99,1.001,3,22,3.184,2054,1.266
2026-04-07T09:54:51.006Z,2.02,3.99,1.001,3,22,3.184,2054,1.266
2026-04-07T09:54:52.010Z,2.21,3.99,1.001,3,22,3.184,1755,1.087
2026-04-07T09:54:53.006Z,2.05,3.99,1.001,3,22,3.184,1755,1.087
2026-04-07T09:54:54.008Z,2.08,3.98,1.001,3,22,3.184,1749,1.169
2026-04-07T09:54:55.006Z,1.77,3.98,1.001,3,22,3.184,1749,1.169
2026-04-07T09:54:56.007Z,2.22,3.98,1.001,3,22,3.184,1650,1.022
2026-04-07T09:54:57.006Z,1.75,3.98,1.001,3,22,3.184,1650,1.022
2026-04-07T09:54:58.010Z,2.09,3.98,0.997,3,22,3.184,1865,1.159
2026-04-07T09:54:59.006Z,1.55,3.98,0.997,3,22,3.184,1865,1.159
2026-04-07T09:55:00.007Z,2.13,3.99,0.997,3,22,3.184,1816,1.132
2026-04-07T09:55:01.006Z,1.53,3.99,0.997,3,22,3.184,1816,1.132
2026-04-07T09:55:02.007Z,2.12,3.99,0.997,3,22,3.184,1893,1.172
2026-04-07T09:55:03.006Z,1.34,3.99,0.997,3,22,3.184,1893,1.172
2026-04-07T09:55:04.010Z,2.00,4.00,0.997,3,22,3.184,1157,0.803
2026-04-07T09:55:05.006Z,1.59,4.00,0.997,3,22,3.184,1157,0.803
2026-04-07T09:55:06.007Z,2.04,4.00,0.997,3,22,3.184,1475,0.917
2026-04-07T09:55:07.006Z,1.34,4.00,0.997,3,22,3.184,1475,0.917
2026-04-07T09:55:08.010Z,2.02,4.00,1.001,3,22,3.184,1519,0.951
2026-04-07T09:55:09.006Z,1.22,4.00,1.001,3,22,3.184,1519,0.951
2026-04-07T09:55:10.010Z,2.08,4.00,1.001,3,22,3.184,1667,1.033
2026-04-07T09:55:11.006Z,1.10,4.00,1.001,3,22,3.184,1667,1.033
2026-04-07T09:55:12.009Z,2.03,4.00,1.001,3,22,3.184,1751,1.092
2026-04-07T09:55:13.006Z,1.24,4.00,1.001,3,22,3.184,1751,1.092
2026-04-07T09:55:14.006Z,1.84,4.00,1.001,3,22,3.184,1751,1.092
2026-04-07T09:55:15.006Z,1.11,3.99,1.001,3,22,3.184,1697,1.141
2026-04-07T09:55:16.006Z,1.84,3.99,1.001,3,22,3.184,1697,1.141
2026-04-07T09:55:17.007Z,1.24,3.99,1.001,3,22,3.184,1795,1.111
2026-04-07T09:55:18.008Z,2.16,3.99,1.001,3,22,3.184,1203,0.753
2026-04-07T09:55:19.010Z,1.11,3.99,1.001,3,22,3.184,1203,0.753
2026-04-07T09:55:20.006Z,2.01,3.99,1.001,3,22,3.184,1235,0.781
2026-04-07T09:55:21.010Z,2.99,3.98,1.001,3,22,3.184,1640,0.617
2026-04-07T09:55:22.006Z,3.73,3.98,1.001,3,22,3.184,1640,0.617
2026-04-07T09:55:23.009Z,3.13,3.98,1.001,3,22,3.184,1638,0.918
2026-04-07T09:55:24.006Z,3.60,3.98,1.001,3,22,3.184,1638,0.918
2026-04-07T09:55:25.009Z,3.00,3.98,0.997,3,22,3.184,1825,0.878
2026-04-07T09:55:26.006Z,3.72,3.98,0.997,3,22,3.184,1825,0.878
2026-04-07T09:55:27.010Z,3.14,3.98,0.997,3,22,3.184,1807,0.800
2026-04-07T09:55:28.006Z,3.27,3.99,0.997,3,22,3.184,1807,0.800
2026-04-07T09:55:29.010Z,3.02,3.99,0.997,3,22,3.184,3595,1.115
2026-04-07T09:55:30.006Z,3.56,3.99,0.997,3,22,3.184,3595,1.115
2026-04-07T09:55:31.008Z,3.17,4.00,0.997,4,22,3.184,2284,0.747
2026-04-07T09:55:32.006Z,3.00,4.00,0.997,4,22,3.184,2284,0.747
2026-04-07T09:55:33.007Z,3.05,4.00,0.997,4,22,3.184,3176,1.013
2026-04-07T09:55:34.006Z,2.76,4.00,0.997,4,22,3.184,3176,1.013
2026-04-07T09:55:35.007Z,3.20,4.00,1.001,4,22,3.184,3057,1.132
2026-04-07T09:55:36.006Z,2.79,4.00,1.001,4,22,3.184,3057,1.132
2026-04-07T09:55:37.010Z,3.07,4.00,1.001,4,22,3.184,3595,1.113
2026-04-07T09:55:38.006Z,3.01,4.00,1.001,4,22,3.184,3595,1.113
2026-04-07T09:55:39.009Z,3.20,4.00,1.001,4,22,3.184,2302,0.748
2026-04-07T09:55:40.006Z,2.54,4.00,1.001,4,22,3.184,2302,0.748
2026-04-07T09:55:41.008Z,3.08,4.00,1.001,4,22,3.184,3824,1.185
2026-04-07T09:55:42.006Z,2.02,4.00,1.001,4,22,3.184,3824,1.185
2026-04-07T09:55:43.006Z,2.51,3.99,1.001,5,22,3.184,3824,1.185
2026-04-07T09:55:44.006Z,2.15,3.99,1.001,5,22,3.184,4867,1.505
