time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.009,3072,2,0,21.8,20.3,20.3,23.4,5.5,666631,5,1,1,bbr1
0.007,6904,4,0,24.0,31.9,20.3,31.9,6.9,231037,7,1,1,bbr1
0.029,9752,6,4320,24.6,29.3,20.3,31.9,6.5,231037,12,1,1,bbr1
0.006,14024,9,2417,24.3,25.7,20.3,31.9,4.9,231037,15,1,1,bbr1
0.010,17132,11,0,24.9,27.4,20.3,31.9,3.2,303115,16,1,1,bbr1
0.034,18007,12,8640,25.8,31.6,20.3,31.9,4.0,303115,24,1,1,bbr1
0.038,18007,12,7200,25.7,25.2,20.3,31.9,3.2,303115,25,1,1,bbr1
0.044,17952,12,5760,25.0,20.2,20.2,31.9,3.8,303115,26,1,1,bbr1
0.053,17952,12,5760,24.4,20.3,20.2,31.9,4.0,303115,28,1,1,bbr1
0.061,20721,14,5760,23.9,20.2,20.2,31.9,4.1,393261,30,1,1,bbr1
0.068,20721,14,5760,23.4,20.2,20.2,31.9,4.0,393261,32,1,1,bbr1
0.079,20721,14,7200,23.0,20.2,20.2,31.9,3.8,393261,35,1,1,bbr1
0.086,21498,14,7200,22.7,20.2,20.2,31.9,3.6,418547,37,1,1,bbr1
0.093,22630,15,7200,22.3,20.2,20.2,31.9,3.3,455413,39,1,1,bbr1
0.103,24541,17,8640,22.1,20.1,20.1,31.9,3.0,518168,42,1,1,bbr1
0.108,24705,17,8640,21.8,20.3,20.1,31.9,2.7,523516,44,1,1,bbr1
0.113,25351,17,8640,21.6,20.1,20.1,31.9,2.5,545157,46,1,1,bbr1
0.121,25680,17,10080,21.4,20.1,20.1,31.9,2.2,555904,49,1,1,bbr1
0.126,26515,18,10080,21.3,20.2,20.1,31.9,2.0,583123,51,1,1,bbr1
0.133,27294,18,11520,21.1,20.1,20.1,31.9,1.8,608552,54,1,1,bbr1
0.138,28800,20,11520,21.0,20.2,20.1,31.9,1.6,657663,56,1,1,bbr1
