timestamp,qdisc_type,sent_bytes,sent_pkts,dropped,overlimits,requeues,backlog_bytes,backlog_pkts,prob,delay_c_us,delay_l_us,pkts_in_c,pkts_in_l,maxq,ecn_mark,step_mark,memory_used_bytes
2026-04-01 20:57:53,fq_codel,7497,36,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:57:54,fq_codel,229604,190,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:57:55,fq_codel,1077308,762,0,0,0,23712,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32704
2026-04-01 20:57:56,fq_codel,1925552,1338,0,0,0,25194,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35008
2026-04-01 20:57:57,fq_codel,2772776,1912,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-04-01 20:57:58,fq_codel,3650190,2505,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-04-01 20:57:59,fq_codel,3908022,2681,0,0,0,23712,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36864
2026-04-01 20:58:00,fq_codel,4787051,3275,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-04-01 20:58:01,fq_codel,5641117,3854,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-04-01 20:58:02,fq_codel,6496004,4432,0,0,0,20748,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29760
2026-04-01 20:58:03,fq_codel,6557964,4475,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:04,fq_codel,6659949,4544,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:05,fq_codel,6947267,4739,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:06,fq_codel,7110016,4849,0,0,0,11953,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19328
2026-04-01 20:58:07,fq_codel,7990615,5446,0,0,0,13338,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20736
2026-04-01 20:58:08,fq_codel,8146996,5553,0,0,0,11856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18432
2026-04-01 20:58:09,fq_codel,9026016,6148,0,0,0,11953,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18496
2026-04-01 20:58:10,fq_codel,9406356,6406,0,0,0,7410,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11520
2026-04-01 20:58:11,fq_codel,10285376,7001,0,0,0,13435,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20800
2026-04-01 20:58:12,fq_codel,10703781,7286,0,0,0,16302,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25344
2026-04-01 20:58:13,fq_codel,11581195,7879,0,0,0,11856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18432
2026-04-01 20:58:14,fq_codel,11904443,8099,0,0,0,7410,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11520
2026-04-01 20:58:15,fq_codel,12652853,8604,0,0,0,8892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13824
2026-04-01 20:58:16,fq_codel,13146360,8939,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:17,fq_codel,14001474,9516,0,0,0,8892,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12992
2026-04-01 20:58:18,fq_codel,14380777,9773,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:19,fq_codel,15197282,10326,0,0,0,14820,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23040
2026-04-01 20:58:20,fq_codel,15616641,10610,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:21,fq_codel,16370806,11120,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-04-01 20:58:22,fq_codel,16863925,11456,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-04-01 20:58:23,fq_codel,17578684,11946,0,0,0,8892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13824
2026-04-01 20:58:24,fq_codel,18430170,12526,9,0,0,3028,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4688
2026-04-01 20:58:25,fq_codel,19301452,13108,14,0,0,13434,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20856
2026-04-01 20:58:26,fq_codel,20180393,13696,20,0,0,16526,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24792
2026-04-01 20:58:27,fq_codel,21049259,14276,25,0,0,11920,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18512
2026-04-01 20:58:28,fq_codel,21927101,14862,30,0,0,24000,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37224
2026-04-01 20:58:29,fq_codel,22804696,15448,37,0,0,25418,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38616
2026-04-01 20:58:30,fq_codel,23661848,16022,44,0,0,14916,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22328
