time_hms,kb_per_sec_in,kb_per_sec_out
21:16:32,0.0,0.0
21:16:33,0.0,0.0
21:16:34,0.0,0.07
21:16:35,0.07,0.21
21:16:36,0.0,0.07
21:16:37,0.0,0.0
21:16:38,0.0,0.43
21:16:39,0.0,0.0
21:16:40,0.0,0.0
21:16:41,0.0,0.0
21:16:42,0.0,0.0
21:16:43,0.0,0.0
21:16:44,0.0,0.0
21:16:45,0.0,0.0
21:16:46,0.0,0.0
21:16:47,0.0,0.0
21:16:48,0.0,0.0
21:16:49,0.07,0.07
21:16:50,0.0,0.0
21:16:51,0.0,0.07
21:16:52,0.0,0.14
21:16:53,0.0,0.0
21:16:54,0.0,0.5
21:16:55,0.0,0.0
21:16:56,0.0,0.0
21:16:57,0.0,0.0
21:16:58,0.0,0.0
21:16:59,0.0,0.0
21:17:00,0.0,0.0
21:17:01,0.04,0.04
21:17:02,15.22,386.42
21:17:03,23.44,588.62
21:17:04,22.76,635.05
21:17:05,13.84,604.04
21:17:06,11.88,595.17
21:17:07,12.43,620.32
21:17:08,13.2,617.91
21:17:09,11.53,586.32
21:17:10,11.64,612.89
21:17:11,11.95,626.19
21:17:12,12.96,654.57
21:17:13,11.93,617.24
21:17:14,11.77,614.29
21:17:15,11.64,611.32
21:17:16,12.03,618.69
21:17:17,11.49,615.81
21:17:18,12.63,626.62
21:17:19,12.0,641.02
21:17:20,12.38,645.84
21:17:21,12.17,661.64
21:17:22,14.88,844.99
21:17:23,13.19,633.57
21:17:24,13.83,849.7
21:17:25,12.79,617.86
21:17:26,12.41,620.7
21:17:27,12.12,621.89
21:17:28,14.97,842.46
21:17:29,12.74,638.04
21:17:30,14.56,828.53
21:17:31,12.6,719.72
21:17:32,14.7,844.72
21:17:33,12.58,646.86
21:17:34,12.4,633.54
21:17:35,12.96,677.86
21:17:36,12.02,620.27
21:17:37,12.76,713.64
21:17:38,13.62,818.23
21:17:39,13.65,694.14
21:17:40,14.36,850.43
21:17:41,14.39,731.61
21:17:42,12.6,798.3
21:17:43,13.78,717.74
21:17:44,11.9,634.17
21:17:45,12.92,654.26
21:17:46,11.7,629.46
21:17:47,13.2,663.18
21:17:48,11.32,734.32
21:17:49,15.25,788.61
21:17:50,12.14,705.85
21:17:51,14.73,756.38
21:17:52,12.71,683.78
21:17:53,14.61,803.44
21:17:54,12.68,680.83
21:17:55,14.53,824.55
21:17:56,12.99,618.81
21:17:57,11.76,648.65
21:17:58,13.61,640.92
21:17:59,15.48,852.18
21:18:00,12.3,645.35
21:18:01,13.41,852.14
21:18:02,14.45,744.33
21:18:03,14.66,853.91
21:18:04,13.46,748.62
21:18:05,14.6,853.6
21:18:06,12.51,666.07
21:18:07,11.92,634.17
21:18:08,12.28,646.75
21:18:09,13.01,759.1
21:18:10,13.89,691.11
21:18:11,13.81,804.06
21:18:12,13.56,699.95
21:18:13,14.01,790.09
21:18:14,13.82,705.94
21:18:15,13.59,765.5
21:18:16,13.69,728.65
21:18:17,13.63,763.5
21:18:18,13.3,736.96
21:18:19,12.33,704.58
21:18:20,14.13,741.99
21:18:21,11.74,624.62
21:18:22,11.77,645.57
21:18:23,14.48,766.49
21:18:24,15.52,812.56
21:18:25,13.09,728.12
21:18:26,14.76,830.09
21:18:27,12.78,673.45
21:18:28,13.32,842.18
21:18:29,13.57,611.3
21:18:30,12.38,754.86
21:18:31,13.46,623.04
21:18:32,12.47,618.64
