time_hms,kb_per_sec_in,kb_per_sec_out
12:15:14,0.0,0.0
12:15:15,0.0,0.0
12:15:16,0.07,0.07
12:15:17,0.0,0.07
12:15:18,0.0,0.21
12:15:19,0.0,0.0
12:15:20,0.0,0.21
12:15:21,0.0,0.0
12:15:22,0.0,0.0
12:15:23,0.0,0.0
12:15:24,0.0,0.0
12:15:25,0.0,0.0
12:15:26,0.0,0.0
12:15:27,0.0,0.0
12:15:28,0.0,0.0
12:15:29,0.0,0.0
12:15:30,0.07,0.0
12:15:31,0.0,0.07
12:15:32,0.0,0.0
12:15:33,0.0,0.14
12:15:34,0.0,0.07
12:15:35,0.0,0.0
12:15:36,0.0,0.28
12:15:37,0.0,0.0
12:15:38,0.0,0.0
12:15:39,0.0,0.0
12:15:40,0.0,0.0
12:15:41,0.0,0.0
12:15:42,0.0,0.0
12:15:43,0.04,0.04
12:15:44,4.36,86.66
12:15:45,8.07,296.9
12:15:46,6.92,268.78
12:15:47,12.85,457.81
12:15:48,2.97,110.76
12:15:49,12.42,446.3
12:15:50,3.85,131.44
12:15:51,13.84,512.62
12:15:52,3.02,93.05
12:15:53,8.77,318.92
12:15:54,3.04,96.08
12:15:55,3.3,113.74
12:15:56,3.67,106.43
12:15:57,1.92,60.55
12:15:58,8.98,369.21
12:15:59,4.33,84.26
12:16:00,5.54,234.83
12:16:01,5.33,141.71
12:16:02,7.51,324.92
12:16:03,11.99,440.57
12:16:04,19.06,853.8
12:16:05,9.54,345.99
12:16:06,19.7,852.12
12:16:07,8.22,267.45
12:16:08,7.15,283.9
12:16:09,7.48,231.87
12:16:10,3.4,124.06
12:16:11,6.55,228.91
12:16:12,3.3,109.34
12:16:13,4.7,159.57
12:16:14,2.92,91.56
12:16:15,9.28,324.95
12:16:16,1.94,54.67
12:16:17,4.95,181.83
12:16:18,2.28,69.41
12:16:19,8.36,301.29
12:16:20,2.32,72.37
12:16:21,5.36,212.78
12:16:22,2.56,69.44
12:16:23,9.17,339.67
12:16:24,2.73,94.57
12:16:25,12.45,469.63
12:16:26,5.78,147.8
12:16:27,3.38,104.86
12:16:28,2.48,70.89
12:16:29,7.54,301.28
12:16:30,12.5,440.28
12:16:31,2.83,82.79
12:16:32,5.21,184.6
12:16:33,1.66,38.4
12:16:34,9.65,372.18
12:16:35,2.97,85.72
12:16:36,5.73,208.24
12:16:37,2.67,84.26
12:16:38,6.82,237.77
12:16:39,4.96,163.93
12:16:40,6.82,257.13
12:16:41,2.77,79.74
12:16:42,6.38,236.33
12:16:43,3.27,100.41
12:16:44,9.19,356.18
12:16:45,3.89,112.24
12:16:46,6.12,225.96
12:16:47,3.54,91.6
12:16:48,7.24,294.04
12:16:49,2.47,53.17
12:16:50,6.22,259.92
12:16:51,4.17,119.73
12:16:52,4.47,177.22
12:16:53,5.86,184.75
12:16:54,5.17,202.53
12:16:55,7.56,245.16
12:16:56,2.08,57.6
12:16:57,4.67,158.13
12:16:58,4.63,186.07
12:16:59,7.23,254.01
12:17:00,4.79,191.97
12:17:01,8.29,295.58
12:17:02,3.06,95.99
12:17:03,8.18,285.21
12:17:04,12.27,500.65
12:17:05,12.72,481.44
12:17:06,4.41,158.08
12:17:07,12.88,457.82
12:17:08,2.93,93.04
12:17:09,11.45,423.93
12:17:10,2.57,72.4
12:17:11,6.43,237.89
12:17:12,3.8,127.11
12:17:13,6.01,203.87
12:17:14,2.13,65.01
12:17:15,2.37,76.81
12:17:16,4.19,159.5
12:17:17,7.03,236.37
12:17:18,13.03,548.08
12:17:19,10.07,354.71
