  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:01:58      7.90    230.76
14:01:59     14.10    854.37
14:02:00     14.29    828.52
14:02:01     13.98    831.17
14:02:02     14.07    854.35
14:02:03      3.73    200.60
14:02:04      3.88    235.74
14:02:05      1.27     55.99
14:02:06      5.39    323.64
14:02:07      0.52      9.73
14:02:08     13.73    832.99
14:02:09     14.06    829.28
14:02:10     13.90    830.61
14:02:11     14.29    854.49
14:02:12      6.76    381.82
14:02:13     14.29    854.27
14:02:14      5.54    309.50
14:02:15     14.29    854.61
14:02:16      5.91    326.39
14:02:17     14.40    855.13
14:02:18      5.82    329.09
14:02:19     14.30    854.81
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:02:20      5.84    334.00
14:02:21     14.15    828.26
14:02:22      6.53    385.40
14:02:23     13.20    758.90
14:02:24      2.65    151.45
14:02:25     12.25    712.22
14:02:26      2.08    121.10
14:02:27     11.41    672.07
14:02:28      8.04    464.38
14:02:29     10.46    535.90
14:02:30      4.77    260.16
14:02:31      9.32    473.64
14:02:32     13.72    758.19
14:02:33      9.70    522.93
14:02:34     12.96    760.12
14:02:35      8.09    428.74
14:02:36     13.26    761.96
14:02:37      7.52    385.61
14:02:38     14.29    795.07
14:02:39      9.03    457.75
14:02:40     14.01    818.56
14:02:41      5.91    277.47
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:02:42     13.72    774.89
14:02:43      8.90    462.56
14:02:44     14.10    826.96
14:02:45      6.96    320.80
14:02:46     13.72    751.94
14:02:47      9.80    491.38
14:02:48     13.83    769.78
14:02:49      3.74    139.23
14:02:50     13.83    753.99
14:02:51      9.61    506.67
14:02:52     13.72    754.93
14:02:53      8.76    439.12
14:02:54     13.54    748.12
14:02:55      7.05    378.10
14:02:56     13.72    724.22
14:02:57     13.95    786.08
14:02:58     13.89    758.09
14:02:59     13.32    739.02
14:03:00      7.48    411.30
14:03:01     10.97    555.81
14:03:02     11.93    686.18
14:03:03     10.45    548.79
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:03:04      2.65    108.12
14:03:05      9.89    439.14
14:03:06      9.66    530.33
14:03:07      9.32    517.17
14:03:08     10.41    608.04
14:03:09      8.56    460.73
14:03:10     14.01    766.45
14:03:11      7.05    346.44
14:03:12     14.00    800.90
14:03:13      7.05    346.33
14:03:14     12.58    583.47
14:03:15     13.48    688.83
14:03:16     13.63    753.17
14:03:17      9.13    468.45
14:03:18      7.86    435.85
14:03:19      4.02    179.98
14:03:20     12.77    741.23
14:03:21      4.02    187.46
14:03:22     13.86    739.16
14:03:23      9.60    520.63
14:03:24     13.63    782.06
14:03:25      7.99    401.75
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:03:26     13.82    779.40
14:03:27      8.18    415.87
14:03:28     13.76    738.67
14:03:29     13.87    775.63
14:03:30     13.70    747.41
14:03:31      9.00    504.88
14:03:32      0.90     25.51
14:03:33     13.53    709.60
14:03:34      8.47    439.37
14:03:35     14.20    809.81
14:03:36      2.24    112.54
14:03:37     13.61    784.87
14:03:38      7.19    405.90
14:03:39     12.54    625.48
14:03:40      3.22    168.37
14:03:41     11.98    617.34
14:03:42      6.53    369.51
14:03:43     11.31    625.51
14:03:44     10.92    629.44
14:03:45     10.64    554.74
14:03:46      5.02    273.73
14:03:47      9.42    476.67
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:03:48     11.26    601.90
14:03:49      9.13    483.94
14:03:50      8.04    467.68
14:03:51      7.80    372.29
14:03:52     13.63    757.53
14:03:53      8.19    432.80
14:03:54     13.15    740.80
14:03:55      7.14    349.47
14:03:56     13.83    775.92
14:03:57      7.81    418.37
14:03:58     13.82    796.59
14:03:59      5.63    269.59
14:04:00     14.01    786.66
14:04:01      7.90    417.30
14:04:02     13.53    773.37
14:04:03      5.72    279.38
14:04:04      2.84    147.53
14:04:05      2.93    107.74
14:04:06      5.49    271.91
14:04:07      2.51    109.48
14:04:08     13.44    689.98
14:04:09      6.29    321.67
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:04:10     13.98    793.58
14:04:11     13.48    741.42
14:04:12     14.01    804.13
14:04:13     13.74    770.91
14:04:14     10.41    581.66
14:04:15      9.80    473.87
14:04:16     13.53    737.25
14:04:17     10.27    572.59
14:04:18     11.55    652.02
14:04:19      9.04    472.55
14:04:20     13.53    733.01
14:04:21      6.48    234.90
14:04:22     14.19    796.65
14:04:23     10.83    614.92
14:04:24      8.23    479.59
14:04:25      6.86    368.21
14:04:26      8.09    465.48
14:04:27      5.44    248.06
14:04:28     13.81    774.82
14:04:29      7.43    422.12
14:04:30      8.14    487.00
14:04:31      4.30    242.36
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:04:32     14.29    854.64
14:04:33      5.91    332.47
14:04:34     14.38    854.43
14:04:35      7.24    405.56
14:04:36     14.11    853.73
14:04:37      4.78    267.89
14:04:38     14.01    854.91
14:04:39     14.24    829.78
14:04:40     14.00    826.59
14:04:41     14.10    854.37
14:04:42      6.38    350.95
14:04:43     14.10    854.29
14:04:44      5.25    299.51
14:04:45     14.19    854.31
14:04:46      6.67    378.23
14:04:47     14.23    854.36
14:04:48      2.05    106.52
14:04:49     13.89    823.90
14:04:50      7.47    447.60
14:04:51     12.82    759.86
14:04:52      8.05    469.84
14:04:53     12.16    716.55
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:04:54      7.29    432.05
14:04:55     11.40    668.82
14:04:56     10.60    633.25
14:04:57     11.02    647.26
14:04:58      7.42    437.33
14:04:59     10.27    602.89
14:05:00      7.85    461.88
14:05:01      8.10    444.91
14:05:02     13.25    797.23
14:05:03      8.85    509.91
14:05:04      2.46    148.03
14:05:05      7.52    440.41
14:05:06      8.90    528.99
14:05:07      6.86    395.75
14:05:08     12.34    729.57
14:05:09      6.39    370.04
14:05:10     14.19    855.77
14:05:11      5.82    326.45
14:05:12     13.91    839.96
14:05:13      4.97    278.63
14:05:14     14.29    854.37
14:05:15      6.58    369.44
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
14:05:16     14.19    854.38
