  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:09:26      0.00      0.00
14:09:27      0.07      0.00
14:09:28      0.00      0.07
14:09:29      0.00      0.14
14:09:30      0.00      0.14
14:09:31      0.00      0.00
14:09:32      0.00      0.43
14:09:33      0.00      0.00
14:09:34      0.00      0.00
14:09:35      0.00      0.00
14:09:36      0.00      0.00
14:09:37      0.00      0.00
14:09:38      0.00      0.00
14:09:39      0.00      0.00
14:09:40      0.00      0.00
14:09:41      0.07      0.00
14:09:42      0.00      0.07
14:09:43      0.00      0.00
14:09:44      0.00      0.00
14:09:45      0.00      0.00
14:09:46      0.00      0.00
14:09:47      0.00      0.27
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:09:48      0.00      0.43
14:09:49      0.00      0.00
14:09:50      0.00      0.00
14:09:51      0.00      0.00
14:09:52      0.00      0.00
14:09:53      0.00      0.00
14:09:54      0.00      0.00
14:09:55      0.00      0.00
14:09:56     14.00    522.73
14:09:57     11.73    220.05
14:09:58      7.62    206.97
14:09:59      4.84    121.10
14:10:00      4.50    230.54
14:10:01      3.02     82.71
14:10:02      7.54    372.17
14:10:03      9.75    466.69
14:10:04     11.98    853.95
14:10:05     12.38    466.71
14:10:06     11.33    843.30
14:10:07      9.47    313.10
14:10:08      4.85    153.66
14:10:09      5.95    251.06
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:10:10      2.19     62.03
14:10:11      4.79    153.59
14:10:12      3.32     76.91
14:10:13      5.50    245.16
14:10:14      3.29     97.47
14:10:15      5.56    227.44
14:10:16      2.68     91.61
14:10:17      8.69    365.07
14:10:18      4.10    137.35
14:10:19      3.89    112.24
14:10:20      2.82     84.75
14:10:21      9.27    376.66
14:10:22      4.10    119.76
14:10:23      5.93    255.64
14:10:24      3.72     90.09
14:10:25      7.45    394.55
14:10:26      4.81    143.25
14:10:27     10.45    564.15
14:10:28      4.61    125.53
14:10:29      8.13    369.39
14:10:30      4.93    149.24
14:10:31      4.09    125.53
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:10:32      2.79     87.22
14:10:33      3.66     94.52
14:10:34      5.82    239.30
14:10:35      1.94     39.88
14:10:36      7.86    352.97
14:10:37      2.49     75.37
14:10:38      5.44    196.43
14:10:39      3.56     87.21
14:10:40      6.68    308.71
14:10:41      4.71    134.40
14:10:42      5.10    196.42
14:10:43      3.04     81.27
14:10:44      5.29    234.81
14:10:45      4.36    127.04
14:10:46      4.33    168.36
14:10:47      2.90     93.07
14:10:48      8.32    416.48
14:10:49      8.71    264.35
14:10:50      2.90     87.13
14:10:51      3.63    121.12
14:10:52      5.37    184.61
14:10:53      6.49    230.63
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:10:54      3.87    168.37
14:10:55      5.28    237.77
14:10:56      3.15     72.43
14:10:57      6.10    267.32
14:10:58      4.32    171.47
14:10:59     10.07    419.43
14:11:00      3.56    100.43
14:11:01      7.65    277.86
14:11:02      3.66     85.71
14:11:03      7.54    296.85
14:11:04      6.75    333.78
14:11:05     10.67    540.54
14:11:06      3.17    106.43
14:11:07      9.69    430.07
14:11:08      2.92     73.84
14:11:09      5.64    305.72
14:11:10      3.00     63.51
14:11:11      5.20    224.74
14:11:12      2.97     85.66
14:11:13      4.93    197.89
14:11:14      3.39     85.66
14:11:15      3.20     90.13
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:11:16      2.62     82.70
14:11:17      3.54     78.35
14:11:18     10.58    590.75
14:11:19      7.70    308.66
14:11:20      5.98    283.72
14:11:21      8.06    387.00
14:11:22      2.71     76.80
14:11:23      4.80    171.36
14:11:24      3.13     81.67
14:11:25      6.29    314.57
14:11:26      3.54     91.56
14:11:27      5.66    212.67
14:11:28      4.15    122.78
14:11:29      6.22    324.91
14:11:30      2.34     76.80
14:11:31      5.93    248.11
14:11:32      7.56    406.46
14:11:33     14.01    670.52
14:11:34      2.16     79.75
14:11:35      5.06    193.48
14:11:36      2.97     84.22
14:11:37      4.30    107.81
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
14:11:38      4.07    106.34
14:11:39      4.73    215.62
