  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:45:30      6.63    187.12
15:45:31     11.02    634.42
15:45:32      3.08    173.04
15:45:33     13.44    842.33
15:45:34      4.30    227.78
15:45:35     12.87    816.82
15:45:36      1.75     79.40
15:45:37     13.15    840.15
15:45:38      4.68    283.36
15:45:39     12.11    752.81
15:45:40      0.42      2.58
15:45:41     13.06    828.59
15:45:42      2.43    139.23
15:45:43     11.33    784.42
15:45:44      7.19    454.21
15:45:45     11.59    737.52
15:45:46      1.04     78.14
15:45:47     10.84    688.62
15:45:48      6.15    374.82
15:45:49      9.67    641.83
15:45:50      4.45    294.22
15:45:51      8.66    595.87
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:45:52     12.19    823.31
15:45:53     12.18    834.73
15:45:54     12.00    822.77
15:45:55      4.92    353.76
15:45:56     11.25    765.34
15:45:57      5.49    387.81
15:45:58     10.64    717.27
15:45:59      6.91    474.85
15:46:00     10.27    674.46
15:46:01      6.24    431.47
15:46:02      5.53    314.75
15:46:03      0.00      0.00
15:46:04      5.82    374.41
15:46:05      0.00      0.00
15:46:06      4.69    529.11
15:46:07      8.70    512.05
15:46:08      6.96    483.15
15:46:09     11.27    743.41
15:46:10      6.48    442.00
15:46:11     12.81    838.04
15:46:12      6.48    400.75
15:46:13     11.35    795.66
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:46:14      5.72    350.16
15:46:15     11.64    839.22
15:46:16      5.06    323.33
15:46:17     12.02    840.82
15:46:18      4.59    297.08
15:46:19     11.54    839.06
15:46:20      5.16    307.46
15:46:21     12.02    838.16
15:46:22      5.44    312.86
15:46:23     10.57    725.14
15:46:24      2.13    122.17
15:46:25     10.03    698.87
15:46:26      1.60     76.53
15:46:27     11.93    843.13
15:46:28      3.93    231.43
15:46:29     10.89    753.27
15:46:30      0.42      2.59
15:46:31     12.11    827.25
15:46:32      5.65    384.39
15:46:33     11.81    780.55
15:46:34      7.19    482.80
15:46:35     11.31    736.72
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:46:36      6.15    434.51
15:46:37     10.27    693.29
15:46:38      8.33    596.40
15:46:39      9.32    649.32
15:46:40     12.47    819.13
15:46:41     12.00    837.43
15:46:42     11.24    803.61
15:46:43      6.72    454.19
15:46:44     10.26    696.36
15:46:45      8.33    538.53
15:46:46     10.64    649.18
15:46:47      4.64    311.30
15:46:48      9.70    602.52
15:46:49      9.32    649.85
15:46:50      8.47    557.96
15:46:51      9.08    651.27
15:46:52      7.61    511.53
15:46:53      8.90    619.91
15:46:54      8.76    447.06
15:46:55     11.54    834.78
15:46:56      8.20    412.10
15:46:57      9.12    655.53
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:46:58      5.92    383.39
15:46:59      8.99    663.69
15:47:00      5.34    327.86
15:47:01     11.64    839.85
15:47:02      5.73    337.64
15:47:03      5.30    366.05
15:47:04      3.64    239.51
15:47:05     10.41    713.70
15:47:06      3.36    193.01
15:47:07     11.92    836.21
15:47:08      3.83    223.68
15:47:09     12.68    843.33
15:47:10      4.87    320.89
15:47:11     12.02    836.38
15:47:12      4.40    259.23
15:47:13     12.68    841.43
15:47:14      5.82    391.71
15:47:15     12.03    842.53
15:47:16      5.65    380.18
15:47:17     10.48    697.54
15:47:18      0.00      0.00
15:47:19     11.03    755.85
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
15:47:20      2.08    150.46
15:47:21      9.98    711.80
15:47:22      7.85    561.13
15:47:23     10.75    669.65
15:47:24     12.47    814.16
15:47:25     12.84    844.75
15:47:26     11.52    812.78
15:47:27      5.87    404.18
15:47:28      9.49    646.76
15:47:29      6.24    431.27
15:47:30      9.69    590.27
15:47:31      0.07      0.07
