Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,910.0,0,0.0,4.42,1.082
2,3780.0,1,0.0,4.3100000000000005,1.0685
3,4941.0,0,0.0,4.22,1.053
4,4769.0,0,0.0,4.15,1.0375
5,4454.0,0,0.0,4.09,1.024
6,5050.0,0,0.0,4.05,1.0165
7,4205.0,0,0.0,4.025,1.008
8,4126.0,0,0.0,4.013333333333333,1.0043333333333333
9,4817.0,0,0.0,4.0,1.001
10,2546.0,0,0.0,4.0,1.001
11,3756.0,0,0.0,4.0,1.001
12,4363.0,0,0.0,4.0,1.001
13,4758.0,0,0.0,3.99,1.001
14,4517.0,0,0.0,3.99,1.001
15,5021.0,0,0.0,3.99,1.001
16,4861.0,0,0.0,3.98,1.001
17,2755.0,0,0.0,3.98,1.001
18,3572.0,0,0.0,3.98,0.9996666666666666
19,5019.0,0,0.0,3.9850000000000003,0.997
20,4771.0,0,0.0,3.99,0.997
21,4870.0,0,0.0,3.995,0.997
22,4337.0,0,0.0,4.0,0.997
23,4249.0,0,0.0,4.0,0.997
24,2314.0,0,0.0,4.0,1.001
25,4495.0,0,0.0,4.0,1.001
26,3624.0,0,0.0,4.0,1.001
27,4627.0,0,0.0,3.99,1.001
28,3075.0,0,0.0,3.99,1.001
29,3824.0,0,0.0,3.99,1.001
30,4867.0,0,0.0,3.98,1.001
31,3208.0,0,0.0,3.98,1.001
32,4182.0,0,0.0,3.98,0.997
33,3688.0,0,0.0,3.99,0.997
34,4385.0,0,0.0,3.995,0.997
35,4547.0,0,0.0,4.0,0.997
36,4593.0,0,0.0,4.0,0.997
37,4549.0,0,0.0,4.0,1.001
38,4701.0,0,0.0,4.0,1.001
39,4358.0,0,0.0,4.0,1.001
40,1230.0,0,0.0,4.0,1.001
41,1466.0,0,0.0,3.99,1.001
42,4083.0,0,0.0,3.99,1.001
43,4831.0,0,0.0,4.0,1.001
44,5070.0,0,0.0,4.0,1.001
45,4687.0,0,0.0,4.0,1.001
46,4765.0,0,0.0,3.99,1.001
47,4680.0,0,0.0,3.99,1.001
48,4674.0,0,0.0,3.99,1.001
49,4717.0,0,0.0,3.9850000000000003,1.001
50,3527.0,0,0.0,3.98,1.001
51,3229.0,0,0.0,3.98,0.9989999999999999
52,4406.0,0,0.0,3.9850000000000003,0.997
53,3084.0,0,0.0,3.99,0.997
54,4777.0,0,0.0,4.0,0.997
55,4977.0,0,0.0,4.0,0.997
56,4616.0,0,0.0,4.0,1.001
57,5090.0,0,0.0,4.0,1.001
58,4480.0,0,0.0,4.0,1.001
59,4927.0,0,0.0,4.0,1.001
60,4653.0,0,0.0,3.99,1.001
61,4864.0,0,0.0,3.99,1.001
62,3780.0,0,0.0,3.99,1.001
63,4941.0,0,0.0,3.98,1.001
64,4769.0,0,0.0,3.98,1.001
65,4454.0,0,0.0,3.98,0.997
66,5050.0,0,0.0,3.99,0.997
67,4205.0,0,0.0,3.99,0.997
68,4126.0,0,0.0,4.0,0.997
69,4817.0,0,0.0,4.0,0.997
70,2546.0,0,0.0,4.0,1.001
71,3756.0,0,0.0,4.0,1.001
72,4363.0,0,0.0,4.0,1.001
73,4758.0,0,0.0,3.995,1.001
74,4517.0,0,0.0,3.99,1.001
75,5021.0,0,0.0,3.99,1.001
76,4861.0,0,0.0,3.98,1.001
77,2755.0,0,0.0,3.98,1.001
78,3572.0,0,0.0,3.98,0.9983333333333334
79,5019.0,0,0.0,3.9850000000000003,0.997
80,4771.0,0,0.0,3.99,0.997
81,4870.0,0,0.0,3.995,0.997
82,4337.0,0,0.0,4.0,0.997
83,4249.0,0,0.0,4.0,0.997
84,2314.0,0,0.0,4.0,1.001
85,4495.0,0,0.0,4.0,1.001
86,3624.0,0,0.0,4.0,1.001
87,4627.0,0,0.0,3.99,1.001
88,3075.0,0,0.0,3.99,1.001
89,3824.0,0,0.0,3.99,1.001
90,4867.0,0,0.0,3.98,1.001
91,3208.0,0,0.0,3.98,1.001
