  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:58:15      0.00      0.00
19:58:16      0.00      0.00
19:58:17      0.00      0.00
19:58:18      0.07      0.27
19:58:19      0.00      0.07
19:58:20      0.00      0.00
19:58:21      0.00      0.40
19:58:22      0.00      0.00
19:58:23      0.00      0.00
19:58:24      0.00      0.00
19:58:25      0.00      0.00
19:58:26      0.00      0.00
19:58:27      0.00      0.00
19:58:28      0.00      0.00
19:58:29      0.00      0.00
19:58:30      0.00      0.00
19:58:31      0.00      0.00
19:58:32      0.00      0.00
19:58:33      0.00      0.00
19:58:34      0.07      0.14
19:58:35      0.00      0.00
19:58:36      0.00      0.20
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:58:37      0.00      0.40
19:58:38      0.00      0.00
19:58:39      0.00      0.00
19:58:40      0.00      0.00
19:58:41      0.00      0.00
19:58:42      0.00      0.00
19:58:43      0.00      0.00
19:58:44      0.00      0.00
19:58:45      6.36    135.66
19:58:46     13.69    428.49
19:58:47      8.69    206.83
19:58:48     10.64    426.82
19:58:49      6.96    267.32
19:58:50      4.48    168.36
19:58:51      3.57    131.50
19:58:52      4.43    276.17
19:58:53      6.04    221.52
19:58:54      5.82    223.00
19:58:55      4.77    165.50
19:58:56      5.33    187.56
19:58:57      3.57    137.34
19:58:58      6.97    370.90
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:58:59      5.18    156.54
19:59:00      7.14    400.36
19:59:01      8.92    307.20
19:59:02      3.52    159.50
19:59:03      4.61    166.91
19:59:04     12.04    794.62
19:59:05     11.06    446.02
19:59:06      7.80    333.83
19:59:07     11.79    409.29
19:59:08      4.77    153.55
19:59:09      5.09    190.70
19:59:10      3.92    150.64
19:59:11      5.74    308.77
19:59:12      6.34    230.36
19:59:13      5.84    196.52
19:59:14      5.58    199.39
19:59:15      5.48    217.10
19:59:16      4.08    184.64
19:59:17     11.54    731.07
19:59:18      8.79    242.31
19:59:19      8.11    482.93
19:59:20      6.10    228.92
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:59:21      3.86    146.22
19:59:22      4.81    171.39
19:59:23      5.82    251.06
19:59:24      8.27    285.05
19:59:25      2.80    159.50
19:59:26      4.40    177.31
19:59:27      5.86    283.56
19:59:28      8.94    335.26
19:59:29      5.05    226.17
19:59:30      7.18    329.33
19:59:31     10.85    664.98
19:59:32     12.05    490.25
19:59:33      4.20    153.59
19:59:34      5.32    215.63
19:59:35      6.39    282.26
19:59:36     11.12    497.73
19:59:37      4.78    162.42
19:59:38      6.39    242.20
19:59:39      5.87    260.03
19:59:40     12.41    555.26
19:59:41      3.90    168.33
19:59:42      6.51    386.91
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:59:43      7.88    220.06
19:59:44      5.92    259.93
19:59:45      3.10    174.25
19:59:46     11.36    592.57
19:59:47      6.92    249.59
19:59:48      5.90    323.43
19:59:49      3.94    191.99
19:59:50     10.86    579.16
