time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,22.2,20.9,20.9,22.6,5.1,864592,5,1,1,cubic
0.007,3072,2,0,23.5,27.9,20.9,27.9,5.2,864592,7,1,1,cubic
0.027,5920,4,1440,24.0,27.1,20.9,27.9,4.8,864592,10,1,1,cubic
0.006,7344,5,0,23.4,20.4,20.3,27.9,4.1,864592,14,1,1,cubic
0.006,7344,5,0,23.9,27.4,20.3,27.9,4.1,864592,15,1,1,cubic
0.027,11759,8,0,24.9,27.0,20.3,27.9,3.2,472211,21,1,1,cubic
0.048,11830,8,8640,24.3,20.2,20.2,27.9,3.6,486570,29,1,1,cubic
0.055,11851,8,8640,23.8,20.2,20.2,27.9,3.7,498045,31,1,1,cubic
0.060,11872,8,8640,23.3,20.2,20.2,27.9,3.7,508589,33,1,1,cubic
0.069,11892,8,10080,22.9,20.2,20.2,27.9,3.6,518169,36,1,1,cubic
0.074,11912,8,10080,22.6,20.2,20.2,27.9,3.4,526963,38,1,1,cubic
0.079,11930,8,10080,22.3,20.2,20.2,27.9,3.1,534881,40,1,1,cubic
0.084,11950,8,10080,22.0,20.2,20.2,27.9,2.9,542269,42,1,1,cubic
0.090,11968,8,10080,21.8,20.2,20.2,27.9,2.6,548864,44,1,1,cubic
0.095,11985,8,10080,21.6,20.2,20.2,27.9,2.4,554655,46,1,1,cubic
0.101,12002,8,10080,21.4,20.2,20.2,27.9,2.1,560108,48,1,1,cubic
0.105,12019,8,10080,21.3,20.3,20.2,27.9,1.9,564776,50,1,1,cubic
0.110,12321,8,10080,21.1,20.2,20.2,27.9,1.7,582773,52,1,1,cubic
0.116,12654,8,10080,21.0,20.1,20.1,27.9,1.5,602141,54,1,1,cubic
0.121,12978,9,10080,20.9,20.2,20.1,27.9,1.4,620659,56,1,1,cubic
0.127,13294,9,11520,20.8,20.1,20.1,27.9,1.2,638796,59,1,1,cubic
0.132,13603,9,11520,20.7,20.1,20.1,27.9,1.1,656357,61,1,1,cubic
0.136,13904,9,11520,20.7,20.1,20.1,27.9,1.0,673251,63,1,1,cubic
0.141,14199,9,11520,20.6,20.2,20.1,27.9,0.8,689506,65,1,1,cubic
0.145,14488,10,11520,20.5,20.2,20.1,27.9,0.7,705389,67,1,1,cubic
0.150,14771,10,12960,20.5,20.2,20.1,27.9,0.6,720817,70,1,1,cubic
0.154,15049,10,12960,20.5,20.2,20.1,27.9,0.6,735856,72,1,1,cubic
0.158,15321,10,12960,20.4,20.1,20.1,27.9,0.5,750587,74,1,1,cubic
0.162,15589,10,12960,20.4,20.2,20.1,27.9,0.4,764691,76,1,1,cubic
0.166,15852,11,12960,20.4,20.2,20.1,27.9,0.4,778585,78,1,1,cubic
0.171,16111,11,14400,20.3,20.2,20.1,27.9,0.3,792240,81,1,1,cubic
0.174,16365,11,14400,20.4,20.6,20.1,27.9,0.3,803624,83,1,1,cubic
0.178,16616,11,14400,20.3,20.2,20.1,27.9,0.3,816872,85,1,1,cubic
0.183,16862,11,14400,20.3,20.1,20.1,27.9,0.2,829986,87,1,1,cubic
0.186,17106,11,14400,20.3,20.2,20.1,27.9,0.2,842784,89,1,1,cubic
0.190,17345,12,14400,20.3,20.2,20.1,27.9,0.2,855276,91,1,1,cubic
0.193,17582,12,15840,20.3,20.1,20.1,27.9,0.2,867775,94,1,1,cubic
0.197,17815,12,15840,20.3,20.2,20.1,27.9,0.1,879535,96,1,1,cubic
0.200,18045,12,15840,20.2,20.1,20.1,27.9,0.1,891595,98,1,1,cubic
0.204,18273,12,15840,20.2,20.1,20.1,27.9,0.1,903441,100,1,1,cubic
0.207,18497,12,15840,20.2,20.1,20.1,27.9,0.1,915104,102,1,1,cubic
0.210,18719,12,15840,20.2,20.1,20.1,27.9,0.1,926774,104,1,1,cubic
0.213,18938,13,15840,20.2,20.1,20.1,27.9,0.1,938128,106,1,1,cubic
0.217,19154,13,17280,20.2,20.1,20.1,27.9,0.1,949298,109,1,1,cubic
0.220,19368,13,17280,20.2,20.2,20.1,27.9,0.1,959857,111,1,1,cubic
0.224,19580,13,17280,20.2,20.1,20.1,27.9,0.1,970652,113,1,1,cubic
0.227,19790,13,17280,20.2,20.1,20.1,27.9,0.1,981500,115,1,1,cubic
0.230,19997,13,17280,20.2,20.1,20.1,27.9,0.1,991963,117,1,1,cubic
0.234,20202,14,17280,20.2,20.2,20.1,27.9,0.1,1002033,119,1,1,cubic
0.237,20405,14,18720,20.2,20.8,20.1,27.9,0.2,1008251,122,1,1,cubic
0.240,20606,14,18720,20.4,21.7,20.1,27.9,0.5,1008861,124,1,1,cubic
0.244,20805,14,18720,20.6,22.2,20.1,27.9,0.8,1007945,126,1,1,cubic
0.247,21002,14,18720,20.9,22.5,20.1,27.9,1.1,1006083,128,1,1,cubic
0.251,21197,14,18720,21.1,23.0,20.1,27.9,1.3,1002886,130,1,1,cubic
0.254,21391,14,18720,21.4,23.4,20.1,27.9,1.6,998506,132,1,1,cubic
0.256,21583,14,18720,21.5,21.8,20.1,27.9,1.3,1005497,134,1,1,cubic
0.261,21773,15,18720,21.7,23.6,20.1,27.9,1.5,1001656,136,1,1,cubic
0.267,22149,15,17280,22.0,23.5,20.1,27.9,1.6,1008560,139,1,1,cubic
0.273,22427,15,18720,22.2,23.7,20.1,27.9,1.6,1011272,143,1,1,cubic
0.278,22793,15,17280,22.4,23.7,20.1,27.9,1.6,1019319,146,1,1,cubic
0.284,23153,16,17280,22.5,23.7,20.1,27.9,1.5,1027652,150,1,1,cubic
0.290,23330,16,21600,22.5,21.9,20.1,27.9,1.3,1038874,155,1,1,cubic
0.295,23593,16,20160,23.0,26.8,20.1,27.9,2.0,1025871,157,1,1,cubic
0.301,23941,16,18720,23.1,23.7,20.1,27.9,1.7,1037349,160,1,1,cubic
0.006,23941,16,55,23.9,23.7,20.1,28.6,1.2,1002512,163,1,1,cubic
0.008,23941,16,0,24.3,26.9,20.1,28.6,1.7,986810,164,1,1,cubic
0.029,24284,16,18720,24.8,28.8,20.1,28.8,2.4,978010,181,1,1,cubic
0.034,24621,17,18720,24.9,25.2,20.1,28.8,1.9,989948,185,1,1,cubic
0.046,24871,17,21600,25.6,31.1,20.1,31.1,3.0,969705,190,1,1,cubic
0.051,25201,17,20160,26.4,32.0,20.1,32.0,3.8,953139,193,1,1,cubic
0.056,25526,17,20160,26.5,26.8,20.1,32.0,2.9,963863,197,1,1,cubic
0.061,25687,17,23040,26.5,26.8,20.1,32.0,2.3,968334,202,1,1,cubic
0.068,26006,18,20160,27.4,33.2,20.1,33.2,3.4,950685,204,1,1,cubic
0.074,26322,18,21600,27.1,25.3,20.1,33.2,3.0,971219,209,1,1,cubic
0.081,26633,18,21600,26.9,25.4,20.1,33.2,2.7,990258,213,1,1,cubic
