Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-04-07T09:26:42.118Z,0.25,4.32,1.067,0,0,0.000,781,0.324
2026-04-07T09:26:43.117Z,0.49,4.58,1.091,0,0,0.000,781,0.324
2026-04-07T09:26:44.117Z,0.43,4.49,1.087,1,0,0.000,4927,2.168
2026-04-07T09:26:45.117Z,0.81,4.40,1.082,1,0,0.000,4927,2.168
2026-04-07T09:26:46.117Z,1.05,4.33,1.071,1,0,0.000,4653,1.583
2026-04-07T09:26:47.117Z,1.23,4.26,1.061,1,0,0.000,4864,1.495
2026-04-07T09:26:48.123Z,2.10,4.21,1.050,1,0,0.000,3780,1.166
2026-04-07T09:26:49.117Z,1.27,4.16,1.041,1,0,0.000,3780,1.166
2026-04-07T09:26:50.117Z,1.30,4.13,1.032,1,0,0.000,3780,1.166
2026-04-07T09:26:51.117Z,1.07,4.10,1.026,1,0,0.000,4941,1.586
2026-04-07T09:26:52.117Z,1.24,4.07,1.021,1,0,0.000,4941,1.586
2026-04-07T09:26:53.117Z,1.51,4.05,1.016,1,0,0.000,4769,1.471
2026-04-07T09:26:54.117Z,2.10,4.04,1.011,1,0,0.000,4454,1.375
2026-04-07T09:26:55.117Z,2.27,4.03,1.011,1,0,0.000,4454,1.375
2026-04-07T09:26:56.117Z,1.95,4.02,1.007,1,0,0.000,5050,1.551
2026-04-07T09:26:57.117Z,2.45,4.02,1.007,1,0,0.000,5050,1.551
2026-04-07T09:26:58.117Z,2.07,4.01,1.002,1,0,0.000,4205,1.297
2026-04-07T09:26:59.117Z,2.51,4.01,1.002,1,0,0.000,4205,1.297
2026-04-07T09:27:00.117Z,1.94,4.00,1.002,1,0,0.000,4126,1.272
2026-04-07T09:27:01.117Z,2.16,4.00,1.002,1,0,0.000,4126,1.272
2026-04-07T09:27:02.120Z,2.08,4.00,1.002,1,0,0.000,4817,1.482
2026-04-07T09:27:03.119Z,2.89,4.00,1.002,1,0,0.000,2546,0.818
2026-04-07T09:27:04.120Z,1.95,3.99,1.002,1,0,0.000,2546,0.818
2026-04-07T09:27:05.118Z,2.38,3.99,1.002,1,0,0.000,2546,0.818
2026-04-07T09:27:06.120Z,2.09,3.99,1.002,1,0,0.000,3756,1.161
2026-04-07T09:27:07.117Z,1.97,3.99,0.998,1,0,0.000,3756,1.161
2026-04-07T09:27:08.121Z,1.96,3.99,0.998,1,0,0.000,4363,1.345
2026-04-07T09:27:09.117Z,1.40,3.99,0.998,1,0,0.000,4363,1.345
2026-04-07T09:27:10.121Z,2.00,3.99,0.998,1,0,0.000,4758,1.704
2026-04-07T09:27:11.117Z,1.75,4.00,0.998,1,0,0.000,4758,1.704
2026-04-07T09:27:12.117Z,1.24,4.00,0.998,1,0,0.000,4758,1.704
2026-04-07T09:27:13.117Z,0.93,4.00,0.998,1,0,0.000,4517,2.572
2026-04-07T09:27:14.117Z,0.86,4.00,0.998,1,0,0.000,4517,2.572
2026-04-07T09:27:15.117Z,0.54,4.00,0.998,1,0,0.000,4517,2.572
2026-04-07T09:27:16.117Z,0.69,4.00,0.998,1,1,0.048,5021,2.476
2026-04-07T09:27:17.117Z,0.70,4.00,0.998,1,1,0.048,5021,2.476
