timestamp,qdisc_type,sent_bytes,sent_pkts,dropped,overlimits,requeues,backlog_bytes,backlog_pkts,prob,delay_c_us,delay_l_us,pkts_in_c,pkts_in_l,maxq,ecn_mark,step_mark,memory_used_bytes
2026-04-07 14:21:32,dualpi2,7030,35,0,0,0,0,0,0.0,0,0,29,6,0,0,0,0
2026-04-07 14:21:33,dualpi2,48525,64,0,0,0,2964,2,0.0,0,358,29,37,2,0,0,4608
2026-04-07 14:21:34,dualpi2,461930,346,0,0,0,0,0,0.0,0,0,29,317,27,42,31,0
2026-04-07 14:21:35,dualpi2,1306809,918,0,0,0,11856,8,0.022945,0,12813,30,896,27,110,85,18688
2026-04-07 14:21:36,dualpi2,2092005,1449,0,0,0,14820,10,0.043838,0,10706,31,1428,27,130,85,23328
2026-04-07 14:21:37,dualpi2,2943470,2026,0,0,0,5928,4,0.004298,0,8504,33,1997,27,201,120,9312
2026-04-07 14:21:38,dualpi2,3792479,2601,0,0,0,5928,4,0.011644,0,5107,33,2572,27,275,170,9216
2026-04-07 14:21:39,dualpi2,4321608,2960,0,0,0,0,0,0.0,0,0,34,2926,27,288,170,0
2026-04-07 14:21:40,dualpi2,4565864,3125,0,0,0,16302,11,0.065541,0,19725,34,3102,27,317,188,25696
2026-04-07 14:21:41,dualpi2,5332286,3644,0,0,0,0,0,0.0,0,0,34,3610,27,365,206,0
2026-04-07 14:21:42,dualpi2,5536528,3782,0,0,0,10374,7,0.04412,0,15983,34,3755,27,378,206,16352
2026-04-07 14:21:43,dualpi2,6415354,4375,0,0,0,14820,10,0.030835,0,12741,34,4351,27,429,216,23360
2026-04-07 14:21:44,dualpi2,6781956,4623,0,0,0,10374,7,0.023321,0,12896,34,4596,27,462,238,16352
2026-04-07 14:21:45,dualpi2,7466720,5086,0,0,0,0,0,0.0,0,0,34,5052,27,504,260,0
2026-04-07 14:21:46,dualpi2,7590937,5170,0,0,0,7410,5,0.039783,0,16075,34,5141,27,511,260,11648
