Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,551.0,0,0.0,4.79,1.049
2,4363.0,1,0.0,4.78,1.098
3,4758.0,0,0.0,4.635,1.0955
4,4517.0,0,0.0,4.5,1.089
5,5021.0,0,0.0,4.375,1.0745
6,4861.0,0,0.0,4.24,1.0565
7,2755.0,0,0.0,4.15,1.0390000000000001
8,3572.0,0,0.0,4.09,1.0225
9,5019.0,0,0.0,4.06,1.015
10,4771.0,0,0.0,4.035,1.011
11,4870.0,0,0.0,4.02,1.006
12,4337.0,0,0.0,4.01,1.004
13,4249.0,0,0.0,4.0,1.002
14,2314.0,0,0.0,4.0,1.002
15,4495.0,0,0.0,4.0,1.002
16,3624.0,0,0.0,3.99,1.002
17,4627.0,0,0.0,3.9850000000000003,1.001
18,3075.0,0,0.15433333333333335,4.04,0.9993333333333334
19,2922.0,1,0.8106666666666666,4.32,1.066
20,1747.0,0,0.1745,4.285,1.0645
21,1581.0,0,0.1745000000000001,4.225,1.0525
22,1540.0,0,0.0,4.16,1.037
23,1622.0,0,0.0,4.105,1.0299999999999998
24,1653.0,0,0.0,4.0600000000000005,1.0154999999999998
25,1726.0,0,0.0,4.03,1.0103333333333333
26,1729.0,0,0.0,4.01,1.005
27,1741.0,0,0.0,4.01,1.005
28,1779.0,0,0.0,4.0,1.0
29,1790.0,0,0.0,4.0,1.0
30,581.0,0,0.0,4.0,1.0
31,687.0,0,0.0,4.0,1.0
32,1714.0,0,0.0,4.0,1.0
33,1826.0,0,0.0,4.0,1.0
34,1642.0,0,0.0,4.0,1.0
35,1648.0,0,0.0,4.0,1.0
36,1632.0,0,0.0,4.0,1.0
37,1718.0,0,0.0,4.0,1.0
38,1850.0,0,0.0,4.0,1.0
39,1944.0,0,0.0,4.0,1.0
40,1111.0,0,0.0,4.0,1.0
41,1403.0,0,0.0,4.0,1.0
42,1671.0,0,0.0,4.0,1.0
43,1237.0,0,0.0,4.0,1.0
44,1813.0,0,0.0,4.0,1.0
45,1902.0,0,0.0,4.0,1.0
46,1834.0,0,0.0,4.0,1.0
47,1629.0,0,0.0,4.0,1.0
48,1618.0,0,0.0,4.0,1.0
49,1599.0,0,0.0,4.0,1.0
50,1624.0,0,0.0,4.0,1.0
51,1640.0,0,0.0,4.0,1.0
52,1728.0,0,0.0,4.0,1.0
53,2054.0,0,0.0,4.0,1.0
54,1755.0,0,0.0,4.0,1.0
55,1749.0,0,0.0,4.0,1.0
56,802.0,1,0.0,4.0,1.0
57,1865.0,0,0.0,4.0,1.0
58,732.0,2,0.0,4.0,1.0
59,1893.0,1,0.0,4.0,1.0
60,1157.0,0,0.0,4.0,1.0
61,1475.0,0,0.0,4.0,1.0
62,1519.0,0,0.0,4.0,1.0
63,738.0,1,0.0,4.0,1.0
64,1751.0,1,0.0,4.0,1.0
65,1697.0,0,0.0,4.0,1.0
66,1795.0,0,0.0,4.0,1.0
67,1203.0,0,0.0,4.0,1.0
68,1235.0,0,0.0,4.0,1.0
69,1640.0,0,0.0,4.0,1.0
70,1638.0,0,0.0,4.0,1.0
71,1825.0,0,0.0,4.0,1.0
72,1807.0,0,0.0,4.0,1.0
73,1947.0,0,0.0,4.0,1.0
74,1182.0,0,0.0,4.0,1.0
75,1631.0,0,0.0,4.0,1.0
76,1531.0,0,0.0,4.0,1.0
77,1697.0,0,0.0,4.0,1.0
78,1115.0,0,0.0,4.0,1.0
79,1433.0,0,0.0,4.0,1.0
80,1747.0,0,0.0,4.0,1.0
81,1581.0,0,0.0,4.0,1.0
82,1540.0,0,0.0,4.0,1.0
83,1622.0,0,0.0,4.0,1.0
84,1653.0,0,0.0,4.0,1.0
85,1726.0,0,0.0,4.0,1.0
86,3311.0,1,0.0,4.0,1.0
87,3433.0,0,0.0,4.0,1.0
88,3420.0,0,0.0,4.0,1.0
89,3433.0,0,0.0,4.0,1.0
90,1012.0,0,0.0,4.0,1.0
91,1270.0,0,0.0,4.0,1.0
92,3253.0,0,0.0,4.0,1.0
