Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,823.0,0,0.0,4.21,1.051
2,4337.0,1,0.0,4.15,1.0365
3,4249.0,0,0.0,4.09,1.024
4,2314.0,0,0.0,4.05,1.0145
5,4495.0,0,0.0,4.025,1.008
6,3624.0,0,0.0,4.01,1.0055
7,4627.0,0,0.0,4.005,1.003
8,3075.0,0,0.0,4.0,1.003
9,3824.0,0,0.0,4.0,1.003
10,4867.0,0,0.0,3.99,1.003
11,3208.0,0,0.0,3.9933333333333336,0.999
12,4182.0,0,0.0,4.0,0.999
13,3688.0,0,0.0,4.0,0.999
14,4385.0,0,0.0,4.0,0.999
15,4547.0,0,0.0,4.0,0.999
16,4593.0,0,0.0,4.006666666666667,0.999
17,4549.0,0,0.0,4.01,0.999
18,4701.0,0,0.0,4.01,1.001
19,1012.0,1,0.0,4.003333333333333,1.003
20,1466.0,1,0.0,3.9966666666666666,1.003
21,3253.0,1,0.0,3.99,0.999
22,3289.0,0,0.0,3.995,0.999
23,3348.0,0,0.0,4.0,0.999
24,3176.0,0,0.0,4.0,0.999
25,3264.0,0,0.0,4.0,0.999
26,3309.0,0,0.0,4.0,0.999
27,3680.0,0,0.4046666666666667,4.056666666666667,0.9996666666666667
28,3906.0,0,0.8253333333333333,4.27,1.061
29,2152.0,0,0.0,4.1899999999999995,1.045
30,2762.0,0,0.0,4.115,1.029
31,3235.0,0,0.0,4.08,1.023
32,2371.0,0,0.0,4.043333333333333,1.014
33,3013.0,0,0.0,4.02,1.0074999999999998
34,3142.0,0,0.0,4.01,1.003
35,3057.0,0,0.0,4.0,1.001
36,3090.0,0,0.0,4.0,1.001
37,3097.0,0,0.0,4.0,1.001
38,3137.0,0,0.0,4.0,1.001
39,3128.0,0,0.0,3.99,1.001
40,3150.0,0,0.0,3.99,1.001
41,3137.0,0,0.0,3.99,1.001
42,3692.0,0,0.1955,3.99,1.0005
43,3387.0,0,0.4518333333333333,3.99,1.0
44,3539.0,0,0.5661666666666669,4.08,1.02
45,3268.0,0,0.5454999999999997,4.155,1.0379999999999998
46,3682.0,0,0.6515000000000004,4.305,1.0295
47,3622.0,0,1.0324999999999998,4.625,1.0915
48,3720.0,0,0.9909999999999997,4.8100000000000005,1.049
49,2402.0,0,0.22800000000000065,4.72,1.0955
50,3125.0,0,0.0,4.535,1.091
51,3004.0,0,0.011499999999999844,4.365,1.0735000000000001
52,3153.0,0,0.3205,4.279999999999999,1.0619999999999998
53,3447.0,0,0.7274999999999991,4.4350000000000005,1.038
54,3191.0,0,0.3465000000000007,4.445,1.0835
55,3456.0,0,0.6219999999999999,4.54,1.0425
56,2610.0,0,0.0,4.41,1.08
57,2952.0,0,0.0,4.305,1.0665
58,3255.0,0,0.0013333333333331865,4.17,1.0406666666666666
59,3102.0,0,0.21466666666666612,4.109999999999999,1.016
60,3328.0,0,0.8150000000000013,4.145,1.036
61,3422.0,0,0.753499999999999,4.23,1.0265
62,3595.0,0,0.4175000000000004,4.28,1.061
63,2284.0,0,0.0,4.195,1.048
64,3176.0,0,0.0,4.115,1.0310000000000001
65,3057.0,0,0.05299999999999905,4.06,1.0170000000000001
66,3595.0,0,0.16100000000000136,4.03,1.008
67,2302.0,0,0.0,4.025,1.006
68,2922.0,0,0.0,4.01,1.004
69,3292.0,0,0.0,4.0,1.004
70,3176.0,0,0.0,4.0,1.0
71,3127.0,0,0.0,4.0,1.0
72,3202.0,0,0.0,4.0,1.0
73,3191.0,0,0.0,4.0,1.0
74,3360.0,0,0.0,4.0,1.0
75,3311.0,0,0.0,4.0,1.0
76,3433.0,0,0.0,4.0,1.0
77,4701.0,1,0.0,4.0,1.0
78,4358.0,0,0.0,4.0,1.0
79,1230.0,0,0.0,4.0,1.0
80,1466.0,0,0.0,4.0,1.0
81,4083.0,0,0.0,4.0,1.0
82,4831.0,0,0.0,4.0,1.0
83,5070.0,0,0.0,4.0,1.0
84,4687.0,0,0.0,4.0,1.0
85,4765.0,0,0.0,4.0,1.0
86,4680.0,0,0.0,4.0,1.0
87,4674.0,0,0.0,4.0,1.0
88,4717.0,0,0.0,4.0,1.0
89,3527.0,0,0.0,4.0,1.0
90,3229.0,0,0.0,4.0,1.0
