timestamp,qdisc_type,sent_bytes,sent_pkts,dropped,overlimits,requeues,backlog_bytes,backlog_pkts,prob,delay_c_us,delay_l_us,pkts_in_c,pkts_in_l,maxq,ecn_mark,step_mark,memory_used_bytes
2026-03-30 20:28:45,fq_codel,7569,36,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:28:46,fq_codel,198765,166,0,0,0,20748,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26432
2026-03-30 20:28:47,fq_codel,1002454,710,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-03-30 20:28:48,fq_codel,1420026,996,0,0,0,25194,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35840
2026-03-30 20:28:49,fq_codel,2298852,1589,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-03-30 20:28:50,fq_codel,2659853,1834,0,0,0,22230,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31232
2026-03-30 20:28:51,fq_codel,3537267,2427,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-03-30 20:28:52,fq_codel,3902067,2676,0,0,0,22230,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31232
2026-03-30 20:28:53,fq_codel,4779411,3268,0,0,0,23712,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-03-30 20:28:54,fq_codel,5035896,3443,0,0,0,23712,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35200
2026-03-30 20:28:55,fq_codel,5916204,4037,0,0,0,20748,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33536
2026-03-30 20:28:56,fq_codel,6335587,4322,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:28:57,fq_codel,7103457,4842,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:28:58,fq_codel,7444284,5074,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:28:59,fq_codel,8274225,5637,0,0,0,7410,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11520
2026-03-30 20:29:00,fq_codel,8535682,5815,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:29:01,fq_codel,9300414,6334,0,0,0,10374,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15296
2026-03-30 20:29:02,fq_codel,10154779,6913,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:29:03,fq_codel,11007040,7490,0,0,0,14820,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23040
2026-03-30 20:29:04,fq_codel,11474929,7809,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:29:05,fq_codel,11957790,8135,0,0,0,8892,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13824
2026-03-30 20:29:07,fq_codel,12628779,8591,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:29:08,fq_codel,12963440,8817,0,0,0,10374,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15296
2026-03-30 20:29:09,fq_codel,13841102,9411,0,0,0,7410,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11520
2026-03-30 20:29:10,fq_codel,14260161,9695,0,0,0,11856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18432
2026-03-30 20:29:11,fq_codel,15081200,10251,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-30 20:29:12,fq_codel,15438188,10493,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:29:13,fq_codel,16317208,11088,0,0,0,11856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18432
2026-03-30 20:29:14,fq_codel,16721078,11362,0,0,0,11856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16768
2026-03-30 20:29:15,fq_codel,17598713,11957,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:29:16,fq_codel,17966738,12213,0,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:29:17,fq_codel,18839270,12804,4,0,0,1514,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2344
2026-03-30 20:29:18,fq_codel,19717942,13388,6,0,0,16430,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25504
2026-03-30 20:29:19,fq_codel,20598832,13978,10,0,0,10406,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16168
2026-03-30 20:29:20,fq_codel,21456532,14554,13,0,0,11984,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18592
2026-03-30 20:29:21,fq_codel,22335972,15143,17,0,0,13434,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20856
2026-03-30 20:29:22,fq_codel,23204046,15725,20,0,0,7474,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11600
2026-03-30 20:29:23,fq_codel,24081972,16313,23,0,0,14916,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23160
2026-03-30 20:29:24,fq_codel,24947888,16893,26,0,0,3028,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4688
2026-03-30 20:29:25,fq_codel,25827326,17480,30,0,0,11888,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18472
2026-03-30 20:29:26,fq_codel,26696840,18062,34,0,0,17816,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26024
2026-03-30 20:29:27,fq_codel,27570631,18646,38,0,0,17912,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26976
2026-03-30 20:29:28,fq_codel,28448363,19232,41,0,0,14884,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22288
2026-03-30 20:29:29,fq_codel,29323245,19817,44,0,0,14948,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23200
2026-03-30 20:29:30,fq_codel,30202556,20405,48,0,0,13402,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20816
2026-03-30 20:29:31,fq_codel,31074346,20989,52,0,0,17912,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27808
2026-03-30 20:29:32,fq_codel,31936982,21565,54,0,0,3028,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4688
2026-03-30 20:29:33,fq_codel,32813741,22148,58,0,0,20812,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32336
2026-03-30 20:29:34,fq_codel,33694534,22737,61,0,0,14916,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23160
2026-03-30 20:29:35,fq_codel,34524544,23294,65,0,0,14884,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23120
2026-03-30 20:29:36,fq_codel,35402346,23881,68,0,0,14916,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23160
2026-03-30 20:29:37,fq_codel,36227827,24434,72,0,0,13402,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19984
2026-03-30 20:29:38,fq_codel,37106014,25022,75,0,0,13402,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20816
2026-03-30 20:29:39,fq_codel,37980674,25608,79,0,0,13402,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20816
2026-03-30 20:29:40,fq_codel,38858406,26194,82,0,0,17912,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27808
2026-03-30 20:29:41,fq_codel,39704242,26757,86,0,0,11920,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18512
2026-03-30 20:29:42,fq_codel,40582104,27345,89,0,0,13499,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20880
2026-03-30 20:29:43,fq_codel,41438553,27918,92,0,0,14884,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23120
2026-03-30 20:29:44,fq_codel,42316384,28507,96,0,0,10374,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16128
2026-03-30 20:29:45,fq_codel,43173684,29082,99,0,0,11984,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18592
2026-03-30 20:29:46,fq_codel,44053092,29671,103,0,0,13434,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20856
2026-03-30 20:29:47,fq_codel,44925692,30256,107,0,0,10470,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16248
2026-03-30 20:29:48,fq_codel,45802077,30843,110,0,0,16430,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25504
2026-03-30 20:29:49,fq_codel,46673592,31428,114,0,0,11920,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18512
2026-03-30 20:29:50,fq_codel,47551712,32018,117,0,0,13466,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20896
