time_hms,kb_per_sec_in,kb_per_sec_out
20:32:31,3.41,76.5
20:32:32,14.72,780.78
20:32:33,13.99,830.75
20:32:34,13.98,852.5
20:32:35,13.6,828.96
20:32:36,7.66,463.36
20:32:37,11.49,681.94
20:32:38,10.41,628.75
20:32:39,10.64,636.71
20:32:40,8.52,516.66
20:32:41,9.88,590.53
20:32:42,11.08,678.45
20:32:43,8.84,522.49
20:32:44,10.98,676.16
20:32:45,8.47,501.05
20:32:46,12.31,752.39
20:32:47,7.71,454.73
20:32:48,8.52,519.46
20:32:49,7.02,408.6
20:32:50,13.73,854.01
20:32:51,6.01,350.23
20:32:52,13.81,853.62
20:32:53,12.44,695.97
20:32:54,13.61,829.89
20:32:55,13.73,852.57
20:32:56,6.96,401.27
20:32:57,12.87,786.52
20:32:58,4.4,251.24
20:32:59,13.34,812.25
20:33:00,3.64,206.3
20:33:01,12.78,508.81
20:33:02,13.23,425.1
20:33:03,13.04,414.83
20:33:04,10.95,340.56
20:33:05,9.41,294.21
20:33:06,13.25,425.9
20:33:07,11.25,346.57
20:33:08,12.87,399.64
20:33:09,11.78,360.58
20:33:10,13.15,427.32
20:33:11,11.78,360.95
20:33:12,13.34,427.25
20:33:13,13.21,415.38
20:33:14,13.06,425.68
20:33:15,12.06,372.39
20:33:16,13.25,425.93
20:33:17,13.33,418.74
20:33:18,13.15,425.79
20:33:19,13.29,415.04
20:33:20,13.25,427.01
20:33:21,13.14,415.17
20:33:22,13.6,424.81
20:33:23,12.54,390.6
20:33:24,13.44,425.71
20:33:25,9.8,315.28
20:33:26,13.25,426.02
20:33:27,13.3,415.26
20:33:28,13.34,425.83
20:33:29,13.29,417.32
20:33:30,13.26,425.95
20:33:31,13.21,415.83
20:33:32,13.25,425.5
20:33:33,13.39,417.92
20:33:34,13.15,425.87
20:33:35,12.77,403.54
20:33:36,12.49,390.2
20:33:37,12.25,386.39
20:33:38,13.44,425.5
20:33:39,13.2,418.44
20:33:40,9.04,290.11
20:33:41,8.94,276.82
20:33:42,13.16,426.23
20:33:43,9.89,306.1
20:33:44,13.15,425.9
20:33:45,12.82,402.55
20:33:46,13.25,427.28
20:33:47,12.16,368.69
20:33:48,13.35,426.06
20:33:49,13.21,417.26
20:33:50,13.25,426.1
20:33:51,12.66,383.05
20:33:52,13.25,427.42
20:33:53,12.92,405.82
20:33:54,13.15,425.64
20:33:55,13.29,417.18
20:33:56,13.44,427.34
20:33:57,13.02,405.85
20:33:58,13.26,426.24
20:33:59,13.01,408.64
20:34:00,13.34,427.31
20:34:01,12.06,388.9
20:34:02,13.16,426.15
20:34:03,13.39,417.06
20:34:04,13.32,415.97
20:34:05,4.87,148.68
20:34:06,13.29,427.86
20:34:07,12.82,394.22
20:34:08,12.98,420.46
20:34:09,13.31,425.11
20:34:10,12.94,401.15
20:34:11,13.26,427.6
20:34:12,13.39,415.54
20:34:13,13.19,426.04
20:34:14,11.78,369.73
20:34:15,13.25,426.07
20:34:16,12.55,391.29
20:34:17,13.25,427.32
20:34:18,12.91,405.38
20:34:19,13.06,425.82
20:34:20,12.82,399.96
20:34:21,13.34,425.72
20:34:22,13.29,416.06
20:34:23,13.44,427.58
20:34:24,3.83,105.44
20:34:25,12.97,414.42
20:34:26,10.01,295.53
20:34:27,12.57,402.62
20:34:28,13.41,427.22
20:34:29,12.25,378.17
20:34:30,7.57,238.53
20:34:31,11.12,347.47
20:34:32,13.07,426.24
20:34:33,10.64,329.27
20:34:34,13.25,427.39
20:34:35,11.68,362.49
20:34:36,13.26,426.25
20:34:37,10.64,340.8
20:34:38,13.25,427.16
20:34:39,11.12,343.78
20:34:40,13.15,425.73
20:34:41,11.41,354.06
20:34:42,13.25,426.0
20:34:43,11.68,361.46
20:34:44,13.25,426.09
20:34:45,13.25,417.27
20:34:46,13.44,425.79
20:34:47,13.05,415.29
20:34:48,13.34,425.92
20:34:49,10.08,325.25
20:34:50,13.25,427.34
20:34:51,13.29,412.08
20:34:52,13.15,427.17
20:34:53,13.2,415.71
20:34:54,13.53,426.21
20:34:55,13.2,416.99
20:34:56,13.38,426.1
20:34:57,13.11,417.18
20:34:58,13.25,425.98
20:34:59,12.68,395.17
20:35:00,13.23,415.17
20:35:01,13.5,628.96
20:35:02,9.51,563.11
20:35:03,13.7,831.33
20:35:04,13.77,830.58
20:35:05,10.41,639.89
20:35:06,4.49,256.69
20:35:07,13.91,853.6
20:35:08,4.02,227.38
20:35:09,13.82,853.89
20:35:10,5.63,326.0
20:35:11,13.81,855.3
20:35:12,6.3,265.35
20:35:13,13.92,854.16
20:35:14,8.19,389.2
20:35:15,13.91,853.57
20:35:16,6.2,355.23
20:35:17,11.16,683.96
20:35:18,0.47,2.63
20:35:19,13.15,817.56
20:35:20,1.86,100.62
20:35:21,12.95,787.21
20:35:22,8.23,505.97
20:35:23,13.77,730.61
20:35:24,8.23,498.57
20:35:25,11.88,706.63
20:35:26,8.89,548.69
20:35:27,10.93,658.91
20:35:28,7.57,459.22
20:35:29,8.56,503.68
20:35:30,9.55,590.82
20:35:31,10.64,535.47
20:35:32,1.14,62.08
20:35:33,9.51,468.35
20:35:34,14.84,804.69
20:35:35,13.67,820.27
20:35:36,13.72,853.88
20:35:37,5.65,338.72
20:35:38,12.94,788.61
20:35:39,0.19,2.07
20:35:40,10.74,604.39
20:35:41,6.25,380.96
20:35:42,12.06,721.82
20:35:43,8.8,531.99
20:35:44,10.55,639.36
20:35:45,3.26,188.18
20:35:46,10.55,625.04
20:35:47,7.29,452.56
20:35:48,9.04,534.57
20:35:49,6.81,416.6
