time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,22.8,27.0,22.2,27.0,5.9,399095,4,1,1,bbr1
0.006,6904,4,0,24.1,28.3,22.2,28.3,5.5,138316,6,1,1,bbr1
0.031,9752,6,1440,23.6,20.3,20.3,28.3,5.1,138316,9,1,1,bbr1
0.051,11176,7,2880,23.9,25.8,20.3,28.3,4.4,151344,11,1,1,bbr1
0.061,12600,8,2880,24.1,25.9,20.3,28.3,3.8,151344,12,1,1,bbr1
0.021,14024,9,2880,23.7,20.3,20.3,28.3,3.8,151344,13,1,1,bbr1
0.006,14783,10,0,23.7,25.3,20.3,28.3,3.1,302786,14,1,1,bbr1
0.029,14783,10,7200,24.0,26.2,20.3,28.3,2.9,302786,21,1,1,bbr1
0.034,14754,10,5760,23.6,20.2,20.2,28.3,3.2,302786,22,1,1,bbr1
0.043,14809,10,5760,23.1,20.2,20.2,28.3,3.2,305481,24,1,1,bbr1
0.050,17657,12,5760,22.8,20.2,20.2,28.3,3.1,599036,26,1,1,bbr1
0.060,20505,14,8640,22.5,20.2,20.2,28.3,3.0,599036,30,1,1,bbr1
0.069,20737,14,11520,22.2,20.2,20.2,28.3,2.8,599036,34,1,1,bbr1
0.074,23175,16,11520,21.9,20.2,20.2,28.3,2.6,719788,36,1,1,bbr1
0.077,24758,17,11520,21.7,20.2,20.2,28.3,2.4,798157,38,1,1,bbr1
0.082,27606,19,12960,21.5,20.2,20.2,28.3,2.1,954612,41,1,1,bbr1
0.087,28713,19,14400,21.4,20.2,20.2,28.3,1.9,994077,44,1,1,bbr1
0.093,31561,21,17280,21.2,20.2,20.2,28.3,1.7,1208041,48,1,1,bbr1
0.096,33032,22,18720,21.1,20.2,20.2,28.3,1.6,1210866,51,1,1,bbr1
0.101,34260,23,21600,21.0,20.2,20.2,28.3,1.4,1271842,55,1,1,bbr1
0.103,36564,25,21600,20.9,20.2,20.2,28.3,1.2,1386203,57,1,1,bbr1
0.106,37833,26,23040,20.8,20.1,20.1,28.3,1.1,1451434,60,1,1,bbr1
0.109,40409,28,24480,20.7,20.1,20.1,28.3,1.0,1579518,63,1,1,bbr1
0.112,41329,28,25920,20.6,20.1,20.1,28.3,0.9,1625237,66,1,1,bbr1
0.115,43410,30,28800,20.7,20.8,20.1,28.3,0.7,1728716,70,1,1,bbr1
0.118,44649,31,31680,20.9,22.2,20.1,28.3,0.9,1790328,75,1,1,bbr1
0.123,44649,31,36000,21.1,23.2,20.1,28.3,1.3,1790328,80,1,1,bbr1
0.126,44799,31,38880,21.5,24.2,20.1,28.3,1.7,1797783,84,1,1,bbr1
0.129,44799,31,41760,22.0,25.4,20.1,28.3,2.3,1797783,88,1,1,bbr1
0.132,44799,31,43200,22.6,26.6,20.1,28.3,2.8,1797783,91,1,1,bbr1
0.135,44799,31,43200,23.3,28.1,20.1,28.3,3.5,1797783,93,1,1,bbr1
0.139,44799,31,43200,24.1,29.7,20.1,29.7,4.2,1797783,95,1,1,bbr1
0.142,44799,31,43200,24.9,30.9,20.1,30.9,4.9,1797783,97,1,1,bbr1
0.006,44799,31,110,45.8,52.5,20.1,54.0,10.0,1797783,101,1,1,bbr1
0.007,44799,31,0,43.5,27.4,20.1,54.0,12.1,1797783,102,1,1,bbr1
0.027,44799,31,37440,41.5,27.3,20.1,54.0,13.1,1797783,131,1,1,bbr1
0.030,44799,31,38880,39.0,21.7,20.1,54.0,14.8,1797783,134,1,1,bbr1
0.034,44799,31,43200,37.3,25.2,20.1,54.0,14.6,1797783,139,1,1,bbr1
0.037,44799,31,43200,36.0,26.9,20.1,54.0,13.5,1797783,141,1,1,bbr1
0.043,44799,31,43200,35.1,28.8,20.1,54.0,11.9,1797783,143,1,1,bbr1
0.044,44799,31,43200,34.5,30.5,20.1,54.0,10.1,1797783,145,1,1,bbr1
0.048,44799,31,43200,34.2,32.3,20.1,54.0,8.1,1797783,147,1,1,bbr1
0.049,44799,31,44640,34.1,32.9,20.1,54.0,6.4,1797783,149,1,1,bbr1
0.053,44799,31,43200,34.1,34.7,20.1,54.0,5.0,1797783,150,1,1,bbr1
0.056,44799,31,43200,34.4,36.4,20.1,54.0,4.3,1797783,152,1,1,bbr1
0.059,44799,31,43200,34.9,38.2,20.1,54.0,4.2,1797783,154,1,1,bbr1
0.063,44799,31,43200,35.5,40.1,20.1,54.0,4.4,1797783,156,1,1,bbr1
0.069,44799,31,41760,36.5,43.0,20.1,54.0,5.2,1797783,158,1,1,bbr1
0.075,44799,31,40320,37.7,46.1,20.1,54.0,6.3,1797783,161,1,1,bbr1
0.081,44799,31,40320,39.2,49.8,20.1,54.0,7.7,1797783,165,1,1,bbr1
0.088,44799,31,40320,41.0,53.7,20.1,54.0,9.4,1797783,169,1,1,bbr1
0.095,44799,31,40320,42.1,50.0,20.1,54.0,9.3,1797783,173,1,1,bbr1
0.102,44799,31,40320,43.4,52.5,20.1,54.0,9.6,1797783,177,1,1,bbr1
0.108,44799,31,41760,44.5,52.4,20.1,54.0,9.4,1797783,181,1,1,bbr1
0.114,44799,31,40320,45.5,52.6,20.1,54.0,9.1,1797783,184,1,1,bbr1
0.120,44799,31,40320,46.0,49.1,20.1,54.0,7.7,1797783,188,1,1,bbr1
0.127,44799,31,40320,46.7,51.4,20.1,54.0,7.1,1797783,192,1,1,bbr1
0.134,44799,31,41760,47.0,49.1,20.1,54.0,6.0,1797783,196,1,1,bbr1
0.152,39487,27,28855,47.7,49.2,20.1,54.0,3.6,1797783,200,1,1,bbr1
0.159,44799,31,34615,47.9,49.2,20.1,54.0,3.1,1797783,208,1,1,bbr1
0.166,44799,31,40375,48.3,51.4,20.1,54.0,3.2,1797783,216,1,1,bbr1
0.173,44799,31,40375,48.7,51.2,20.1,54.0,3.1,1797783,220,1,1,bbr1
