  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:13:39      4.64    109.89
21:13:40     11.87    777.67
21:13:41     11.41    826.29
21:13:42     11.05    823.89
21:13:43      8.90    655.21
21:13:44      7.23    520.28
21:13:45      4.16    303.21
21:13:46      6.95    501.75
21:13:47      7.66    570.21
21:13:48      6.38    456.97
21:13:49      6.54    489.12
21:13:50      4.96    300.08
21:13:51     11.55    830.38
21:13:52      5.44    340.49
21:13:53     11.45    831.15
21:13:54      4.87    320.50
21:13:55     11.73    853.85
21:13:56      4.47    285.01
21:13:57     11.54    853.76
21:13:58      4.11    246.23
21:13:59     11.45    853.74
21:14:00      4.97    337.93
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:14:01     11.26    854.63
21:14:02      3.55    225.77
21:14:03      2.65    179.08
21:14:04      1.37     68.91
21:14:05      4.54    310.73
21:14:06      0.71     22.70
21:14:07     11.84    853.22
21:14:08      2.89    179.93
21:14:09     11.10    434.71
21:14:10      8.49    261.82
21:14:11      7.86    225.31
21:14:12      8.33    233.89
21:14:13      8.37    215.85
21:14:14      9.85    235.86
21:14:15      7.56    214.16
21:14:16      8.15    245.77
21:14:17      9.32    244.60
21:14:18      8.98    247.49
21:14:19      9.08    231.14
21:14:20      8.09    198.71
21:14:21      9.75    236.67
21:14:22      9.13    234.24
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:14:23      8.14    245.18
21:14:24      8.85    230.96
21:14:25      8.52    233.79
21:14:26      9.39    216.21
21:14:27      8.12    226.15
21:14:28      8.62    236.85
21:14:29      7.85    179.48
21:14:30      9.18    241.20
21:14:31      9.71    225.37
21:14:32      8.71    232.95
21:14:33      8.68    228.15
21:14:34      8.71    245.72
21:14:35      9.22    243.05
21:14:36      8.71    228.49
21:14:37      9.04    229.87
21:14:38      9.27    236.69
21:14:39      6.76    173.38
21:14:40      9.08    223.94
21:14:41      7.15    179.02
21:14:42      8.61    233.76
21:14:43      5.72    171.04
21:14:44      8.42    229.79
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:14:45      6.39    169.11
21:14:46      9.37    243.95
21:14:47      8.85    245.53
21:14:48      8.99    245.31
21:14:49      8.59    231.53
21:14:50     10.79    219.63
21:14:51      8.09    225.87
21:14:52      8.71    226.49
21:14:53      9.23    215.60
21:14:54      8.57    233.94
21:14:55      9.79    227.20
21:14:56      8.71    242.53
21:14:57      8.78    217.38
21:14:58      8.33    228.29
21:14:59      9.14    245.29
21:15:00      9.47    229.86
21:15:01      8.66    222.51
21:15:02      8.99    232.33
21:15:03      8.85    230.96
21:15:04      9.07    245.50
21:15:05      9.35    233.96
21:15:06      8.50    221.57
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:15:07      9.37    233.81
21:15:08      6.29    149.16
21:15:09      8.33    238.31
21:15:10      6.76    188.52
21:15:11      9.08    234.02
21:15:12      8.09    196.98
21:15:13      8.42    240.06
21:15:14      7.33    186.36
21:15:15      8.99    255.47
21:15:16      7.56    198.19
21:15:17      8.43    231.22
21:15:18      2.88     66.39
21:15:19      8.61    238.24
21:15:20      2.98     71.39
21:15:21      8.52    237.10
21:15:22      7.35    180.09
21:15:23      8.68    223.65
21:15:24      7.83    197.31
21:15:25      9.16    243.77
21:15:26      8.42    226.63
21:15:27      8.18    226.25
21:15:28      8.87    236.88
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:15:29      7.71    205.71
21:15:30      8.80    232.18
21:15:31      8.56    226.01
21:15:32      5.39    149.38
21:15:33      5.96    174.62
21:15:34      9.08    215.74
21:15:35      6.57    176.21
21:15:36      8.71    227.51
21:15:37      5.92    134.04
21:15:38      8.71    224.96
21:15:39      8.28    206.35
21:15:40      7.10    185.62
21:15:41      3.36     92.01
21:15:42      8.42    242.83
21:15:43      9.60    225.76
21:15:44      8.89    258.25
21:15:45      8.69    232.21
21:15:46      6.34    178.30
21:15:47      8.19    223.78
21:15:48      6.15    174.94
21:15:49      7.52    216.32
21:15:50      8.43    203.13
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:15:51      7.71    207.62
21:15:52      7.10    219.32
21:15:53      7.05    179.01
21:15:54      8.52    240.90
21:15:55      7.53    196.58
21:15:56      8.71    239.53
21:15:57      7.71    196.20
21:15:58      7.76    225.12
21:15:59      7.90    212.08
21:16:00      8.52    222.28
21:16:01      8.56    224.57
21:16:02      8.52    246.89
21:16:03      7.81    197.05
21:16:04      1.65     38.23
21:16:05      4.02    105.02
21:16:06      2.55     74.21
21:16:07      3.74     90.68
21:16:08      8.15    223.94
21:16:09     11.87    342.62
21:16:10     11.11    787.80
21:16:11     10.69    774.87
21:16:12      7.62    525.88
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
21:16:13      9.18    682.00
21:16:14      7.33    483.74
21:16:15     10.12    744.00
21:16:16      6.15    434.76
21:16:17     10.22    771.03
21:16:18      5.63    366.47
21:16:19     11.17    838.03
21:16:20      5.44    345.09
21:16:21     11.27    852.66
21:16:22      4.68    319.91
21:16:23      8.52    607.80
21:16:24      4.06    254.13
21:16:25      8.14    579.06
21:16:26      3.45    207.80
21:16:27     11.54    855.00
21:16:28      3.93    238.27
21:16:29      8.61    629.87
