Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,815.0,0,0.0,4.225,1.0550000000000002
2,4680.0,1,0.0,4.16,1.04
3,4674.0,0,0.0,4.105,1.028
4,4717.0,0,0.0,4.0600000000000005,1.019
5,3527.0,0,0.0,4.035,1.0095
6,3229.0,0,0.0,4.015,1.007
7,4406.0,0,0.0,4.01,1.003
8,3084.0,0,0.0,4.0,1.003
9,4777.0,0,0.0,3.99,1.001
10,4977.0,0,0.0,4.0,0.999
11,4616.0,0,0.0,4.0,0.999
12,5090.0,0,0.0,4.0,0.999
13,4480.0,0,0.0,4.0,0.999
14,4927.0,0,0.0,4.0,0.999
15,4653.0,0,0.0,4.0,0.999
16,4864.0,0,0.01675,4.005,0.99925
17,3780.0,0,1.12575,4.494999999999999,1.0354999999999999
18,2054.0,1,0.8449999999999998,4.645,1.0915
19,1755.0,0,0.5720000000000001,4.6899999999999995,1.096
20,1749.0,0,0.44399999999999995,4.529999999999999,1.0899999999999999
21,1650.0,0,0.4400000000000004,4.495,1.088
22,1865.0,0,0.6390000000000002,4.62,1.0910000000000002
23,1816.0,0,1.0084999999999988,4.6,1.044
24,1893.0,0,0.7815000000000012,4.72,1.096
25,1157.0,0,0.04949999999999921,4.63,1.096
26,1475.0,0,0.0,4.495,1.0885
27,1519.0,0,0.0,4.335,1.0715
28,1667.0,0,0.0,4.215,1.0510000000000002
29,1751.0,0,0.0,4.130000000000001,1.034
30,1697.0,0,0.0,4.08,1.019
31,1795.0,0,0.0,4.045,1.013
32,1203.0,0,0.0,4.025,1.008
33,1235.0,0,0.0,4.01,1.004
34,1640.0,0,0.0,4.01,1.004
35,1638.0,0,0.0,4.0,1.002
36,1825.0,0,0.0,4.0,1.0
37,1807.0,0,0.0,4.0,1.0
38,1947.0,0,0.0,4.0,1.0
39,1182.0,0,0.0,4.0,1.0
40,1631.0,0,0.0,4.0,1.0
41,1531.0,0,0.0,4.0,1.0
42,1697.0,0,0.0,4.0,1.0
43,1115.0,0,0.0,4.0,1.0
44,1433.0,0,0.0,4.0,1.0
45,1747.0,0,0.0,4.0,1.0
46,1581.0,0,0.0,4.0,1.0
47,1540.0,0,0.0,4.0,1.0
48,1622.0,0,0.0,4.0,1.0
49,1653.0,0,0.0,4.0,1.0
50,1726.0,0,0.0,4.0,1.0
51,1729.0,0,0.0,4.0,1.0
52,1741.0,0,0.0,4.0,1.0
53,1779.0,0,0.0,4.0,1.0
54,1790.0,0,0.0,4.0,1.0
55,581.0,0,0.0,4.0,1.0
56,1270.0,1,0.0,4.0,1.0
57,1714.0,0,0.0,4.0,1.0
58,1826.0,0,0.0,4.0,1.0
59,1642.0,0,0.0,4.0,1.0
60,1648.0,0,0.0,4.0,1.0
61,1632.0,0,0.0,4.0,1.0
62,1718.0,0,0.0,4.0,1.0
63,1850.0,0,0.0,4.0,1.0
64,1944.0,0,0.0,4.0,1.0
65,1111.0,0,0.0,4.0,1.0
66,1403.0,0,0.0,4.0,1.0
67,1671.0,0,0.0,4.0,1.0
68,1237.0,0,0.0,4.0,1.0
69,1813.0,0,0.0,4.0,1.0
70,1902.0,0,0.0,4.0,1.0
71,1834.0,0,0.0,4.0,1.0
72,1629.0,0,0.0,4.0,1.0
73,1618.0,0,0.0,4.0,1.0
74,1599.0,0,0.0,4.0,1.0
75,1624.0,0,0.0,4.0,1.0
76,1640.0,0,0.0,4.0,1.0
77,1728.0,0,0.0,4.0,1.0
78,4941.0,1,0.0,4.0,1.0
79,4769.0,0,0.0,4.0,1.0
80,4454.0,0,0.0,4.0,1.0
81,5050.0,0,0.0,4.0,1.0
82,4205.0,0,0.0,4.0,1.0
83,4126.0,0,0.0,4.0,1.0
84,4817.0,0,0.0,4.0,1.0
85,2546.0,0,0.0,4.0,1.0
86,3756.0,0,0.0,4.0,1.0
87,4363.0,0,0.0,4.0,1.0
88,4758.0,0,0.0,4.0,1.0
89,4517.0,0,0.0,4.0,1.0
90,5021.0,0,0.0,4.0,1.0
