time_hms,kb_per_sec_in,kb_per_sec_out
14:02:32,3.79,89.23
14:02:33,13.19,755.3
14:02:34,9.36,678.28
14:02:35,12.4,846.08
14:02:36,3.52,277.88
14:02:37,11.07,835.8
14:02:38,4.8,445.63
14:02:39,11.71,794.13
14:02:40,3.98,337.48
14:02:41,10.26,752.94
14:02:42,5.11,490.27
14:02:43,9.98,711.92
14:02:44,4.54,462.79
14:02:45,9.9,661.48
14:02:46,5.59,569.15
14:02:47,10.26,618.17
14:02:48,4.35,338.88
14:02:49,9.04,571.75
14:02:50,7.57,675.81
14:02:51,7.71,531.31
14:02:52,7.29,673.09
14:02:53,6.77,472.31
14:02:54,7.19,653.57
14:02:55,6.74,425.47
14:02:56,8.33,844.44
14:02:57,6.39,389.59
14:02:58,7.52,679.3
14:02:59,5.53,337.23
14:03:00,8.62,706.13
14:03:01,5.06,294.6
14:03:02,11.54,735.29
14:03:03,7.43,321.78
14:03:04,11.44,593.12
14:03:05,10.48,628.08
14:03:06,10.67,627.3
14:03:07,9.27,649.17
14:03:08,7.71,338.99
14:03:09,10.32,601.49
14:03:10,11.4,696.76
14:03:11,10.12,684.34
14:03:12,6.58,351.6
14:03:13,11.17,637.97
14:03:14,10.64,619.75
14:03:15,9.12,685.77
14:03:16,9.51,515.26
14:03:17,7.66,487.44
14:03:18,3.26,131.7
14:03:19,10.22,631.34
14:03:20,4.69,286.28
14:03:21,11.54,649.86
14:03:22,9.42,588.01
14:03:23,10.12,698.81
14:03:24,7.14,456.05
14:03:25,10.41,639.62
14:03:26,8.28,559.72
14:03:27,11.07,689.61
14:03:28,7.62,384.18
14:03:29,11.4,503.28
14:03:30,8.27,571.96
14:03:31,10.67,588.57
14:03:32,0.0,0.0
14:03:33,10.55,479.84
14:03:34,10.12,658.3
14:03:35,9.41,571.96
14:03:36,5.96,346.9
14:03:37,8.94,444.46
14:03:38,8.71,696.76
14:03:39,8.66,574.31
14:03:40,3.88,234.55
14:03:41,8.37,362.43
14:03:42,11.36,597.75
14:03:43,8.18,354.98
14:03:44,9.84,691.95
14:03:45,9.23,630.43
14:03:46,6.05,379.65
14:03:47,5.92,264.92
14:03:48,11.07,646.26
14:03:49,8.95,429.51
14:03:50,11.26,640.51
14:03:51,5.44,233.48
14:03:52,9.56,662.67
14:03:53,7.34,454.06
14:03:54,10.79,650.84
14:03:55,10.55,699.35
14:03:56,11.4,623.69
14:03:57,10.96,660.22
14:03:58,10.41,612.0
14:03:59,8.28,497.23
14:04:00,10.83,665.87
14:04:01,8.38,468.86
14:04:02,8.23,660.91
14:04:03,5.73,316.47
14:04:04,0.0,0.0
14:04:05,5.72,227.95
14:04:06,4.16,151.49
14:04:07,5.82,214.36
14:04:08,11.83,553.65
14:04:09,10.26,574.75
14:04:10,12.39,604.12
14:04:11,9.7,610.25
14:04:12,9.65,687.59
14:04:13,9.51,509.06
14:04:14,11.93,618.18
14:04:15,12.35,689.23
14:04:16,10.22,678.88
14:04:17,10.97,639.63
14:04:18,9.46,699.7
14:04:19,8.85,494.95
14:04:20,10.79,696.97
14:04:21,6.86,390.15
14:04:22,8.52,694.64
14:04:23,9.04,403.88
14:04:24,12.21,637.88
14:04:25,5.07,239.4
14:04:26,10.03,581.04
14:04:27,4.97,221.3
14:04:28,10.88,558.18
14:04:29,11.31,650.05
14:04:30,11.85,559.03
14:04:31,11.17,613.34
14:04:32,8.94,566.88
14:04:33,11.64,602.63
14:04:34,9.04,644.31
14:04:35,9.94,717.38
14:04:36,7.57,409.57
14:04:37,11.74,603.61
14:04:38,11.23,650.54
14:04:39,9.48,694.59
14:04:40,5.56,470.78
14:04:41,9.6,575.62
14:04:42,10.41,672.57
14:04:43,9.22,548.6
14:04:44,8.9,629.38
14:04:45,8.18,371.0
14:04:46,9.46,667.62
14:04:47,9.99,672.6
14:04:48,8.33,482.16
14:04:49,7.05,345.71
14:04:50,10.88,608.19
14:04:51,10.83,673.84
14:04:52,11.36,682.2
14:04:53,7.9,476.21
14:04:54,11.07,607.21
14:04:55,8.09,490.38
14:04:56,11.93,585.94
14:04:57,11.4,547.48
14:04:58,10.41,639.65
14:04:59,11.5,673.19
14:05:00,11.55,654.26
14:05:01,10.43,717.56
14:05:02,8.24,500.95
14:05:03,8.94,646.99
14:05:04,0.0,0.0
14:05:05,10.18,722.17
14:05:06,2.18,227.98
14:05:07,10.93,683.55
14:05:08,4.83,419.08
14:05:09,9.81,637.06
14:05:10,5.96,565.25
14:05:11,8.66,598.68
14:05:12,5.39,542.49
14:05:13,8.19,553.08
14:05:14,7.66,714.42
14:05:15,7.43,504.75
14:05:16,7.1,723.03
14:05:17,6.97,466.08
14:05:18,3.07,232.32
14:05:19,7.52,410.14
14:05:20,6.35,494.78
14:05:21,5.63,371.82
14:05:22,10.32,832.73
14:05:23,11.79,821.47
14:05:24,10.79,823.6
14:05:25,8.99,838.97
14:05:26,5.35,344.17
14:05:27,8.8,764.86
14:05:28,4.97,290.47
14:05:29,9.56,783.4
14:05:30,4.03,241.51
14:05:31,5.01,346.71
14:05:32,2.74,195.5
