time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.007,3072,2,0,21.7,20.3,20.3,23.3,5.4,2062799,5,1,1,bbr1
0.005,6904,4,0,23.5,30.1,20.3,30.1,6.2,714912,7,1,1,bbr1
0.027,9752,6,4320,23.9,27.3,20.3,30.1,5.6,714912,12,1,1,bbr1
0.006,16354,11,55,23.9,21.9,20.3,30.1,3.2,714912,15,1,1,bbr1
0.005,17132,11,0,24.4,26.4,20.3,30.1,2.7,893640,16,1,1,bbr1
0.027,19980,13,14400,24.7,27.3,20.3,30.1,2.7,893640,28,1,1,bbr1
0.032,22828,15,17280,24.8,25.2,20.3,30.1,2.2,893640,32,1,1,bbr1
0.034,25676,17,15840,24.9,25.5,20.3,30.1,1.8,893640,33,1,1,bbr1
0.039,28524,19,17280,25.0,25.5,20.3,30.1,1.5,893640,36,1,1,bbr1
0.042,31372,21,17280,25.0,25.7,20.3,30.1,1.3,893640,38,1,1,bbr1
0.046,34220,23,17280,25.2,26.0,20.3,30.1,1.2,893640,40,1,1,bbr1
0.050,37068,25,18720,24.7,21.9,20.3,30.1,1.7,893640,43,1,1,bbr1
0.053,37646,26,18720,24.4,22.0,20.3,30.1,2.0,893640,45,1,1,bbr1
0.056,37646,26,18720,24.1,21.8,20.3,30.1,2.1,893640,47,1,1,bbr1
0.060,37646,26,18720,23.9,22.4,20.3,30.1,2.0,893640,49,1,1,bbr1
0.063,37646,26,18720,23.6,22.0,20.3,30.1,2.0,893640,51,1,1,bbr1
0.068,37646,26,20160,23.5,22.7,20.3,30.1,1.7,893640,54,1,1,bbr1
0.070,37646,26,18720,23.4,22.8,20.3,30.1,1.5,893640,55,1,1,bbr1
0.073,40494,28,18720,23.3,22.5,20.3,30.1,1.3,1052897,57,1,1,bbr1
0.076,42833,29,20160,23.3,23.2,20.3,30.1,1.0,1053432,60,1,1,bbr1
0.081,42833,29,21600,23.3,23.4,20.3,30.1,0.8,1053432,63,1,1,bbr1
0.083,42833,29,21600,23.3,23.5,20.3,30.1,0.6,1053432,65,1,1,bbr1
0.088,42833,29,23040,23.4,23.6,20.3,30.1,0.6,1053432,68,1,1,bbr1
0.090,42833,29,23040,23.4,23.8,20.3,30.1,0.5,1053432,70,1,1,bbr1
0.094,42833,29,24480,23.5,23.7,20.3,30.1,0.5,1053432,73,1,1,bbr1
0.097,42833,29,24480,23.5,23.6,20.3,30.1,0.4,1053432,75,1,1,bbr1
0.101,42833,29,25920,23.6,24.8,20.3,30.1,0.6,1053432,78,1,1,bbr1
0.104,42833,29,25920,23.9,25.7,20.3,30.1,1.0,1053432,80,1,1,bbr1
0.108,42850,29,27360,24.1,25.9,20.3,30.1,1.2,1053955,83,1,1,bbr1
0.111,42850,29,27360,24.5,27.1,20.3,30.1,1.7,1053955,85,1,1,bbr1
0.117,27121,18,25920,25.3,28.2,20.3,30.1,2.4,1053955,88,1,1,bbr1
0.120,29969,20,24480,25.8,29.0,20.3,30.1,2.7,1053955,89,1,1,bbr1
0.125,32817,22,27360,26.2,29.3,20.3,30.1,2.9,1053955,93,1,1,bbr1
0.127,35665,24,27360,26.7,30.3,20.3,30.3,3.2,1053955,95,1,1,bbr1
0.132,38513,26,28800,27.2,30.9,20.3,30.9,3.4,1053955,98,1,1,bbr1
0.134,41361,28,28800,27.8,31.5,20.3,31.5,3.6,1053955,100,1,1,bbr1
0.138,42850,29,30240,28.3,32.2,20.3,32.2,3.8,1053955,103,1,1,bbr1
0.142,42850,29,30240,28.9,32.8,20.3,32.8,4.0,632373,105,1,1,bbr1
0.144,42864,29,28800,29.5,33.5,20.3,33.5,4.1,632625,106,1,1,bbr1
0.149,42868,29,28800,30.1,34.2,20.3,34.2,4.3,632700,108,1,1,bbr1
0.153,42868,29,28800,30.1,30.6,20.3,34.2,3.3,632700,110,1,1,bbr1
0.155,42868,29,27360,30.4,32.5,20.3,34.2,3.1,632700,111,1,1,bbr1
0.158,42868,29,25920,30.7,32.7,20.3,34.2,2.9,632700,112,1,1,bbr1
0.005,29908,20,110,33.2,31.4,20.3,36.2,1.9,843601,116,1,1,bbr1
