  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:43:46      0.00      0.00
19:43:47      0.00      0.00
19:43:48      0.00      0.07
19:43:49      0.07      0.20
19:43:50      0.00      0.07
19:43:51      0.00      0.00
19:43:52      0.00      0.43
19:43:53      0.00      0.00
19:43:54      0.00      0.00
19:43:55      0.00      0.00
19:43:56      0.00      0.00
19:43:57      0.00      0.00
19:43:58      0.00      0.00
19:43:59      0.00      0.00
19:44:00      0.00      0.00
19:44:01      0.00      0.00
19:44:02      0.00      0.07
19:44:03      0.00      0.00
19:44:04      0.07      0.07
19:44:05      0.00      0.07
19:44:06      0.00      0.14
19:44:07      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:44:08      0.00      0.43
19:44:09      0.00      0.00
19:44:10      0.00      0.00
19:44:11      0.00      0.00
19:44:12      0.00      0.00
19:44:13      0.00      0.00
19:44:14      0.00      0.00
19:44:15      0.04      0.04
19:44:16     12.45    362.76
19:44:17     11.93    462.25
19:44:18     11.48    426.83
19:44:19     12.64    459.49
19:44:20     11.89    426.83
19:44:21     12.65    457.92
19:44:22     12.97    496.63
19:44:23     17.66    725.15
19:44:24     12.10    434.44
19:44:25     15.66    602.55
19:44:26     15.14    564.19
19:44:27     17.45    757.67
19:44:28     15.92    623.48
19:44:29     17.72    760.59
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:44:30     13.15    478.51
19:44:31     18.29    782.10
19:44:32     12.03    432.72
19:44:33     19.34    803.89
19:44:34     12.35    425.34
19:44:35     19.83    825.57
19:44:36     12.48    453.40
19:44:37     20.23    852.63
19:44:38     17.04    646.89
19:44:39     18.99    853.79
19:44:40     16.58    640.30
19:44:41     19.06    855.09
19:44:42     16.84    646.02
19:44:43     19.06    853.66
19:44:44     15.14    573.03
19:44:45     19.77    855.11
19:44:46     16.11    626.45
19:44:47     19.19    855.13
19:44:48     14.54    577.46
19:44:49     19.57    822.62
19:44:50     15.78    626.50
19:44:51     20.02    853.63
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:44:52     16.11    651.31
19:44:53     19.77    853.64
19:44:54     15.92    645.64
19:44:55     20.62    847.10
19:44:56     15.66    640.99
19:44:57     19.83    853.64
19:44:58     15.72    682.31
19:44:59     19.84    811.26
19:45:00     16.12    673.46
19:45:01     19.31    800.48
19:45:02     17.14    714.80
19:45:03     19.90    842.20
19:45:04     16.69    722.19
19:45:05     20.13    825.57
19:45:06     17.14    742.86
19:45:07     18.69    763.87
19:45:08     17.58    790.11
19:45:09     17.72    708.92
19:45:10     18.03    788.65
19:45:11     17.98    716.59
19:45:12     18.16    815.23
19:45:13     17.28    669.02
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:45:14     18.54    832.95
19:45:15     16.89    651.61
19:45:16     18.99    852.17
19:45:17     17.93    736.18
19:45:18     19.06    855.07
19:45:19     17.04    697.76
19:45:20     19.08    854.48
19:45:21     16.32    640.12
19:45:22     19.07    855.66
19:45:23     16.05    642.68
19:45:24     19.12    855.13
19:45:25     16.03    629.19
19:45:26     19.57    853.64
19:45:27     16.25    642.69
19:45:28     19.83    855.11
19:45:29     15.51    624.71
19:45:30     19.77    855.12
19:45:31     17.40    729.96
19:45:32     19.06    853.72
19:45:33     16.12    651.30
19:45:34     19.77    853.65
19:45:35     16.06    661.88
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
19:45:36     20.04    847.08
