Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-04-27T17:43:47.063Z,1.65,4.19,1.050,0,0,0.000,692,0.287
2026-04-27T17:43:48.064Z,2.21,4.15,1.039,0,0,0.000,4182,1.288
2026-04-27T17:43:49.063Z,1.87,4.12,1.030,1,0,0.000,4182,1.288
2026-04-27T17:43:50.063Z,2.29,4.09,1.026,1,0,0.000,3688,1.167
2026-04-27T17:43:51.063Z,2.05,4.07,1.018,1,0,0.000,3688,1.167
2026-04-27T17:43:52.064Z,2.12,4.05,1.013,1,0,0.000,4385,1.358
2026-04-27T17:43:53.063Z,2.04,4.04,1.013,1,0,0.000,4385,1.358
2026-04-27T17:43:54.064Z,1.97,4.03,1.009,2,0,0.000,3360,1.040
2026-04-27T17:43:55.063Z,1.51,4.02,1.009,2,0,0.000,3360,1.040
2026-04-27T17:43:56.068Z,2.08,4.01,1.005,2,0,0.000,4593,1.413
2026-04-27T17:43:57.063Z,1.57,4.01,1.005,3,0,0.000,4593,1.413
2026-04-27T17:43:58.064Z,1.97,4.00,1.005,4,0,0.000,3433,1.066
2026-04-27T17:43:59.063Z,2.05,4.00,1.000,4,0,0.000,3433,1.066
2026-04-27T17:44:00.064Z,2.10,4.00,1.000,4,0,0.000,1779,0.565
2026-04-27T17:44:01.063Z,1.95,4.00,1.000,5,0,0.000,1779,0.565
2026-04-27T17:44:02.064Z,1.98,4.00,1.000,5,0,0.000,1790,0.568
2026-04-27T17:44:03.063Z,2.96,4.00,1.000,5,0,0.000,581,0.202
2026-04-27T17:44:04.065Z,2.12,4.00,1.000,5,0,0.000,581,0.202
2026-04-27T17:44:05.063Z,1.50,4.00,1.000,5,0,0.000,581,0.202
2026-04-27T17:44:06.065Z,1.99,4.00,1.000,6,0,0.000,1466,0.469
2026-04-27T17:44:07.063Z,1.02,4.00,1.000,6,0,0.000,1466,0.469
2026-04-27T17:44:08.066Z,1.94,4.00,1.000,6,0,0.000,3253,1.010
2026-04-27T17:44:09.063Z,0.95,4.00,1.000,7,0,0.000,3253,1.010
2026-04-27T17:44:10.064Z,2.01,4.00,1.000,7,0,0.000,1826,0.580
2026-04-27T17:44:11.063Z,0.94,4.00,1.000,8,0,0.000,1826,0.580
2026-04-27T17:44:12.064Z,1.99,4.00,1.000,8,0,0.000,1642,0.523
2026-04-27T17:44:13.063Z,0.97,4.00,1.000,8,0,0.000,1642,0.523
2026-04-27T17:44:14.063Z,1.02,4.00,1.000,8,0,0.000,1642,0.523
2026-04-27T17:44:15.063Z,1.51,3.99,1.000,9,0,0.000,4687,1.443
2026-04-27T17:44:16.063Z,2.04,3.99,1.000,9,0,0.000,3264,1.036
2026-04-27T17:44:17.063Z,1.71,3.99,1.000,10,0,0.000,3264,1.036
2026-04-27T17:44:18.063Z,1.30,3.99,1.000,10,0,0.000,3264,1.036
2026-04-27T17:44:19.063Z,0.97,3.99,1.000,11,0,0.000,4680,2.935
2026-04-27T17:44:20.063Z,1.05,3.99,1.000,11,0,0.000,4680,2.935
2026-04-27T17:44:21.063Z,1.00,3.99,1.000,11,0,0.000,3680,2.251
2026-04-27T17:44:22.063Z,1.46,3.99,1.000,12,0,0.000,3680,2.251
2026-04-27T17:44:23.062Z,0.99,3.99,1.000,13,0,0.000,1944,1.201
2026-04-27T17:44:24.062Z,2.23,3.99,1.000,13,0,0.000,1111,0.695
2026-04-27T17:44:25.068Z,3.04,3.99,1.000,13,0,0.000,1403,0.871
2026-04-27T17:44:26.063Z,3.68,3.99,1.000,13,0,0.000,1403,0.871
2026-04-27T17:44:27.065Z,3.00,3.99,1.000,13,0,0.000,1671,1.035
2026-04-27T17:44:28.063Z,3.69,3.99,1.000,13,0,0.000,1671,1.035
2026-04-27T17:44:29.065Z,3.13,3.99,1.000,13,0,0.000,1237,0.977
2026-04-27T17:44:30.063Z,3.26,3.99,1.000,13,0,0.000,1237,0.977
2026-04-27T17:44:31.067Z,3.01,3.99,1.000,13,0,0.000,1813,1.128
2026-04-27T17:44:32.063Z,3.20,3.99,1.000,13,0,0.000,1813,1.128
2026-04-27T17:44:33.065Z,3.15,3.98,1.000,13,0,0.000,1902,1.205
2026-04-27T17:44:34.063Z,3.02,3.98,1.000,13,0,0.000,1902,1.205
2026-04-27T17:44:35.067Z,3.02,3.98,1.000,13,0,0.000,1834,1.138
2026-04-27T17:44:36.063Z,2.98,3.98,1.000,13,0,0.000,1834,1.138
2026-04-27T17:44:37.067Z,3.11,3.98,1.000,13,0,0.000,1629,1.021
2026-04-27T17:44:38.066Z,3.93,3.98,1.000,13,0,0.000,781,0.619
2026-04-27T17:44:39.067Z,3.04,3.98,1.000,13,0,0.000,781,0.619
2026-04-27T17:44:40.065Z,3.94,3.98,1.000,14,0,0.000,733,0.555
2026-04-27T17:44:41.067Z,3.18,3.98,1.000,14,0,0.000,733,0.555
2026-04-27T17:44:42.063Z,3.75,3.98,1.000,14,0,0.000,733,0.555
2026-04-27T17:44:43.064Z,3.05,3.98,1.000,14,0,0.000,734,0.525
2026-04-27T17:44:44.062Z,3.44,3.98,1.000,14,0,0.000,734,0.525
2026-04-27T17:44:45.066Z,2.92,3.98,1.000,14,0,0.000,910,0.584
2026-04-27T17:44:46.063Z,3.19,3.98,1.000,14,0,0.000,910,0.584
2026-04-27T17:44:47.066Z,3.06,3.98,1.000,14,0,0.000,865,0.546
2026-04-27T17:44:48.062Z,2.69,3.98,1.000,14,0,0.000,865,0.546
2026-04-27T17:44:49.064Z,2.94,3.98,1.000,14,0,0.000,905,0.646
2026-04-27T17:44:50.062Z,2.71,3.98,1.000,14,0,0.000,905,0.646
2026-04-27T17:44:51.067Z,3.08,3.98,1.000,14,0,0.000,849,0.539
2026-04-27T17:44:52.062Z,2.71,3.98,1.000,14,0,0.000,849,0.539
2026-04-27T17:44:53.066Z,2.95,3.98,1.000,14,0,0.000,775,0.501
2026-04-27T17:44:54.063Z,2.42,3.98,1.000,14,0,0.000,775,0.501
2026-04-27T17:44:55.063Z,3.09,3.97,1.000,14,0,0.000,802,0.509
2026-04-27T17:44:56.063Z,2.20,3.97,1.000,14,0,0.000,802,0.509
2026-04-27T17:44:57.063Z,2.96,3.97,1.000,14,0,0.000,799,0.509
2026-04-27T17:44:58.062Z,2.17,3.97,1.000,14,0,0.000,799,0.509
2026-04-27T17:44:59.064Z,3.11,3.97,1.000,14,0,0.000,732,0.544
2026-04-27T17:45:00.062Z,2.04,3.97,1.000,14,0,0.000,732,0.544
2026-04-27T17:45:01.064Z,2.98,3.97,0.996,14,0,0.000,878,0.555
2026-04-27T17:45:02.063Z,1.92,3.98,0.996,14,0,0.000,878,0.555
2026-04-27T17:45:03.066Z,3.13,3.98,0.996,14,0,0.000,470,0.309
2026-04-27T17:45:04.064Z,2.07,3.98,0.996,14,0,0.000,470,0.309
2026-04-27T17:45:05.067Z,3.01,3.99,0.996,14,0,0.000,551,0.367
2026-04-27T17:45:06.067Z,1.95,3.99,0.996,14,0,0.000,551,0.367
2026-04-27T17:45:07.067Z,3.00,4.00,0.996,14,0,0.000,681,0.439
2026-04-27T17:45:08.066Z,2.10,4.00,0.996,14,0,0.000,681,0.439
2026-04-27T17:45:09.067Z,3.04,4.00,1.000,14,0,0.000,738,0.548
2026-04-27T17:45:10.066Z,1.98,4.00,1.000,14,0,0.000,738,0.548
2026-04-27T17:45:11.066Z,3.06,4.00,1.000,14,0,0.000,752,0.480
2026-04-27T17:45:12.067Z,2.12,4.00,1.000,14,0,0.000,752,0.480
2026-04-27T17:45:13.065Z,3.05,4.00,1.000,14,0,0.000,795,0.516
2026-04-27T17:45:14.063Z,1.99,4.00,1.000,14,0,0.000,795,0.516
2026-04-27T17:45:15.066Z,3.04,4.00,1.000,14,0,0.000,851,0.539
2026-04-27T17:45:16.063Z,2.13,4.00,1.000,14,0,0.000,851,0.539
2026-04-27T17:45:17.064Z,2.94,4.00,1.000,14,0,0.000,455,0.307
2026-04-27T17:45:18.066Z,2.00,4.00,1.000,14,0,0.000,455,0.307
2026-04-27T17:45:19.064Z,2.94,4.00,1.000,14,0,0.000,600,0.476
2026-04-27T17:45:20.064Z,2.15,4.00,1.000,14,0,0.000,600,0.476
2026-04-27T17:45:21.062Z,2.73,4.00,1.000,14,0,0.000,600,0.476
2026-04-27T17:45:22.066Z,2.02,3.99,1.000,14,0,0.000,790,0.512
2026-04-27T17:45:23.062Z,2.48,3.99,1.000,14,0,0.000,790,0.512
2026-04-27T17:45:24.066Z,2.16,3.99,1.000,14,0,0.000,793,0.505
2026-04-27T17:45:25.062Z,2.22,3.99,1.000,14,0,0.000,793,0.505
2026-04-27T17:45:26.067Z,2.03,3.99,1.000,14,0,0.000,823,0.530
2026-04-27T17:45:27.062Z,2.00,3.99,1.000,14,0,0.000,823,0.530
2026-04-27T17:45:28.065Z,2.17,3.99,1.000,14,0,0.000,747,0.484
2026-04-27T17:45:29.062Z,1.52,3.99,1.000,14,0,0.000,747,0.484
2026-04-27T17:45:30.065Z,2.05,3.99,1.000,14,0,0.000,871,0.643
2026-04-27T17:45:31.063Z,1.72,3.99,1.000,14,0,0.000,871,0.643
2026-04-27T17:45:32.066Z,2.19,3.99,1.000,14,0,0.000,474,0.313
2026-04-27T17:45:33.062Z,1.12,3.99,1.000,14,0,0.000,474,0.313
2026-04-27T17:45:34.065Z,2.06,3.99,1.000,14,0,0.000,765,0.500
2026-04-27T17:45:35.063Z,1.00,3.99,1.000,14,0,0.000,765,0.500
2026-04-27T17:45:36.067Z,1.93,3.99,1.000,14,0,0.000,678,0.434
2026-04-27T17:45:37.062Z,1.14,3.99,1.000,14,0,0.000,678,0.434
2026-04-27T17:45:38.066Z,3.96,3.99,1.000,14,0,0.000,512,0.565
2026-04-27T17:45:39.064Z,3.01,3.99,1.000,14,0,0.000,512,0.565
2026-04-27T17:45:40.063Z,3.93,3.99,1.000,14,0,0.000,662,0.952
2026-04-27T17:45:41.064Z,3.15,3.98,1.000,14,0,0.000,662,0.952
2026-04-27T17:45:42.063Z,3.46,3.98,1.000,14,0,0.000,662,0.952
2026-04-27T17:45:43.065Z,3.02,3.98,1.000,14,0,0.000,1747,1.082
2026-04-27T17:45:44.062Z,3.50,3.98,1.000,15,0,0.000,1747,1.082
2026-04-27T17:45:45.065Z,3.17,3.98,1.000,15,0,0.000,1581,0.990
2026-04-27T17:45:46.063Z,3.50,3.98,1.000,15,0,0.000,1581,0.990
2026-04-27T17:45:47.064Z,3.04,3.98,1.000,15,0,0.000,1540,0.958
2026-04-27T17:45:48.062Z,2.99,3.98,1.000,15,0,0.000,1540,0.958
2026-04-27T17:45:49.065Z,3.18,3.98,1.000,15,0,0.000,1622,1.004
2026-04-27T17:45:50.062Z,3.72,3.98,1.000,15,0,0.000,1622,1.004
2026-04-27T17:45:51.066Z,3.05,3.98,1.000,15,0,0.000,788,0.712
2026-04-27T17:45:52.064Z,3.92,3.98,1.000,16,0,0.000,786,0.633
2026-04-27T17:45:53.067Z,2.93,3.98,1.000,16,0,0.000,786,0.633
2026-04-27T17:45:54.063Z,3.92,3.98,1.000,16,0,0.000,786,0.576
2026-04-27T17:45:55.065Z,3.06,3.98,1.000,16,0,0.000,786,0.576
