  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:24:48      3.32     75.26
20:24:49     15.19    774.61
20:24:50     12.58    662.45
20:24:51     13.89    802.98
20:24:52      2.40     71.98
20:24:53      8.63    454.81
20:24:54      1.17      3.57
20:24:55     12.41    686.63
20:24:56      4.61    164.22
20:24:57     11.71    638.84
20:24:58      7.16    318.36
20:24:59      9.48    473.08
20:25:00      1.52      4.70
20:25:01      9.95    500.27
20:25:02     13.49    780.11
20:25:03     14.02    785.06
20:25:04     13.12    769.87
20:25:05      3.74    192.14
20:25:06     14.67    854.64
20:25:07      4.30    226.17
20:25:08     14.86    854.93
20:25:09      5.16    264.20
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:25:10     14.20    820.68
20:25:11      6.29    340.92
20:25:12     14.49    853.90
20:25:13      7.52    417.12
20:25:14     14.48    831.46
20:25:15      7.36    415.19
20:25:16     12.28    708.84
20:25:17      0.00      0.04
20:25:18     10.83    491.41
20:25:19     13.17    426.90
20:25:20     10.05    338.62
20:25:21     12.40    425.13
20:25:22     11.28    377.29
20:25:23      4.13    130.33
20:25:24      9.13    266.64
20:25:25      7.10    209.55
20:25:26      8.48    253.31
20:25:27      5.49    217.90
20:25:28      7.05    264.45
20:25:29      7.00    239.58
20:25:30      7.14    203.66
20:25:31      3.41    103.78
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:25:32      6.20    200.67
20:25:33      6.48    222.19
20:25:34      5.51    187.66
20:25:35      6.34    209.50
20:25:36      4.40    163.16
20:25:37      7.86    276.62
20:25:38      4.21    147.31
20:25:39      4.20    142.52
20:25:40      3.83    116.83
20:25:41      6.91    254.81
20:25:42      2.70     98.61
20:25:43     10.41    354.45
20:25:44      1.91     51.15
20:25:45      3.66    131.45
20:25:46      1.84     50.35
20:25:47      8.71    348.84
20:25:48      1.02      4.98
20:25:49      6.10    194.92
20:25:50      0.51      1.57
20:25:51      6.80    207.21
20:25:52      0.00      0.00
20:25:53      9.54    339.68
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:25:54      4.20    110.55
20:25:55     10.21    318.21
20:25:56      3.97    131.39
20:25:57      8.91    287.67
20:25:58     12.28    428.05
20:25:59     12.73    427.43
20:26:00      6.82    232.55
20:26:01      3.17     70.03
20:26:02      0.19      6.14
20:26:03      2.51     77.80
20:26:04      0.57     22.17
20:26:05      4.02    147.19
20:26:06      1.70     57.64
20:26:07      3.93    129.90
20:26:08      2.74    101.25
20:26:09      3.36     79.25
20:26:10      3.88    131.62
20:26:11      2.70     79.25
20:26:12      4.21    136.35
20:26:13      2.22     56.12
20:26:14      4.35    156.45
20:26:15      1.09     31.54
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:26:16      4.54    175.97
20:26:17      0.61     11.30
20:26:18      5.49    198.95
20:26:19      0.26      2.63
20:26:20      7.08    224.72
20:26:21      0.00      0.00
20:26:22      4.02    123.98
20:26:23      0.00      0.00
20:26:24      4.21    138.16
20:26:25      0.00      0.00
20:26:26      5.44    190.98
20:26:27      0.00      0.00
20:26:28      3.36    127.64
20:26:29      0.04      0.04
20:26:30      6.76    216.06
20:26:31      0.00      0.00
20:26:32      7.05    231.95
20:26:33      0.00      0.00
20:26:34      6.39    225.29
20:26:35      0.00      0.00
20:26:36      6.93    205.08
20:26:37      1.32     32.26
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:26:38      5.82    203.77
20:26:39      0.00      0.00
20:26:40      5.92    191.27
20:26:41      0.00      0.09
20:26:42      4.78    163.09
20:26:43      0.95     28.47
20:26:44      3.83    140.03
20:26:45      2.75     97.00
20:26:46      3.45    123.19
20:26:47      2.93    102.71
20:26:48      2.79     72.02
20:26:49      4.64    163.76
20:26:50      1.94     69.13
20:26:51      4.02    152.37
20:26:52      1.56     51.78
20:26:53      4.35    150.40
20:26:54      1.09     24.31
20:26:55      5.02    184.69
20:26:56      0.42      4.07
20:26:57      5.58    204.51
20:26:58      0.16      0.00
20:26:59      5.37    191.05
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:27:00      0.00      0.00
20:27:01      6.67    228.86
20:27:02      0.00      0.07
20:27:03      7.97    253.79
20:27:04      0.47     11.91
20:27:05      4.78    161.66
20:27:06      0.57     16.31
20:27:07      5.16    176.20
20:27:08      0.47     16.50
20:27:09      5.35    170.48
20:27:10      0.76     26.07
20:27:11      5.53    186.23
20:27:12      0.57     21.11
20:27:13      5.53    189.11
20:27:14      0.76     32.51
20:27:15      3.27    114.05
20:27:16      0.28      5.94
20:27:17      4.11    137.07
20:27:18      0.70     20.00
20:27:19      3.93    179.12
20:27:20      0.57     27.06
20:27:21      3.64    184.78
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
20:27:22      0.38     21.94
20:27:23      3.45    181.98
20:27:24      0.57     32.56
20:27:25      3.36    177.56
20:27:26      0.28     17.32
20:27:27      2.89    144.35
20:27:28      1.61     82.68
20:27:29      2.13     98.04
20:27:30      0.61     26.62
20:27:31      1.66     77.84
20:27:32      2.18    121.90
