time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.011,3072,2,0,21.4,20.4,20.4,21.6,6.3,2564629,5,1,1,bbr1
0.006,6904,4,0,23.9,32.2,20.4,32.2,8.0,888833,7,1,1,bbr1
0.026,9752,6,4320,24.2,26.1,20.4,32.2,6.5,888833,12,1,1,bbr1
0.005,16354,11,55,23.3,20.4,20.4,32.2,4.1,888833,15,1,1,bbr1
0.006,17132,11,0,23.9,26.5,20.4,32.2,3.4,1111041,16,1,1,bbr1
0.026,19980,13,14400,24.2,26.3,20.4,32.2,3.2,1111041,28,1,1,bbr1
0.029,22828,15,15840,23.9,21.7,20.4,32.2,3.0,1111041,31,1,1,bbr1
0.034,25676,17,18720,23.9,24.2,20.4,32.2,2.3,1111041,36,1,1,bbr1
0.037,28524,19,18720,24.1,25.2,20.4,32.2,2.1,1111041,38,1,1,bbr1
0.041,31372,21,20160,24.3,25.7,20.4,32.2,2.0,1111041,41,1,1,bbr1
0.045,34220,23,21600,24.6,26.7,20.4,32.2,2.1,1111041,44,1,1,bbr1
0.047,37068,25,21600,24.1,20.3,20.3,32.2,2.6,1111041,46,1,1,bbr1
0.051,39916,27,23040,23.7,20.9,20.3,32.2,2.8,1111041,49,1,1,bbr1
0.053,41340,28,23040,23.4,21.2,20.3,32.2,2.7,1111041,50,1,1,bbr1
0.056,44188,30,24480,23.2,22.4,20.3,32.2,2.3,1111041,53,1,1,bbr1
0.059,44655,31,24480,23.2,23.0,20.3,32.2,1.8,1111041,55,1,1,bbr1
0.063,44655,31,25920,23.3,23.6,20.3,32.2,1.4,1111041,58,1,1,bbr1
0.065,44655,31,25920,23.4,24.4,20.3,32.2,1.4,1111041,60,1,1,bbr1
0.070,44655,31,27360,23.6,25.3,20.3,32.2,1.5,1111041,63,1,1,bbr1
0.072,44655,31,27360,23.9,26.0,20.3,32.2,1.7,1111041,65,1,1,bbr1
0.076,44655,31,28800,24.3,26.8,20.3,32.2,2.0,1111041,68,1,1,bbr1
0.080,44655,31,30240,24.7,27.6,20.3,32.2,2.3,1111041,71,1,1,bbr1
0.082,44655,31,30240,25.1,28.2,20.3,32.2,2.6,1111041,73,1,1,bbr1
0.087,44655,31,31680,25.6,29.0,20.3,32.2,2.9,1111041,76,1,1,bbr1
0.090,44655,31,31680,26.2,30.0,20.3,32.2,3.3,666624,78,1,1,bbr1
0.094,44655,31,31680,26.8,30.8,20.3,32.2,3.6,666624,81,1,1,bbr1
0.096,44655,31,30240,27.4,31.6,20.3,32.2,3.9,666624,82,1,1,bbr1
0.100,44655,31,30240,28.0,32.3,20.3,32.3,4.2,666624,84,1,1,bbr1
0.102,44655,31,28800,28.6,32.7,20.3,32.7,4.3,666624,85,1,1,bbr1
0.107,44655,31,28800,29.2,33.8,20.3,33.8,4.6,666624,87,1,1,bbr1
0.111,44655,31,28800,29.9,34.8,20.3,34.8,4.8,666624,89,1,1,bbr1
0.114,44655,31,27360,30.6,35.6,20.3,35.6,5.0,666624,90,1,1,bbr1
0.118,44655,31,27360,31.3,36.1,20.3,36.1,5.1,666624,92,1,1,bbr1
0.120,44655,31,25920,32.0,37.1,20.3,37.1,5.3,666624,93,1,1,bbr1
0.124,44655,31,25920,32.8,38.0,20.3,38.0,5.5,888833,95,1,1,bbr1
0.127,44655,31,25920,33.5,38.4,20.3,38.4,5.5,888833,97,1,1,bbr1
0.130,44655,31,25920,34.0,37.4,20.3,38.4,5.1,888833,99,1,1,bbr1
0.132,44655,31,25920,34.3,36.8,20.3,38.4,4.5,888833,100,1,1,bbr1
0.135,44655,31,25920,34.6,36.5,20.3,38.4,3.9,888833,102,1,1,bbr1
0.138,44655,31,25920,34.7,35.5,20.3,38.4,3.2,888833,104,1,1,bbr1
0.141,44655,31,25920,34.7,34.5,20.3,38.4,2.5,888833,106,1,1,bbr1
0.146,44655,31,27360,34.5,33.4,20.3,38.4,2.2,888833,109,1,1,bbr1
0.148,44655,31,25920,34.2,32.3,20.3,38.4,2.2,888833,110,1,1,bbr1
0.152,44655,31,25920,34.0,31.9,20.3,38.4,2.2,888833,112,1,1,bbr1
0.156,44655,31,27360,33.6,31.0,20.3,38.4,2.4,888833,115,1,1,bbr1
0.159,44655,31,27360,33.3,31.1,20.3,38.4,2.4,888833,117,1,1,bbr1
0.163,44655,31,27360,33.1,31.8,20.3,38.4,2.2,888833,119,1,1,bbr1
0.166,44655,31,27360,32.9,31.3,20.3,38.4,2.1,888833,121,1,1,bbr1
0.169,44655,31,27360,32.7,31.6,20.3,38.4,1.9,888833,123,1,1,bbr1
0.176,28023,19,24480,32.5,31.8,20.3,38.4,1.4,888833,125,1,1,bbr1
0.179,30871,21,25920,32.5,32.5,20.3,38.4,1.1,888833,128,1,1,bbr1
0.184,33719,23,27360,32.5,32.7,20.3,38.4,0.9,888833,131,1,1,bbr1
0.187,36567,25,27360,32.5,32.7,20.3,38.4,0.7,888833,133,1,1,bbr1
0.190,39415,27,27360,32.6,32.8,20.3,38.4,0.6,888833,135,1,1,bbr1
0.194,42263,29,27360,32.6,33.0,20.3,38.4,0.5,888833,137,1,1,bbr1
0.197,44655,31,27360,32.6,32.8,20.3,38.4,0.4,888833,139,1,1,bbr1
0.200,44655,31,27360,32.7,33.0,20.3,38.4,0.4,888833,141,1,1,bbr1
0.203,44655,31,27360,32.8,33.7,20.3,38.4,0.6,888833,143,1,1,bbr1
0.206,44655,31,27360,32.5,30.4,20.3,38.4,1.0,888833,145,1,1,bbr1
0.211,44655,31,27360,32.4,32.0,20.3,38.4,0.9,888833,148,1,1,bbr1
0.219,44655,31,28800,32.5,32.7,20.3,38.4,0.7,1111041,153,1,1,bbr1
0.008,44655,31,55,33.5,36.0,20.3,38.4,1.5,1111041,159,1,1,bbr1
0.025,44655,31,0,33.0,29.7,20.3,38.4,2.1,1111041,160,1,1,bbr1
0.051,44655,31,25920,31.8,23.8,20.3,38.4,3.8,1111041,183,1,1,bbr1
0.057,44655,31,27360,31.0,25.5,20.3,38.4,4.5,1111041,188,1,1,bbr1
0.064,44655,31,28800,30.5,27.0,20.3,38.4,4.4,1111041,193,1,1,bbr1
0.072,44655,31,31680,30.3,28.6,20.3,38.4,3.8,1111041,199,1,1,bbr1
