time_hms,kb_per_sec_in,kb_per_sec_out
14:12:15,0.0,0.0
14:12:16,0.0,0.0
14:12:17,0.0,0.0
14:12:18,0.0,0.07
14:12:19,0.07,0.2
14:12:20,0.0,0.07
14:12:21,0.0,0.43
14:12:22,0.0,0.0
14:12:23,0.0,0.0
14:12:24,0.0,0.0
14:12:25,0.0,0.0
14:12:26,0.0,0.0
14:12:27,0.0,0.0
14:12:28,0.0,0.0
14:12:29,0.0,0.0
14:12:30,0.0,0.0
14:12:31,0.0,0.0
14:12:32,0.0,0.0
14:12:33,0.0,0.0
14:12:34,0.0,0.14
14:12:35,0.0,0.0
14:12:36,0.07,0.07
14:12:37,0.0,0.43
14:12:38,0.0,0.14
14:12:39,0.0,0.0
14:12:40,0.0,0.0
14:12:41,0.0,0.0
14:12:42,0.0,0.0
14:12:43,0.0,0.0
14:12:44,0.04,0.04
14:12:45,17.49,500.48
14:12:46,24.95,623.71
14:12:47,20.09,620.27
14:12:48,15.39,601.08
14:12:49,12.98,621.95
14:12:50,11.33,626.19
14:12:51,11.8,638.03
14:12:52,12.24,598.02
14:12:53,12.38,616.33
14:12:54,12.58,711.76
14:12:55,14.11,812.12
14:12:56,11.84,623.23
14:12:57,12.24,628.21
14:12:58,12.51,635.08
14:12:59,12.47,608.49
14:13:00,12.17,614.38
14:13:01,11.76,673.69
14:13:02,15.19,797.5
14:13:03,13.64,818.17
14:13:04,15.32,819.58
14:13:05,13.32,805.39
14:13:06,15.03,825.54
14:13:07,14.24,776.95
14:13:08,15.67,837.37
14:13:09,14.08,758.45
14:13:10,13.88,837.37
14:13:11,14.64,741.46
14:13:12,14.83,846.23
14:13:13,13.76,732.67
14:13:14,14.13,849.13
14:13:15,13.44,703.34
14:13:16,15.29,853.68
14:13:17,13.61,765.38
14:13:18,14.24,847.51
14:13:19,13.95,738.16
14:13:20,14.29,837.42
14:13:21,14.01,699.94
14:13:22,14.32,849.16
14:13:23,13.41,739.86
14:13:24,14.34,843.77
14:13:25,14.07,734.01
14:13:26,13.54,840.33
14:13:27,13.42,722.91
14:13:28,13.65,775.87
14:13:29,14.13,787.19
14:13:30,14.66,838.87
14:13:31,14.32,760.59
14:13:32,15.31,827.03
14:13:33,13.76,755.02
14:13:34,14.49,825.56
14:13:35,14.35,763.55
14:13:36,14.29,800.49
14:13:37,14.64,784.56
14:13:38,12.98,827.07
14:13:39,14.45,796.0
14:13:40,13.05,816.7
14:13:41,15.02,808.06
14:13:42,12.21,747.3
14:13:43,15.02,804.9
14:13:44,14.56,766.5
14:13:45,15.15,826.14
14:13:46,13.55,775.36
14:13:47,13.92,832.95
14:13:48,14.23,719.18
14:13:49,14.59,849.41
14:13:50,13.15,723.61
14:13:51,14.1,854.1
14:13:52,12.82,738.43
14:13:53,14.92,853.86
14:13:54,13.78,742.82
14:13:55,15.19,852.48
14:13:56,12.37,716.23
14:13:57,14.29,853.59
14:13:58,14.1,739.69
14:13:59,15.25,852.09
14:14:00,14.42,739.92
14:14:01,13.55,854.47
14:14:02,14.6,772.43
14:14:03,14.29,853.64
14:14:04,14.47,778.34
14:14:05,14.44,851.02
14:14:06,14.94,731.06
14:14:07,14.4,852.14
14:14:08,13.98,734.01
14:14:09,13.53,834.85
14:14:10,14.84,753.2
14:14:11,13.74,831.48
14:14:12,13.97,761.34
14:14:13,13.53,836.34
14:14:14,14.06,771.38
14:14:15,13.4,816.84
14:14:16,15.04,787.2
14:14:17,12.61,776.83
14:14:18,15.34,803.73
14:14:19,13.25,768.03
14:14:20,14.43,818.2
14:14:21,14.3,741.39
14:14:22,13.9,809.78
14:14:23,14.39,782.75
14:14:24,14.37,829.34
14:14:25,13.81,779.79
14:14:26,14.14,843.41
14:14:27,13.1,681.1
14:14:28,13.94,850.03
14:14:29,13.23,726.64
14:14:30,14.73,852.05
14:14:31,13.23,723.56
14:14:32,14.55,851.38
14:14:33,12.67,697.15
14:14:34,14.87,855.1
14:14:35,12.15,700.12
14:14:36,14.87,848.16
14:14:37,12.84,736.21
14:14:38,14.28,849.22
14:14:39,12.75,741.42
14:14:40,14.76,850.63
14:14:41,13.01,722.54
14:14:42,13.47,754.67
14:14:43,14.12,729.58
14:14:44,14.97,819.66
14:14:45,10.69,509.42
14:14:46,0.0,0.0
14:14:47,0.0,0.0
14:14:48,0.0,0.0
14:14:49,0.0,0.0
14:14:50,0.0,0.0
14:14:51,0.0,0.0
14:14:52,0.0,0.0
14:14:53,0.0,0.0
14:14:54,0.0,0.0
14:14:55,0.0,0.0
14:14:56,0.0,0.0
14:14:57,0.0,0.0
14:14:58,0.0,0.0
14:14:59,0.0,0.0
14:15:00,0.0,0.0
14:15:01,0.0,0.0
14:15:02,0.0,0.0
14:15:03,0.0,0.0
14:15:04,0.0,0.0
14:15:05,0.0,0.0
14:15:06,0.0,0.0
14:15:07,0.0,0.0
14:15:08,0.0,0.0
14:15:09,0.0,0.0
14:15:10,0.0,0.0
14:15:11,0.0,0.0
14:15:12,0.0,0.0
14:15:13,0.0,0.0
14:15:14,0.0,0.0
14:15:15,0.0,0.0
14:15:16,0.0,0.0
14:15:17,0.0,0.0
14:15:18,0.0,0.0
14:15:19,0.0,0.0
14:15:20,0.0,0.0
14:15:21,0.0,0.0
14:15:22,0.0,0.0
14:15:23,0.0,0.0
14:15:24,0.0,0.0
14:15:25,0.0,0.0
14:15:26,0.0,0.0
14:15:27,0.0,0.0
14:15:28,0.0,0.0
14:15:29,0.0,0.0
14:15:30,0.0,0.0
14:15:31,0.0,0.0
14:15:32,0.0,0.0
14:15:33,0.0,0.0
