Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,551.0,0,0.0,4.2,1.047
2,4363.0,0,0.0,4.135,1.035
3,4758.0,0,0.0,4.08,1.0225
4,3447.0,0,0.0,4.045,1.013
5,5021.0,1,0.0,4.025,1.009
6,3456.0,1,0.0,4.01,1.004
7,2610.0,0,0.0,4.0,1.004
8,2952.0,0,0.0,4.0,1.0
9,3255.0,0,0.0,4.0,1.0
10,3102.0,0,0.0,4.0,1.0
11,3328.0,0,0.0,4.0,1.0
12,1807.0,1,0.0,4.0,1.0
13,3595.0,1,0.0,4.0,1.0
14,1182.0,0,0.0,4.0,1.0
15,1631.0,0,0.0,4.0,1.0
16,3624.0,1,1.22925,4.6175,1.06625
17,3595.0,1,1.65775,5.53,1.1
18,1115.0,1,0.0,5.43,1.1
19,662.0,1,0.0,5.28,1.1
20,1747.0,1,0.0,5.13,1.1
21,1581.0,0,0.0,4.98,1.1
22,1540.0,0,0.0,4.83,1.1
23,754.0,0,0.0,4.68,1.096
24,423.0,1,0.0,4.495,1.0885
25,403.0,0,0.0,4.34,1.0715
26,417.0,0,0.0,4.24,1.057
27,436.0,0,0.0,4.17,1.041
28,832.0,0,0.0,4.1,1.029
29,804.0,1,0.0,4.0600000000000005,1.0185
30,276.0,0,0.0,4.035,1.0095
31,378.0,0,0.0,4.015,1.005
32,786.0,0,0.0,4.006666666666667,1.003
33,1826.0,0,0.0,4.0,1.003
34,809.0,1,0.0,3.995,1.001
35,826.0,1,0.0,3.995,0.999
36,815.0,0,0.0,4.0,0.999
37,796.0,0,0.0,4.0,0.999
38,1850.0,0,0.0,4.0,0.999
39,872.0,1,0.0,4.0,0.999
40,471.0,1,0.0,4.0,0.999
41,526.0,0,0.0,4.0,0.999
42,731.0,0,0.0,4.01,0.999
43,262.0,0,0.0,4.01,0.999
44,829.0,1,0.0,4.01,1.0003333333333333
45,1902.0,1,0.0,4.01,1.003
46,865.0,0,0.0,4.0,1.003
47,911.0,0,0.0,3.9966666666666666,1.0016666666666667
48,1618.0,1,0.0,4.0,0.999
49,733.0,1,0.0,4.0,0.999
50,1624.0,1,0.0,4.0,0.999
51,910.0,0,0.0,4.0,0.999
52,865.0,0,0.0,4.0,0.999
53,905.0,0,0.0,4.0,0.999
54,1755.0,0,0.0,4.0,0.999
55,775.0,2,0.0,4.01,0.999
56,1650.0,1,0.0,4.01,0.999
57,732.0,2,0.0,4.01,1.0003333333333333
58,1893.0,0,0.0,4.01,1.003
59,470.0,1,0.0,4.0,1.003
60,551.0,1,0.0,4.0,1.003
61,681.0,0,0.0,3.995,0.999
62,738.0,0,0.0,4.0,0.999
63,752.0,0,0.0,4.0,0.999
64,438.0,0,0.0,4.0,0.999
65,477.0,1,0.0,4.0,0.999
66,223.0,0,0.0,4.0,0.999
67,327.0,0,0.0,4.005,0.999
68,447.0,0,0.0,4.01,0.999
69,426.0,0,0.0,4.01,0.999
70,443.0,0,0.0,4.01,0.999
71,368.0,0,0.0,4.01,1.001
72,430.0,0,0.0,4.005,1.003
73,223.0,0,0.0,4.0,1.003
74,379.0,0,0.0,3.99,1.001
75,294.0,0,0.0,3.995,0.999
76,376.0,0,0.0,4.0,0.999
77,273.0,0,0.0,4.0,0.999
78,322.0,0,0.0,4.0,0.999
79,435.0,0,0.0,4.0,0.999
80,319.0,0,0.0,4.0,0.999
81,378.0,0,0.0,4.0,0.999
82,364.0,0,0.0,4.005,0.999
83,423.0,0,0.0,4.01,0.999
84,403.0,0,0.0,4.01,0.999
85,417.0,0,0.0,4.01,0.999
86,436.0,0,0.0,4.01,1.003
87,440.0,0,0.0,4.0,1.003
88,428.0,0,0.0,3.99,1.001
89,164.0,0,0.0,3.995,0.999
