  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:22:55      7.29    191.44
18:22:56     13.01    767.64
18:22:57     13.39    774.25
18:22:58     13.19    778.47
18:22:59     14.00    848.40
18:23:00      3.54    143.43
18:23:01     12.66    751.92
18:23:02      4.92    202.92
18:23:03     10.98    617.95
18:23:04      0.25      0.78
18:23:05      7.27    381.20
18:23:06      0.00      0.00
18:23:07     11.68    694.74
18:23:08      1.42     75.76
18:23:09     11.02    648.67
18:23:10      2.74    159.66
18:23:11      9.35    522.54
18:23:12      6.20    362.98
18:23:13      8.12    438.11
18:23:14      0.00      0.14
18:23:15      7.87    413.58
18:23:16     13.24    789.19
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:23:17     13.58    795.01
18:23:18      5.58    316.72
18:23:19      6.55    396.26
18:23:20      7.39    438.78
18:23:21      6.10    350.17
18:23:22      7.48    445.32
18:23:23      5.34    304.26
18:23:24      9.18    549.16
18:23:25      3.74    162.98
18:23:26     11.92    715.06
18:23:27      3.07    141.80
18:23:28     13.06    732.38
18:23:29      2.98    131.39
18:23:30      9.27    511.16
18:23:31      1.09     28.40
18:23:32     12.63    662.33
18:23:33      3.93    183.81
18:23:34     12.81    734.86
18:23:35      0.52      9.73
18:23:36     12.21    664.79
18:23:37      5.45    256.45
18:23:38     10.98    558.67
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:23:39      4.23    231.88
18:23:40     12.18    693.17
18:23:41      5.39    293.00
18:23:42     11.02    551.53
18:23:43     13.15    703.20
18:23:44     11.12    566.24
18:23:45      5.11    261.84
18:23:46      9.89    524.44
18:23:47     10.03    554.23
18:23:48      9.89    533.34
18:23:49      7.54    419.53
18:23:50      8.94    480.93
18:23:51      6.25    342.54
18:23:52      8.19    403.13
18:23:53      8.33    464.08
18:23:54      6.52    334.81
18:23:55     10.41    518.91
18:23:56      6.84    354.00
18:23:57      9.84    532.27
18:23:58      5.44    255.21
18:23:59     11.45    627.13
18:24:00      5.16    255.52
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:24:01     11.23    631.02
18:24:02      4.56    171.81
18:24:03      2.65    150.24
18:24:04      3.46    111.82
18:24:05      4.51    220.71
18:24:06      3.02     68.45
18:24:07     13.43    757.37
18:24:08      3.11     78.99
18:24:09     12.58    683.47
18:24:10     10.77    508.15
18:24:11      7.92    424.85
18:24:12      1.68      6.51
18:24:13      8.84    427.56
18:24:14      2.23      8.12
18:24:15     11.34    578.52
18:24:16      6.45    266.91
18:24:17     10.96    545.98
18:24:18      7.17    314.09
18:24:19     10.11    502.09
18:24:20     12.59    600.87
18:24:21     11.34    586.83
18:24:22      2.76     28.84
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:24:23      9.23    475.97
18:24:24     13.01    714.94
18:24:25     11.41    592.44
18:24:26     13.44    743.48
18:24:27      7.43    330.39
18:24:28      8.61    465.39
18:24:29      6.67    345.01
18:24:30     13.54    769.34
18:24:31      7.24    351.18
18:24:32     13.25    740.16
18:24:33     10.45    576.15
18:24:34     13.44    740.50
18:24:35      5.86    263.08
18:24:36     12.78    669.01
18:24:37     13.48    719.70
18:24:38     13.44    755.05
18:24:39      6.20    312.63
18:24:40     13.15    705.45
18:24:41     10.36    556.15
18:24:42     13.63    753.60
18:24:43      7.81    399.26
18:24:44     12.87    705.20
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
18:24:45     10.00    540.20
18:24:46     12.37    660.38
18:24:47      6.22    312.20
18:24:48     12.28    657.31
18:24:49     11.17    616.73
18:24:50     11.78    650.37
18:24:51     10.22    579.54
18:24:52     10.83    576.25
18:24:53     10.31    572.39
18:24:54      9.60    509.66
