time_hms,kb_per_sec_in,kb_per_sec_out
15:30:30,0.0,0.0
15:30:31,0.0,0.0
15:30:32,0.07,0.07
15:30:33,0.0,0.07
15:30:34,0.0,0.2
15:30:35,0.0,0.0
15:30:36,0.0,0.43
15:30:37,0.0,0.0
15:30:38,0.0,0.0
15:30:39,0.0,0.0
15:30:40,0.0,0.0
15:30:41,0.0,0.0
15:30:42,0.0,0.0
15:30:43,0.0,0.0
15:30:44,0.0,0.0
15:30:45,0.0,0.0
15:30:46,0.0,0.0
15:30:47,0.0,0.07
15:30:48,0.07,0.0
15:30:49,0.0,0.07
15:30:50,0.0,0.07
15:30:51,0.0,0.0
15:30:52,0.0,0.57
15:30:53,0.0,0.0
15:30:54,0.0,0.0
15:30:55,0.0,0.0
15:30:56,0.0,0.0
15:30:57,0.0,0.0
15:30:58,0.0,0.0
15:30:59,0.04,0.04
15:31:00,13.47,258.61
15:31:01,5.1,161.66
15:31:02,21.05,644.85
15:31:03,12.98,341.16
15:31:04,24.77,575.85
15:31:05,11.59,276.25
15:31:06,23.04,574.51
15:31:07,11.87,305.97
15:31:08,16.57,661.65
15:31:09,5.96,209.72
15:31:10,10.35,514.3
15:31:11,6.79,190.51
15:31:12,12.69,587.77
15:31:13,8.07,382.4
15:31:14,16.06,774.49
15:31:15,3.59,91.57
15:31:16,10.19,576.32
15:31:17,7.63,403.23
15:31:18,16.45,847.67
15:31:19,5.82,144.73
15:31:20,13.72,673.29
15:31:21,6.19,211.35
15:31:22,8.27,441.83
15:31:23,8.21,308.93
15:31:24,11.95,701.91
15:31:25,6.09,288.05
15:31:26,13.58,731.01
15:31:27,9.46,340.01
15:31:28,6.73,292.42
15:31:29,8.8,398.76
15:31:30,5.58,172.79
15:31:31,7.21,283.68
15:31:32,3.62,103.38
15:31:33,5.89,249.64
15:31:34,6.37,228.92
15:31:35,9.13,463.85
15:31:36,5.17,181.58
15:31:37,9.28,485.79
15:31:38,6.75,373.64
15:31:39,12.48,550.86
15:31:40,6.12,237.74
15:31:41,12.62,643.89
15:31:42,5.88,147.79
15:31:43,12.36,598.15
15:31:44,4.38,127.14
15:31:45,9.93,555.25
15:31:46,4.16,127.01
15:31:47,11.3,684.25
15:31:48,3.67,100.41
15:31:49,10.87,560.08
15:31:50,6.43,196.43
15:31:51,7.25,305.72
15:31:52,4.13,116.74
15:31:53,6.82,304.23
15:31:54,6.94,193.45
15:31:55,6.45,199.38
15:31:56,5.69,190.52
15:31:57,7.01,246.62
15:31:58,3.39,155.07
15:31:59,5.87,186.23
15:32:00,5.66,230.39
15:32:01,4.88,171.28
15:32:02,8.59,409.06
15:32:03,12.22,828.97
15:32:04,9.17,392.82
15:32:05,12.66,815.21
15:32:06,9.31,366.24
15:32:07,7.41,342.76
15:32:08,8.82,412.05
15:32:09,7.07,317.48
15:32:10,10.05,460.75
15:32:11,5.97,208.37
15:32:12,9.19,527.2
15:32:13,3.62,87.2
15:32:14,8.1,375.17
15:32:15,3.65,112.27
15:32:16,11.49,617.99
15:32:17,5.17,143.25
15:32:18,6.2,237.77
15:32:19,3.59,72.44
