time_s,cwnd_bytes,cwnd_pkts,bytes_in_flight,srtt_ms,rtt_sample_ms,rtt_min_ms,rtt_max_ms,rtt_var_ms,pacing_rate_Bps,pkts_sent,pkts_lost,timer_losses,cc_algo
0.006,3072,2,0,21.8,20.3,20.3,23.5,5.5,892111,5,1,1,cubic
0.006,16430,11,55,23.2,28.7,20.3,28.7,5.6,706849,8,1,1,cubic
0.006,16524,11,2880,23.4,24.3,20.3,28.7,4.5,706818,10,1,1,cubic
0.005,17339,12,0,24.5,25.7,20.3,28.7,2.8,706819,15,1,1,cubic
0.007,17503,12,0,24.8,26.4,20.3,28.7,2.5,706849,16,1,1,cubic
0.029,20696,14,15840,25.2,28.7,20.3,28.7,2.9,819643,29,1,1,cubic
0.046,9155,6,7200,26.1,26.5,20.3,28.7,1.6,465118,33,1,1,cubic
0.049,9165,6,7200,25.3,20.2,20.2,28.7,2.7,465118,35,1,1,cubic
0.052,9175,6,7200,25.1,23.6,20.2,28.7,2.5,465118,37,1,1,cubic
0.059,9194,6,8640,25.0,24.1,20.2,28.7,2.1,465118,39,1,1,cubic
0.068,9532,6,7200,24.6,21.9,20.2,28.7,2.4,465118,40,1,1,cubic
0.071,9962,6,7200,24.3,21.9,20.2,28.7,2.4,465118,42,1,1,cubic
0.074,10374,7,7200,24.0,21.9,20.2,28.7,2.4,465118,44,1,1,cubic
0.085,10571,7,10080,23.5,20.2,20.2,28.7,2.8,465118,47,1,1,cubic
0.090,10959,7,8640,23.3,22.0,20.2,28.7,2.5,465118,48,1,1,cubic
0.093,11333,7,8640,23.1,21.9,20.2,28.7,2.2,465118,50,1,1,cubic
0.096,11695,8,8640,23.0,22.0,20.2,28.7,1.9,508721,52,1,1,cubic
0.103,11871,8,11520,23.1,23.7,20.2,28.7,1.6,514475,55,1,1,cubic
0.110,12216,8,10080,22.7,20.2,20.2,28.7,1.9,537747,56,1,1,cubic
0.113,12552,8,10080,22.4,20.3,20.2,28.7,2.1,560132,58,1,1,cubic
0.118,12878,8,10080,22.1,20.2,20.2,28.7,2.1,581767,60,1,1,cubic
0.120,13197,9,8640,21.9,20.4,20.2,28.7,2.0,601997,61,1,1,cubic
0.130,13352,9,12960,22.3,25.3,20.2,28.7,2.3,597458,65,1,1,cubic
0.132,13659,9,11520,22.3,22.0,20.2,28.7,1.9,612566,66,1,1,cubic
0.136,13960,9,11520,22.1,20.5,20.2,28.7,1.8,632303,68,1,1,cubic
0.141,14253,9,11520,21.8,20.2,20.2,28.7,1.8,652580,70,1,1,cubic
0.145,14541,10,11520,21.6,20.2,20.2,28.7,1.8,672136,72,1,1,cubic
0.151,14823,10,12960,21.5,20.2,20.2,28.7,1.7,690887,75,1,1,cubic
0.155,15100,10,12960,21.3,20.2,20.2,28.7,1.6,709020,77,1,1,cubic
0.160,15371,10,12960,21.2,20.3,20.2,28.7,1.4,726040,79,1,1,cubic
0.163,15638,10,12960,21.0,20.2,20.2,28.7,1.3,742968,81,1,1,cubic
0.167,15900,11,12960,20.9,20.2,20.2,28.7,1.2,759348,83,1,1,cubic
0.173,16158,11,14400,20.8,20.2,20.2,28.7,1.1,775112,86,1,1,cubic
0.177,16412,11,14400,20.8,20.2,20.2,28.7,1.0,790368,88,1,1,cubic
0.180,16662,11,14400,20.7,20.1,20.1,28.7,0.9,805433,90,1,1,cubic
0.184,16908,11,14400,20.6,20.1,20.1,28.7,0.8,820139,92,1,1,cubic
0.188,17151,11,14400,20.6,20.2,20.1,28.7,0.7,834111,94,1,1,cubic
0.191,17390,12,14400,20.5,20.4,20.1,28.7,0.6,846764,96,1,1,cubic
0.196,17626,12,15840,20.5,20.2,20.1,28.7,0.5,859972,99,1,1,cubic
0.199,17858,12,15840,20.5,20.1,20.1,28.7,0.5,873209,101,1,1,cubic
0.203,18088,12,15840,20.4,20.3,20.1,28.7,0.4,885451,103,1,1,cubic
0.206,18315,12,15840,20.4,20.2,20.1,28.7,0.4,897926,105,1,1,cubic
0.210,18539,12,15840,20.4,20.5,20.1,28.7,0.3,908195,107,1,1,cubic
0.213,18760,13,15840,20.5,20.7,20.1,28.7,0.3,917180,109,1,1,cubic
0.217,18978,13,17280,20.5,21.0,20.1,28.7,0.4,924943,112,1,1,cubic
0.220,19195,13,17280,20.6,20.9,20.1,28.7,0.4,933200,114,1,1,cubic
0.223,19408,13,17280,20.6,20.8,20.1,28.7,0.3,941998,116,1,1,cubic
0.227,19619,13,17280,20.6,20.7,20.1,28.7,0.3,951593,118,1,1,cubic
0.230,19828,13,17280,20.6,20.8,20.1,28.7,0.3,960984,120,1,1,cubic
0.234,20035,13,17280,20.6,20.2,20.1,28.7,0.3,973612,122,1,1,cubic
0.237,20240,14,17280,20.7,21.4,20.1,28.7,0.4,978534,124,1,1,cubic
0.240,20443,14,18720,20.9,22.2,20.1,28.7,0.7,979305,127,1,1,cubic
0.244,20643,14,18720,21.1,22.6,20.1,28.7,1.0,978990,129,1,1,cubic
0.247,20842,14,18720,21.3,22.5,20.1,28.7,1.1,980015,131,1,1,cubic
0.251,21039,14,18720,21.5,23.2,20.1,28.7,1.3,978057,133,1,1,cubic
0.254,21234,14,18720,21.8,23.6,20.1,28.7,1.5,975065,135,1,1,cubic
0.257,21427,14,18720,22.0,23.7,20.1,28.7,1.6,973069,137,1,1,cubic
0.264,21810,15,15840,22.2,23.7,20.1,28.7,1.6,981018,139,1,1,cubic
0.271,22186,15,17280,22.4,23.7,20.1,28.7,1.6,989916,144,1,1,cubic
0.278,22555,15,17280,22.6,23.6,20.1,28.7,1.5,999734,148,1,1,cubic
0.285,22919,15,17280,22.3,20.3,20.1,28.7,1.7,1028957,152,1,1,cubic
0.291,23277,16,17280,22.7,25.3,20.1,28.7,2.0,1027636,156,1,1,cubic
0.298,23629,16,18720,23.0,25.8,20.1,28.7,2.3,1025163,161,1,1,cubic
0.305,23976,16,18720,23.5,27.0,20.1,28.7,2.7,1018564,165,1,1,cubic
0.312,24318,16,18720,23.9,26.8,20.1,28.7,2.9,1015407,169,1,1,cubic
0.318,24656,17,18720,24.3,27.0,20.1,28.7,2.9,1013274,173,1,1,cubic
0.005,24656,17,0,25.0,23.6,20.1,28.7,2.3,985294,174,1,1,cubic
0.010,24656,17,0,25.2,26.1,20.1,28.7,2.0,979890,175,1,1,cubic
0.035,24988,17,20160,26.4,35.3,20.1,35.3,4.1,945333,193,1,1,cubic
0.042,25317,17,20160,27.1,32.0,20.1,35.3,4.4,933276,197,1,1,cubic
0.049,25641,17,20160,27.9,33.3,20.1,35.3,4.9,919098,202,1,1,cubic
0.056,25960,18,20160,28.7,34.2,20.1,35.3,5.2,905160,206,1,1,cubic
0.062,26276,18,21600,28.5,27.0,20.1,35.3,4.3,922904,211,1,1,cubic
0.069,26589,18,21600,28.3,27.1,20.1,35.3,3.6,939773,215,1,1,cubic
0.076,26897,18,21600,28.1,27.0,20.1,35.3,3.0,956303,219,1,1,cubic
0.083,27126,18,23040,27.8,25.4,20.1,35.3,3.0,976317,223,1,1,cubic
0.088,27428,19,21600,28.2,30.9,20.1,35.3,3.0,973452,226,1,1,cubic
0.095,27727,19,23040,28.6,31.9,20.1,35.3,3.2,968256,231,1,1,cubic
0.101,28023,19,23040,29.1,32.1,20.1,35.3,3.2,964016,235,1,1,cubic
0.108,28316,19,23040,29.5,32.2,20.1,35.3,3.2,961069,239,1,1,cubic
0.115,28605,19,23040,29.2,27.1,20.1,35.3,3.0,980630,243,1,1,cubic
0.122,28892,20,23040,29.7,33.4,20.1,35.3,3.3,972663,247,1,1,cubic
0.128,29176,20,24480,30.2,33.8,20.1,35.3,3.5,965613,252,1,1,cubic
0.135,29457,20,24480,30.7,33.8,20.1,35.3,3.5,960575,256,1,1,cubic
