  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
00:57:10      0.00      0.00
00:57:11      0.00      0.00
00:57:12      0.00      0.07
00:57:13      0.00      0.27
00:57:14      0.07      0.00
00:57:15      0.00      0.00
00:57:16      0.00      0.40
00:57:17      0.00      0.00
00:57:18      0.00      0.00
00:57:19      0.00      0.00
00:57:20      0.00      0.00
00:57:21      0.00      0.00
00:57:22      0.00      0.00
00:57:23      0.00      0.00
00:57:24      0.00      0.00
00:57:25      0.00      0.00
00:57:26      0.00      0.00
00:57:27      0.00      0.00
00:57:28      0.00      0.14
00:57:29      0.00      0.14
00:57:30      0.00      0.00
00:57:31      0.00      0.00
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
00:57:32      0.00      0.46
00:57:33      0.00      0.00
00:57:34      0.07      0.00
00:57:35      0.00      0.00
00:57:36      0.00      0.00
00:57:37      0.00      0.00
00:57:38      0.00      0.00
00:57:39      0.04      0.04
00:57:40     13.00    346.51
00:57:41     17.26    661.92
00:57:42     11.95    426.81
00:57:43     14.16    539.37
00:57:44     12.55    443.06
00:57:45     19.25    819.66
00:57:46     12.68    428.30
00:57:47     12.28    444.53
00:57:48     12.26    446.02
00:57:49     20.50    834.73
00:57:50     13.74    471.55
00:57:51     15.26    577.46
00:57:52     12.60    429.77
00:57:53     20.10    818.17
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
00:57:54     13.12    450.75
00:57:55     19.99    800.43
00:57:56     13.16    468.16
00:57:57     18.88    769.46
00:57:58     13.40    495.14
00:57:59     17.90    750.21
00:58:00     14.50    542.28
00:58:01     16.76    671.18
00:58:02     18.09    686.74
00:58:03     20.69    855.40
00:58:04     16.02    648.75
00:58:05     20.24    836.24
00:58:06     16.45    658.49
00:58:07     14.83    573.22
00:58:08     17.61    646.88
00:58:09     19.33    801.30
00:58:10     16.66    669.06
00:58:11     19.06    818.10
00:58:12     16.79    687.21
00:58:13     18.41    798.99
00:58:14     17.35    714.83
00:58:15     19.73    773.88
  Time         s2-eth3      
HH:MM:SS   KB/s in  KB/s out
00:58:16     19.19    737.29
00:58:17     18.34    735.49
00:58:18     18.21    785.72
00:58:19     18.33    711.85
00:58:20     20.67    786.03
00:58:21     16.34    638.01
00:58:22     19.92    806.37
00:58:23     17.49    734.73
00:58:24     18.54    831.47
00:58:25     19.02    721.11
00:58:26     20.86    852.56
00:58:27     16.17    635.06
00:58:28     19.07    855.54
00:58:29     18.52    713.31
00:58:30     19.33    854.18
00:58:31     16.35    629.39
00:58:32     22.00    854.38
00:58:33     15.94    615.85
00:58:34     21.36    853.64
00:58:35     16.09    620.35
