Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,471.0,0,0.0,4.31,1.065
2,3229.0,1,0.0,4.24,1.06
3,3235.0,0,0.0,4.19,1.049
4,3084.0,2,0.0,4.12,1.0313333333333332
5,4777.0,0,0.0,4.0600000000000005,1.018
6,4977.0,0,0.0,4.035,1.0095
7,4616.0,0,0.0,4.015,1.007
8,5090.0,0,0.0,4.01,1.003
9,4480.0,0,0.0,4.0,1.003
10,4927.0,0,0.0,4.0,1.003
11,3128.0,1,0.0,3.9933333333333336,1.0016666666666667
12,4864.0,1,0.0,3.995,0.999
13,3137.0,1,0.0,4.0,0.999
14,4941.0,1,0.0,4.0,0.999
15,4769.0,0,0.0,4.0,0.999
16,4454.0,0,0.0,4.0,0.999
17,1650.0,1,0.0,4.003333333333333,0.999
18,3682.0,1,0.0,4.01,0.999
19,4126.0,1,0.0,4.01,0.999
20,4817.0,0,0.0,4.01,1.003
21,1157.0,1,0.0,4.005,1.003
22,3125.0,0,0.0,4.0,1.003
23,3004.0,0,0.0,3.99,1.001
24,1667.0,1,0.0,3.99,0.999
25,4517.0,1,0.0,4.0,0.999
26,5021.0,0,0.0,4.0,0.999
27,4861.0,0,0.0,4.0,0.999
28,2755.0,0,0.0,4.0,0.999
29,3572.0,0,0.0,4.003333333333333,0.999
30,5019.0,0,0.0,4.01,0.999
31,3102.0,1,0.0,4.01,0.999
32,3328.0,0,0.0,4.01,1.001
33,3422.0,0,0.0,4.005,1.003
34,3595.0,0,0.0,4.0,1.003
35,2284.0,0,0.0,3.9933333333333336,1.0016666666666667
36,3176.0,0,0.0,3.99,0.999
37,1531.0,1,0.0,3.9966666666666666,0.999
38,3595.0,1,0.0,4.0,0.999
39,1115.0,1,0.0,4.0,0.999
40,2922.0,1,0.0,4.0,0.999
41,3292.0,0,0.0,4.0,0.999
42,3176.0,0,0.0,4.01,0.999
43,1540.0,1,0.0,4.01,0.999
44,3202.0,1,0.0,4.01,1.001
45,1653.0,1,0.0,4.003333333333333,1.003
46,4547.0,1,0.0,4.0,1.003
47,4593.0,0,0.0,3.99,1.003
48,3433.0,0,0.0,3.99,0.999
49,1779.0,2,0.0,3.995,0.999
50,1230.0,1,0.0,4.0,0.999
51,1466.0,0,0.0,4.0,0.999
52,4083.0,0,0.0,4.0,0.999
53,4831.0,0,0.0,4.005,0.999
54,5070.0,0,0.0,4.01,0.999
55,4687.0,0,0.0,4.01,0.999
56,3264.0,1,0.0,4.01,1.0003333333333333
57,4680.0,1,0.0,4.005,1.003
58,4674.0,0,0.0,4.0,1.003
59,3906.0,1,0.0,3.99,1.003
60,2152.0,0,0.0,3.99,0.999
61,2762.0,0,0.0,4.0,0.999
62,4406.0,1,0.0,4.0,0.999
63,1237.0,1,0.0,4.0,0.999
64,1813.0,0,0.0,4.0,0.999
65,1902.0,0,0.0,4.003333333333333,0.999
66,4616.0,1,0.0,4.01,0.999
67,3090.0,1,0.0,4.01,0.999
68,3097.0,0,0.0,4.01,1.0016666666666667
69,4927.0,1,0.0,4.0,1.003
70,4653.0,0,0.0,4.0,1.003
71,4864.0,0,0.0,3.99,1.003
72,865.0,1,0.0,3.99,0.999
73,2054.0,1,0.0,4.0,0.999
74,4769.0,1,0.0,4.0,0.999
75,3539.0,1,0.0,4.0,0.999
76,5050.0,1,0.0,4.0,0.999
77,3682.0,1,0.0,4.0,0.999
78,3622.0,0,0.0,4.01,0.999
79,3720.0,0,0.0,4.01,0.999
80,2402.0,0,0.0,4.01,1.0003333333333333
81,3756.0,1,0.0,4.005,1.003
82,4363.0,0,0.0,4.0,1.003
83,4758.0,0,0.0,3.995,1.003
84,1751.0,1,0.0,3.9933333333333336,0.999
85,5021.0,1,0.0,4.0,0.999
86,3456.0,1,0.0,4.0,0.999
87,1203.0,1,0.0,4.0,0.999
88,2952.0,1,0.0,4.0,0.999
89,1640.0,1,0.0,4.0,0.999
90,4771.0,0,0.0,4.005,0.999
