time_hms,kb_per_sec_in,kb_per_sec_out
20:29:42,8.34,176.08
20:29:43,7.8,358.49
20:29:44,14.21,801.6
20:29:45,13.29,616.46
20:29:46,6.87,310.19
20:29:47,10.71,408.89
20:29:48,12.91,627.86
20:29:49,12.88,735.85
20:29:50,9.74,587.47
20:29:51,8.46,495.55
20:29:52,11.16,677.13
20:29:53,7.53,341.24
20:29:54,13.63,644.76
20:29:55,10.27,594.75
20:29:56,12.88,778.07
20:29:57,6.01,345.25
20:29:58,14.0,854.33
20:29:59,5.53,311.83
20:30:00,13.83,825.76
20:30:01,4.49,252.72
20:30:02,1.14,66.36
20:30:03,3.9,203.03
20:30:04,2.87,129.2
20:30:05,2.95,155.94
20:30:06,11.62,685.34
20:30:07,2.38,111.83
20:30:08,12.2,737.76
20:30:09,1.41,64.84
20:30:10,13.34,799.19
20:30:11,0.52,12.74
20:30:12,13.45,807.54
20:30:13,0.26,2.63
20:30:14,13.61,816.8
20:30:15,0.47,23.01
20:30:16,13.02,763.48
20:30:17,1.51,91.0
20:30:18,12.16,721.07
20:30:19,3.83,228.44
20:30:20,11.5,675.27
20:30:21,5.49,332.85
20:30:22,9.51,556.33
20:30:23,0.0,0.0
20:30:24,9.51,555.2
20:30:25,2.74,158.35
20:30:26,8.94,525.95
20:30:27,5.2,309.1
20:30:28,8.19,475.64
20:30:29,2.37,137.36
20:30:30,7.43,430.67
20:30:31,5.96,347.4
20:30:32,6.48,370.11
20:30:33,7.42,441.28
20:30:34,5.72,330.7
20:30:35,7.57,458.65
20:30:36,5.06,286.26
20:30:37,8.42,511.7
20:30:38,3.3,150.2
20:30:39,10.88,650.88
20:30:40,2.92,137.96
20:30:41,4.89,277.83
20:30:42,1.94,57.09
20:30:43,6.41,367.16
20:30:44,1.19,10.76
20:30:45,7.26,417.35
20:30:46,0.76,4.19
20:30:47,13.32,800.91
20:30:48,1.36,9.3
20:30:49,9.73,533.77
20:30:50,2.54,7.84
20:30:51,10.75,474.72
20:30:52,13.91,756.08
20:30:53,13.21,592.53
20:30:54,14.1,854.38
20:30:55,8.18,473.57
20:30:56,13.81,837.71
20:30:57,3.55,196.42
20:30:58,14.15,854.87
20:30:59,3.33,167.38
20:31:00,13.48,806.81
20:31:01,2.03,105.29
20:31:02,8.51,515.32
20:31:03,1.28,59.03
20:31:04,13.53,625.96
20:31:05,2.6,136.01
20:31:06,12.93,762.14
20:31:07,0.26,2.63
20:31:08,13.6,813.86
20:31:09,6.82,410.63
20:31:10,13.01,774.41
20:31:11,6.53,390.13
20:31:12,12.25,721.03
20:31:13,9.57,574.07
20:31:14,11.57,572.99
20:31:15,5.65,320.57
20:31:16,10.74,634.4
20:31:17,1.42,77.17
20:31:18,9.04,484.94
20:31:19,4.98,280.49
20:31:20,7.84,427.76
20:31:21,13.92,854.82
20:31:22,7.87,393.66
20:31:23,14.15,854.06
20:31:24,6.8,313.02
20:31:25,9.34,550.61
20:31:26,4.56,199.49
20:31:27,4.8,272.08
20:31:29,4.41,160.57
20:31:30,6.03,348.61
20:31:31,3.4,114.97
20:31:32,8.14,487.16
20:31:33,3.24,73.25
20:31:34,14.1,854.41
20:31:35,6.46,267.27
20:31:36,14.1,854.41
20:31:37,3.48,66.11
20:31:38,7.61,437.58
20:31:39,2.19,8.12
20:31:40,12.66,756.95
20:31:41,3.11,42.5
20:31:42,12.21,718.25
20:31:43,13.29,788.12
20:31:44,13.46,787.81
20:31:45,6.15,371.63
20:31:46,7.71,452.22
20:31:47,10.48,626.44
20:31:48,7.09,409.08
20:31:49,8.99,542.73
20:31:50,6.29,364.04
20:31:51,12.68,766.95
20:31:52,5.54,317.93
