  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:45:37      7.43    194.04
01:45:38      9.00    448.50
01:45:39     13.96    738.67
01:45:40     12.40    593.58
01:45:41      2.68      9.68
01:45:42     12.09    752.74
01:45:43     12.89    785.19
01:45:44     13.14    825.01
01:45:45      7.57    472.92
01:45:46      5.06    296.11
01:45:47     12.49    782.62
01:45:48      4.40    260.12
01:45:49     11.17    691.72
01:45:50      3.55    213.68
01:45:51     13.53    854.30
01:45:52      3.93    230.47
01:45:53     13.44    854.39
01:45:54      4.68    272.14
01:45:55     13.72    854.42
01:45:56      4.85    283.97
01:45:57     13.63    854.37
01:45:58      4.59    268.53
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:45:59     13.44    854.79
01:46:00      5.63    336.26
01:46:01     13.16    834.55
01:46:02      4.80    287.11
01:46:03      5.60    321.04
01:46:04      0.00      0.00
01:46:05      6.23    331.03
01:46:06      0.04      0.08
01:46:07      7.72    302.12
01:46:08     12.50    536.87
01:46:09     11.18    380.50
01:46:10     12.11    578.25
01:46:11      6.61    195.06
01:46:12      9.01    341.26
01:46:13      4.82    117.39
01:46:14      2.71    105.11
01:46:15      3.05     45.70
01:46:16      9.06    383.53
01:46:17      3.15     16.24
01:46:18      5.96    201.45
01:46:19      2.89     10.46
01:46:20     12.09    448.15
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:46:21     12.32    500.34
01:46:22     10.60    339.80
01:46:23     12.51    484.60
01:46:24      0.86      2.35
01:46:25      5.16    147.64
01:46:26      6.19    224.70
01:46:27      5.04    127.44
01:46:28     12.30    497.49
01:46:29     10.52    360.20
01:46:30      5.78    181.39
01:46:31      5.14    134.49
01:46:32      3.30     91.52
01:46:33      4.35    104.31
01:46:34      3.66    136.11
01:46:35      3.12     32.81
01:46:36     11.35    500.20
01:46:37      8.57    268.58
01:46:38     12.25    501.06
01:46:39     12.65    490.17
01:46:40     10.96    443.80
01:46:41     11.27    415.09
01:46:42     11.75    440.75
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:46:43      4.73    157.94
01:46:44      5.82    223.81
01:46:45      4.99    201.74
01:46:46      4.21    152.98
01:46:47     13.15    546.46
01:46:48      6.73    230.85
01:46:49      8.96    412.33
01:46:50      3.02    127.00
01:46:51     12.21    497.33
01:46:52      9.51    307.06
01:46:53      9.05    399.00
01:46:54      1.31     22.99
01:46:55     14.00    621.62
01:46:56      5.69    217.02
01:46:57     11.33    468.14
01:46:58      0.61     12.75
01:46:59     13.53    595.72
01:47:00     10.95    331.46
01:47:01     12.07    541.70
01:47:02     11.15    418.16
01:47:03      9.26    341.03
01:47:04      7.11    283.83
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:47:05      8.69    338.14
01:47:06      1.64     47.12
01:47:07      9.80    304.24
01:47:08     11.77    474.65
01:47:09      8.19    281.98
01:47:10      4.07    154.55
01:47:11      8.54    322.02
01:47:12     10.69    430.81
01:47:13     10.84    428.01
01:47:14      5.78    157.23
01:47:15      5.29    149.74
01:47:16     13.34    589.93
01:47:17      9.73    299.41
01:47:18     12.90    533.81
01:47:19      4.31     99.24
01:47:20      2.81     66.60
01:47:21      4.91    112.98
01:47:22      2.75    101.66
01:47:23      4.44    108.71
01:47:24      2.87    105.12
01:47:25      3.59     48.72
01:47:26     12.96    597.25
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:47:27      8.54    226.09
01:47:28     11.14    441.01
01:47:29     11.94    517.78
01:47:30     12.89    577.96
01:47:31     10.98    444.71
01:47:32      2.79    109.72
01:47:33     11.68    451.09
01:47:34      8.44    314.82
01:47:35      8.20    343.36
01:47:36      1.27      5.77
01:47:37     11.52    462.60
01:47:38     11.77    465.96
01:47:39     11.60    517.28
01:47:40      2.31     77.00
01:47:41     10.02    374.00
01:47:42      0.76      2.35
01:47:43     10.84    454.55
01:47:44      0.51      1.57
01:47:45      8.69    300.56
01:47:46     11.96    522.74
01:47:47      5.54    184.24
01:47:48      6.92    221.74
  Time         s2-eth2      
HH:MM:SS   KB/s in  KB/s out
01:47:49      9.23    373.72
01:47:50     11.55    406.42
01:47:51     10.14    395.29
01:47:52     12.30    469.84
01:47:53      8.79    320.20
01:47:54      5.91    147.58
01:47:55      5.26    141.88
01:47:56     12.30    505.98
01:47:57     10.20    387.80
01:47:58      1.84     33.62
01:47:59      5.70    165.70
01:48:00     10.88    400.46
01:48:01     11.03    441.48
01:48:02     13.25    601.37
01:48:03      7.05    218.89
01:48:04      5.83    217.34
01:48:05      3.59     52.32
01:48:06     11.78    487.10
01:48:07     12.16    487.34
01:48:08     13.44    846.22
