Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,512.0,0,0.0,4.16,1.0385
2,3824.0,1,0.0,4.095000000000001,1.025
3,1581.0,1,0.0,4.043333333333333,1.015
4,3127.0,1,0.0,4.02,1.006
5,1622.0,1,0.0,4.01,1.006
6,4385.0,0,0.0,4.01,1.001
7,4547.0,1,0.0,4.0,1.001
8,4593.0,0,0.0,4.0,1.001
9,4549.0,0,0.0,4.0,1.001
10,4701.0,0,0.0,3.99,1.001
11,4358.0,0,0.0,3.99,1.001
12,1230.0,0,0.0,3.99,1.001
13,1466.0,0,0.0,3.983333333333333,1.001
14,3253.0,0,0.0,3.98,1.001
15,3289.0,0,0.0,3.98,0.9989999999999999
16,3348.0,0,0.0,3.986666666666667,0.997
17,3176.0,0,0.0,3.99,0.997
18,1632.0,1,0.0,4.0,0.997
19,1718.0,0,0.0,4.0,0.9983333333333334
20,1850.0,0,0.0,4.0,1.001
21,471.0,1,0.0,4.0,1.001
22,1403.0,1,0.0,3.995,1.001
23,731.0,1,0.0,3.99,1.001
24,262.0,0,0.0,3.99,1.001
25,440.0,0,0.0,3.99,1.001
26,464.0,0,0.0,3.9850000000000003,1.001
27,437.0,0,0.0,3.98,1.001
28,449.0,0,0.0,3.98,0.9989999999999999
29,429.0,0,0.0,3.98,0.997
30,433.0,0,0.0,3.99,0.997
31,445.0,0,0.0,3.995,0.997
32,448.0,0,0.0,4.0,0.997
33,439.0,0,0.0,4.0,0.9989999999999999
34,440.0,0,0.0,4.0,1.001
35,443.0,0,0.0,4.0,1.001
36,406.0,0,0.0,4.0,1.001
37,446.0,0,0.0,3.995,1.001
38,382.0,0,0.0,3.99,1.001
39,346.0,0,0.0,3.99,1.001
40,431.0,0,0.0,3.9850000000000003,1.001
41,240.0,0,0.0,3.98,1.001
42,273.0,0,0.0,3.98,0.9989999999999999
43,337.0,0,0.0,3.98,0.997
44,354.0,0,0.0,3.99,0.997
45,423.0,0,0.0,3.9966666666666666,0.997
46,438.0,0,0.0,4.0,0.997
47,477.0,0,0.0,4.01,0.997
48,223.0,0,0.0,4.0,1.001
49,327.0,0,0.0,4.0,1.001
50,447.0,0,0.0,4.0,1.001
51,426.0,0,0.0,3.99,1.001
52,443.0,0,0.0,3.99,1.001
53,368.0,0,0.0,3.99,1.001
54,430.0,0,0.0,3.98,1.001
55,223.0,0,0.0,3.98,1.001
56,379.0,0,0.0,3.98,0.997
57,294.0,0,0.0,3.99,0.997
58,376.0,0,0.0,3.99,0.997
59,273.0,0,0.0,4.0,0.997
60,322.0,0,0.0,4.0,0.997
61,435.0,0,0.0,4.0,1.001
62,319.0,0,0.0,4.0,1.001
63,378.0,0,0.0,4.0,1.001
64,364.0,0,0.0,4.0,1.001
65,423.0,0,0.0,3.99,1.001
66,403.0,0,0.0,3.99,1.001
67,417.0,0,0.0,3.99,1.001
68,436.0,0,0.0,3.98,1.001
69,440.0,0,0.0,3.98,1.001
70,428.0,0,0.0,3.98,0.997
71,164.0,0,0.0,3.9850000000000003,0.997
72,212.0,0,0.0,3.99,0.997
73,450.0,0,0.0,4.0,0.997
74,428.0,0,0.0,4.0,0.997
75,421.0,0,0.0,4.0,1.001
76,419.0,0,0.0,4.0,1.001
77,411.0,0,0.0,4.0,1.001
78,440.0,0,0.0,4.0,1.001
79,427.0,0,0.0,3.99,1.001
80,447.0,0,0.0,3.99,1.001
81,270.0,0,0.0,3.9850000000000003,1.001
82,279.0,0,0.0,3.98,1.001
83,386.0,0,0.0,3.98,1.001
84,262.0,0,0.0,3.98,0.997
85,440.0,0,0.0,3.99,0.997
86,464.0,0,0.0,3.9966666666666666,0.997
87,437.0,0,0.0,4.0,0.997
88,449.0,0,0.0,4.0,0.9989999999999999
89,429.0,0,0.0,4.0,1.001
