time_hms,kb_per_sec_in,kb_per_sec_out
20:52:12,0.9,3.2
20:52:13,15.0,596.3
20:52:14,17.2,809.3
20:52:15,14.8,632.3
20:52:16,13.1,586.5
20:52:17,14.1,604.5
20:52:18,13.0,593.2
20:52:19,13.8,582.5
20:52:20,13.4,614.0
20:52:21,13.1,558.9
20:52:22,14.2,648.5
20:52:23,12.7,536.5
20:52:24,8.1,366.9
20:52:25,12.1,512.6
20:52:26,6.9,314.4
20:52:27,11.6,490.5
20:52:28,13.9,636.8
20:52:29,11.0,461.0
20:52:30,7.2,329.1
20:52:31,10.5,435.9
20:52:32,18.6,833.9
20:52:33,16.3,717.0
20:52:34,18.6,831.5
20:52:35,19.1,854.3
20:52:36,18.7,834.2
20:52:37,19.0,823.6
20:52:38,17.4,793.6
20:52:39,8.0,319.2
20:52:40,18.6,855.7
20:52:41,9.2,380.0
20:52:42,13.3,548.4
20:52:43,10.7,373.5
20:52:44,12.0,446.3
20:52:45,13.3,469.8
20:52:46,12.1,412.3
20:52:47,12.6,450.7
20:52:48,12.1,429.9
20:52:49,11.9,434.5
20:52:50,12.7,453.0
20:52:51,11.6,415.8
20:52:52,9.7,359.6
20:52:53,2.8,76.8
20:52:54,8.8,347.6
20:52:55,2.5,66.5
20:52:56,11.5,412.8
20:52:57,2.1,53.2
20:52:58,10.6,413.5
20:52:59,1.8,41.4
20:53:00,11.1,445.1
20:53:01,1.6,28.1
20:53:02,6.8,270.6
20:53:03,1.3,16.2
20:53:04,9.5,363.3
20:53:05,1.1,3.0
20:53:06,10.1,388.0
20:53:07,0.5,0.1
20:53:08,11.3,418.1
20:53:09,0.4,11.1
20:53:10,11.6,427.1
20:53:11,0.6,23.2
20:53:12,11.1,396.0
20:53:13,1.1,40.5
20:53:14,10.8,384.2
20:53:15,2.3,77.3
20:53:16,9.1,310.3
20:53:17,0.0,0.0
20:53:18,9.2,318.5
20:53:19,0.0,0.0
20:53:20,9.7,336.9
20:53:21,2.4,85.0
20:53:22,10.0,348.7
20:53:23,2.1,72.7
20:53:24,9.2,323.6
20:53:25,4.1,145.5
20:53:26,8.8,301.3
20:53:27,4.6,163.0
20:53:28,8.7,304.4
20:53:29,5.5,195.8
20:53:30,8.1,276.3
20:53:31,0.9,28.8
20:53:32,8.1,304.4
20:53:33,3.1,115.1
20:53:34,7.5,252.7
20:53:35,3.7,141.5
20:53:36,7.0,236.4
20:53:37,5.6,200.1
20:53:38,6.7,220.2
20:53:39,1.8,67.7
20:53:40,6.4,227.6
20:53:41,3.8,141.4
20:53:42,6.0,208.3
20:53:43,6.4,240.8
20:53:44,5.4,177.3
20:53:45,6.5,229.6
20:53:46,5.1,169.9
20:53:47,6.0,226.4
20:53:48,4.7,158.1
20:53:49,7.1,259.1
20:53:50,4.3,138.9
20:53:51,7.7,286.2
20:53:52,4.0,133.0
20:53:53,7.7,310.8
20:53:54,3.8,113.8
20:53:55,8.9,330.8
20:53:56,3.3,99.0
20:53:57,8.8,348.7
20:53:58,2.9,82.8
