      Time     KB/s_in    KB/s_out
  20:37:30         0.9         3.2
  20:37:31        14.7       582.8
  20:37:32         4.5       233.4
  20:37:33        13.9       613.2
  20:37:34        11.7       537.1
  20:37:35        13.8       589.5
  20:37:36         7.5       338.7
  20:37:37        13.3       564.4
  20:37:38        13.5       619.5
  20:37:39        12.7       541.2
  20:37:40         5.4       247.1
  20:37:41        12.0       509.8
  20:37:42        10.3       469.3
  20:37:43        11.6       489.1
  20:37:44        16.6       755.9
  20:37:45        11.2       468.4
  20:37:46         7.8       353.6
  20:37:47        10.6       440.3
  20:37:48        13.8       629.9
  20:37:49        10.2       422.6
  20:37:50        18.7       833.7
  20:37:51        19.2       825.6
  20:37:52        18.6       854.3
  20:37:53        15.0       640.6
  20:37:54        18.0       826.5
  20:37:55         8.0       324.0
  20:37:56        18.4       840.7
  20:37:57         7.5       302.9
  20:37:58        18.6       854.2
  20:37:59         8.2       326.6
  20:38:00        13.3       561.6
  20:38:01        11.6       402.8
  20:38:02         5.3       187.2
  20:38:03         3.8       121.2
  20:38:04         7.0       257.6
  20:38:05         3.4       104.9
  20:38:06        11.7       428.6
  20:38:07        11.9       390.3
  20:38:08        12.2       440.4
  20:38:09        11.2       377.1
  20:38:10        11.6       424.0
  20:38:11        12.7       414.1
  20:38:12        10.1       379.4
  20:38:13         2.5        51.7
  20:38:14        10.0       368.2
  20:38:15         2.2        38.4
  20:38:16        11.2       403.3
  20:38:17         2.0        26.6
  20:38:18        12.4       448.9
  20:38:19         1.4        13.3
  20:38:20        12.4       440.2
  20:38:21         2.4        48.7
  20:38:22         8.2       283.7
  20:38:23         0.5         0.0
  20:38:24        10.7       361.2
  20:38:25         0.0         0.0
  20:38:26        12.5       413.9
  20:38:27         0.5        16.4
  20:38:28        10.1       318.9
  20:38:29         0.0         0.0
  20:38:30        12.0       390.0
  20:38:31         2.1        76.1
  20:38:32        11.1       354.6
  20:38:33         3.8       134.1
  20:38:34        11.1       354.7
  20:38:35         3.2       116.8
  20:38:36        11.2       364.9
  20:38:37         1.5        54.2
  20:38:38        10.5       336.8
  20:38:39         2.3        79.4
  20:38:40         9.6       313.2
  20:38:41         2.8        98.1
  20:38:42         8.7       304.4
  20:38:43         3.2       113.5
  20:38:44         8.5       301.4
  20:38:45         3.3       120.4
  20:38:46         7.6       258.6
  20:38:47         4.9       185.6
  20:38:48         7.6       261.5
  20:38:49         7.4       265.8
  20:38:50         7.0       239.3
  20:38:51         5.8       211.9
  20:38:52         6.7       243.8
  20:38:53         5.5       205.9
  20:38:54         6.3       223.1
  20:38:55         5.3       201.3
  20:38:56         5.9       202.4
  20:38:57         7.5       277.0
  20:38:58         5.7       189.1
  20:38:59         7.8       277.7
  20:39:00         5.4       177.3
  20:39:01         8.2       309.2
  20:39:02         3.8       124.1
  20:39:03         4.5       174.5
  20:39:04         4.5       143.3
  20:39:05         6.1       236.3
  20:39:06         4.2       131.5
  20:39:07         6.8       259.5
  20:39:08         3.8       118.2
  20:39:09         8.4       310.6
  20:39:10         3.4       102.0
  20:39:11         9.0       348.1
  20:39:12         3.2        91.7
  20:39:13         9.1       344.9
  20:39:14         2.7        76.8
  20:39:15        10.6       384.5
  20:39:16         2.4        63.5
  20:39:17         6.4       246.7
  20:39:18         2.0        48.8
  20:39:19         6.6       269.8
  20:39:20         1.8        36.9
  20:39:21        10.2       384.8
  20:39:22         1.4        22.2
  20:39:23        10.1       399.3
  20:39:24         1.2         8.9
  20:39:25        11.7       456.5
  20:39:26         1.2         6.6
  20:39:27        11.4       431.5
  20:39:28         1.3        30.0
  20:39:29        11.5       427.0
  20:39:30         2.1        73.3
  20:39:31         8.3       305.5
  20:39:32         0.0         0.0
  20:39:33        11.3       413.7
  20:39:34         0.2         5.7
  20:39:35        11.0       382.7
  20:39:36         0.3        11.4
  20:39:37        10.5       372.4
  20:39:38         1.8        64.2
  20:39:39         8.5       287.9
  20:39:40         0.0         0.1
  20:39:41         9.4       335.4
  20:39:42         1.1        33.7
  20:39:43         9.1       322.1
  20:39:44         3.5       127.1
  20:39:45         8.8       302.9
  20:39:46         2.9       104.1
  20:39:47         8.3       299.9
  20:39:48         2.6        96.4
  20:39:49         8.4       294.1
  20:39:50         3.3       123.1
  20:39:51         7.6       263.0
  20:39:52         4.3       162.0
  20:39:53         7.7       257.0
  20:39:54        12.0       421.6
  20:39:55        11.7       378.1
  20:39:56         7.6       276.3
  20:39:57         7.7       234.9
  20:39:58         6.4       222.4
  20:39:59         7.0       211.3
  20:40:00         7.0       248.6
  20:40:01         4.7       125.7
  20:40:02         0.7        26.0
  20:40:03         3.2        90.4
  20:40:04         2.0        88.4
  20:40:05         5.1       166.9
  20:40:06         7.5       273.8
  20:40:07         4.8       153.7
  20:40:08         8.4       315.6
  20:40:09         4.5       140.4
  20:40:10         7.8       282.2
  20:40:11         3.9       124.1
  20:40:12         7.9       299.8
  20:40:13         3.3        94.6
  20:40:14         8.6       325.3
  20:40:15         3.2        97.5
  20:40:16         9.5       344.2
  20:40:17         2.9        81.3
  20:40:18        10.8       394.1
  20:40:19         2.5        69.4
  20:40:20        11.5       429.8
  20:40:21         2.3        57.6
  20:40:22         6.0       229.2
  20:40:23         2.0        45.8
  20:40:24         7.4       315.5
  20:40:25         1.8        32.6
  20:40:26        10.6       397.2
  20:40:27         1.4        20.7
  20:40:28         7.7       298.2
  20:40:29         1.1         7.4
  20:40:30        10.6       458.8
  20:40:31         0.6         2.9
  20:40:32        11.6       486.7
  20:40:33         0.0         0.0
  20:40:34        18.1       783.5
  20:40:35         0.1         0.0
  20:40:36        18.1       787.6
  20:40:37         0.1         4.2
  20:40:38        17.6       765.4
  20:40:39         0.6        28.0
  20:40:40        14.3       603.0
  20:40:41         4.4       200.9
  20:40:42        16.6       719.7
  20:40:43         1.9        82.0
  20:40:44        16.1       694.4
  20:40:45         3.0       113.8
  20:40:46        15.5       666.2
  20:40:47         6.6       301.3
  20:40:48        15.0       642.7
  20:40:49        13.6       621.1
