timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-01 10:05:18.133,55804,ESTAB,bbr,224,21.044,6.412,20.233,1448,12,17376,NaN,2883,2883,408,NaN,3,5,2,1,NaN,NaN,15549072,1144040,3,48640,43520,NaN,NaN
2026-04-01 10:05:18.403,55804,ESTAB,bbr,224,21.044,6.412,20.233,1448,12,17376,NaN,2883,2883,408,NaN,3,5,2,1,NaN,NaN,15549072,1144040,3,48640,43520,NaN,NaN
2026-04-01 10:05:19.098,55816,ESTAB,bbr,232,28.801,1.461,20.083,1448,43,62264,NaN,109408,84792,822,NaN,77,34,76,2,NaN,NaN,20351920,6699608,60,86016,43520,17,5964
2026-04-01 10:05:19.319,55816,ESTAB,bbr,232,28.79,0.316,20.083,1448,36,52128,28960,251092,229372,1644,NaN,176,86,175,4,NaN,NaN,8812736,6718168,161,86528,43520,15,372136
2026-04-01 10:05:19.541,55816,ESTAB,bbr,232,28.422,0.209,20.083,1448,36,52128,28960,439332,414716,1644,NaN,306,150,305,4,NaN,NaN,8339376,5815984,289,86528,43520,17,393856
2026-04-01 10:05:19.765,55816,ESTAB,bbr,232,29.136,1.137,20.083,1448,36,52128,28960,621780,600060,1644,NaN,432,214,431,4,NaN,NaN,8339376,6301216,417,86528,43520,15,388034
2026-04-01 10:05:19.991,55816,ESTAB,bbr,232,30.067,0.845,20.083,1448,36,52128,28960,814364,791196,1644,NaN,565,280,564,4,NaN,NaN,8345352,5836184,549,86528,43520,16,195450
2026-04-01 10:05:20.229,55816,ESTAB,bbr,232,31.936,3.296,20.083,1448,42,60816,28960,1006948,983780,1644,NaN,698,343,697,4,NaN,NaN,6676280,6699592,682,86528,43520,16,2866
2026-04-01 10:05:20.463,55816,ESTAB,bbr,232,29.489,1.656,20.083,1448,42,60816,28960,1009814,1009814,1644,NaN,700,352,699,4,NaN,NaN,6674232,6493728,700,86528,43520,NaN,NaN
2026-04-01 10:05:20.700,55816,ESTAB,bbr,232,29.489,1.656,20.083,1448,42,60816,28960,1009814,1009814,1644,NaN,700,352,699,4,NaN,NaN,6674232,6493728,700,86528,43520,NaN,NaN
2026-04-01 10:05:21.006,55816,ESTAB,bbr,232,28.404,1.875,20.083,1448,42,60816,28960,1012697,1012697,2052,NaN,702,354,701,5,NaN,NaN,6674232,6493728,702,86528,43520,NaN,NaN
2026-04-01 10:05:21.236,55816,ESTAB,bbr,232,29.463,1.117,20.083,1448,36,52128,28960,1209625,1186457,2468,NaN,838,415,837,6,NaN,NaN,8428240,6531944,822,86528,43520,16,351864
2026-04-01 10:05:21.477,55816,ESTAB,bbr,228,26.678,0.412,20.083,1448,52,75296,28960,1410897,1386281,2468,NaN,977,477,976,6,NaN,NaN,8370992,6718768,960,292352,43520,17,579200
2026-04-01 10:05:21.732,55816,ESTAB,bbr,228,26.257,0.689,20.083,1448,50,72400,28960,1617961,1596241,2468,NaN,1120,541,1119,6,NaN,NaN,6653728,6687256,1105,340992,43520,15,632776
