time_hms,kb_per_sec_in,kb_per_sec_out
19:57:05,0.9,3.2
19:57:06,11.9,451.1
19:57:07,13.8,630.9
19:57:08,10.7,481.8
19:57:09,19.2,827.0
19:57:10,19.3,854.5
19:57:11,18.7,833.5
19:57:12,19.2,834.1
19:57:13,18.6,854.3
19:57:14,11.3,475.1
19:57:15,18.6,855.8
19:57:16,8.8,360.0
19:57:17,7.6,347.1
19:57:18,8.4,344.3
19:57:19,12.5,570.2
19:57:20,7.9,319.0
19:57:21,18.6,854.0
19:57:22,9.8,404.7
19:57:23,18.7,855.7
19:57:24,8.7,348.9
19:57:25,18.6,854.2
19:57:26,9.1,368.5
19:57:27,18.7,854.3
19:57:28,6.1,235.4
19:57:29,18.6,853.9
19:57:30,5.5,211.7
19:57:31,8.4,382.6
19:57:32,4.8,178.8
19:57:33,18.6,854.3
19:57:34,7.2,282.8
19:57:35,12.6,498.0
19:57:36,9.6,307.5
19:57:37,9.1,323.6
19:57:38,9.8,338.4
19:57:39,8.4,307.4
19:57:40,9.1,286.8
19:57:41,8.4,293.9
19:57:42,8.6,277.4
19:57:43,9.0,320.7
19:57:44,4.2,115.2
19:57:45,8.8,308.8
19:57:46,3.6,89.2
19:57:47,9.5,325.1
19:57:48,2.4,68.3
19:57:49,9.4,308.9
19:57:50,3.7,105.4
19:57:51,9.0,295.5
19:57:52,3.7,129.5
19:57:53,8.5,274.8
19:57:54,4.6,169.0
19:57:55,8.8,279.4
19:57:56,4.6,165.5
19:57:57,8.3,270.4
19:57:58,5.4,177.4
19:57:59,8.2,257.1
19:58:00,5.8,200.3
19:58:01,8.3,266.0
19:58:02,5.3,194.5
19:58:03,5.2,151.6
19:58:04,0.0,0.0
19:58:05,5.8,178.7
19:58:06,0.0,0.1
19:58:07,6.9,227.6
19:58:08,6.2,213.1
19:58:09,6.9,205.4
19:58:10,7.7,263.9
19:58:11,6.7,212.7
19:58:12,6.1,209.6
19:58:13,6.0,177.3
19:58:14,7.2,246.6
19:58:15,6.0,189.1
19:58:16,6.8,230.7
19:58:17,5.8,172.8
19:58:18,7.6,268.8
19:58:19,5.6,162.5
19:58:20,8.6,307.3
19:58:21,5.3,163.6
19:58:22,9.1,319.1
19:58:23,5.7,163.9
19:58:24,4.3,144.9
19:58:25,4.4,130.0
19:58:26,7.0,231.4
19:58:27,4.1,115.3
19:58:28,8.4,297.0
19:58:29,4.3,126.8
19:58:30,6.1,209.6
19:58:31,4.0,104.9
19:58:32,9.5,325.1
19:58:33,4.5,127.7
19:58:34,8.7,307.3
19:58:35,5.5,173.9
19:58:36,9.1,325.1
19:58:37,4.7,134.5
19:58:38,9.1,314.6
19:58:39,3.6,97.0
19:58:40,8.8,298.5
19:58:41,3.9,109.0
19:58:42,9.1,322.1
19:58:43,3.2,78.9
19:58:44,8.8,310.3
19:58:45,3.7,100.2
19:58:46,9.3,319.2
19:58:47,3.4,90.9
19:58:48,9.1,319.1
19:58:49,4.1,117.6
19:58:50,8.8,310.3
19:58:51,9.4,310.2
19:58:52,8.2,302.9
19:58:53,8.9,290.3
19:58:54,8.1,287.2
19:58:55,9.0,294.2
19:58:56,8.7,290.0
19:58:57,6.4,225.2
19:58:58,8.8,277.8
19:58:59,5.5,189.0
19:59:00,8.7,279.2
19:59:01,5.8,207.3
19:59:02,8.5,268.9
19:59:03,1.0,29.7
19:59:04,8.3,255.6
19:59:05,3.5,124.0
19:59:06,8.3,262.0
19:59:07,3.7,129.4
19:59:08,7.4,246.7
19:59:09,5.5,182.1
19:59:10,7.5,236.4
19:59:11,6.3,213.8
19:59:12,7.4,233.4
19:59:13,6.0,202.9
19:59:14,7.1,230.5
19:59:15,6.8,231.0
19:59:16,6.6,205.5
19:59:17,2.8,104.9
19:59:18,6.2,193.5
19:59:19,3.7,125.0
19:59:20,6.2,189.1
19:59:21,6.8,232.8
19:59:22,5.6,168.5
19:59:23,7.5,253.0
19:59:24,5.4,174.3
19:59:25,8.7,294.8
19:59:26,5.4,156.7
19:59:27,8.4,303.0
19:59:28,5.1,145.3
19:59:29,8.4,297.1
19:59:30,6.2,194.4
19:59:31,4.8,173.5
19:59:32,4.5,131.5
19:59:33,8.2,288.0
19:59:34,4.0,110.8
19:59:35,8.1,283.3
19:59:36,4.1,116.7
19:59:37,9.3,319.7
19:59:38,3.5,93.1
19:59:39,5.8,194.8
19:59:40,3.1,82.7
19:59:41,8.3,286.3
19:59:42,3.0,75.4
19:59:43,8.4,301.4
19:59:44,4.6,135.9
19:59:45,8.8,317.7
19:59:46,3.1,83.3
19:59:47,8.8,311.6
19:59:48,2.9,74.2
19:59:49,9.7,329.5
19:59:50,3.1,78.8
19:59:51,8.7,305.9
19:59:52,3.7,108.8
19:59:53,9.5,323.6
19:59:54,4.2,109.9
19:59:55,9.0,325.1
19:59:56,4.2,110.7
19:59:57,8.8,314.7
19:59:58,4.7,127.1
19:59:59,8.2,298.5
20:00:00,4.8,155.9
20:00:01,8.9,302.9
20:00:02,4.3,157.2
20:00:03,5.0,151.6
20:00:04,0.0,0.0
20:00:05,5.6,178.7
20:00:06,0.0,0.0
20:00:07,10.7,440.6
20:00:08,0.0,0.0
20:00:09,11.2,469.2
20:00:10,0.0,0.0
20:00:11,10.2,422.5
20:00:12,0.0,0.0
20:00:13,10.2,424.0
20:00:14,0.0,0.0
20:00:15,9.9,419.7
20:00:16,0.0,0.0
20:00:17,11.1,442.7
20:00:18,0.0,0.0
20:00:19,13.9,595.3
20:00:20,7.6,346.7
20:00:21,13.5,574.7
20:00:22,9.3,425.2
20:00:23,12.9,548.2
20:00:24,0.1,4.2
