Timestamp,Buffer_Level,Live_Latency,Playback_Rate,Quality_Switches,Stall_Count,Stall_Duration_Sec,Actual_Bitrate_Kbps,Last_Chunk_DL_Time_Sec
2026-03-31T17:54:36.773Z,0.23,4.25,1.0,0,0,0.0,0,0.0
2026-03-31T17:54:37.771Z,1.35,4.21,1.053,0,0,0.0,864,0.282
2026-03-31T17:54:38.771Z,1.47,4.16,1.042,1,0,0.0,5090,1.546
2026-03-31T17:54:39.771Z,1.85,4.13,1.033,1,0,0.0,5090,1.546
2026-03-31T17:54:40.771Z,1.34,4.09,1.024,1,0,0.0,4480,1.364
2026-03-31T17:54:41.772Z,1.63,4.07,1.019,1,0,0.0,4480,1.364
2026-03-31T17:54:42.771Z,1.44,4.05,1.014,1,0,0.0,4928,1.496
2026-03-31T17:54:43.771Z,1.57,4.04,1.014,1,0,0.0,4928,1.496
2026-03-31T17:54:44.772Z,1.29,4.03,1.009,1,0,0.0,4654,1.418
2026-03-31T17:54:45.771Z,1.63,4.02,1.009,1,0,0.0,4654,1.418
2026-03-31T17:54:46.772Z,1.4,4.02,1.005,1,0,0.0,4864,1.479
2026-03-31T17:54:47.771Z,1.99,4.01,1.005,1,0,0.0,4864,1.479
2026-03-31T17:54:48.772Z,1.28,4.0,1.005,1,0,0.0,3780,1.151
2026-03-31T17:54:49.772Z,1.38,4.0,1.001,1,0,0.0,3780,1.151
2026-03-31T17:54:50.774Z,1.42,4.0,1.001,1,0,0.0,4942,1.499
2026-03-31T17:54:51.771Z,1.36,4.0,1.001,1,0,0.0,4942,1.499
2026-03-31T17:54:52.775Z,1.29,4.0,1.001,1,0,0.0,4768,1.447
2026-03-31T17:54:53.773Z,1.4,4.0,1.001,1,0,0.0,4768,1.447
2026-03-31T17:54:54.776Z,1.43,4.0,1.001,1,0,0.0,4454,1.361
2026-03-31T17:54:55.771Z,1.27,4.0,1.001,1,0,0.0,4454,1.361
2026-03-31T17:54:56.775Z,1.3,4.0,1.001,1,0,0.0,5050,1.533
2026-03-31T17:54:57.771Z,1.24,4.0,1.001,1,0,0.0,5050,1.533
2026-03-31T17:54:58.776Z,1.44,4.0,1.001,1,0,0.0,4206,1.279
2026-03-31T17:54:59.772Z,1.57,4.0,1.001,1,0,0.0,4206,1.279
2026-03-31T17:55:00.773Z,1.32,4.0,1.001,1,0,0.0,4126,1.255
2026-03-31T17:55:01.771Z,1.0,3.99,1.001,1,0,0.0,4126,1.255
2026-03-31T17:55:02.773Z,1.46,3.99,1.001,1,0,0.0,4818,1.468
2026-03-31T17:55:03.774Z,2.23,3.99,1.001,1,0,0.0,2546,0.783
2026-03-31T17:55:04.774Z,1.33,3.99,1.001,1,0,0.0,2546,0.783
2026-03-31T17:55:05.771Z,1.27,3.99,1.001,1,0,0.0,2546,0.783
2026-03-31T17:55:06.773Z,1.25,3.99,1.001,1,0,0.0,3756,1.687
2026-03-31T17:55:07.772Z,0.41,3.99,1.001,1,0,0.0,3756,1.687
2026-03-31T17:55:08.772Z,0.1,4.34,1.0,1,3,0.556,3756,1.687
2026-03-31T17:55:09.772Z,0.09,4.83,1.093,1,5,1.079,3756,1.687
2026-03-31T17:55:10.773Z,0.05,5.57,1.0,1,6,2.053,3756,1.687
2026-03-31T17:55:11.773Z,0.3,6.07,1.0,1,8,2.782,4364,4.713
2026-03-31T17:55:13.772Z,2.5,7.22,1.0,1,10,3.852,4364,0.735
2026-03-31T17:55:15.771Z,0.43,5.15,1.099,2,11,4.447,1750,0.178
2026-03-31T17:55:16.772Z,0.45,5.05,1.099,2,11,4.447,1698,1.849
2026-03-31T17:55:17.771Z,0.63,4.98,1.099,2,12,4.474,1698,1.849
2026-03-31T17:55:18.772Z,0.47,4.89,1.0,2,13,4.58,1796,1.923
2026-03-31T17:55:19.772Z,1.1,4.81,1.098,2,13,4.58,1202,1.252
2026-03-31T17:55:20.772Z,1.44,4.71,1.098,2,13,4.58,1202,1.252
2026-03-31T17:55:21.772Z,1.82,4.61,1.094,2,13,4.58,1234,1.317
2026-03-31T17:55:22.772Z,1.66,4.52,1.089,2,13,4.58,1234,1.317
2026-03-31T17:55:23.772Z,2.68,4.44,1.084,2,13,4.58,792,0.886
2026-03-31T17:55:24.774Z,3.6,4.36,1.074,3,13,4.58,824,0.924
2026-03-31T17:55:25.772Z,3.1,4.29,1.064,3,13,4.58,824,0.924
2026-03-31T17:55:26.774Z,3.62,4.23,1.055,3,13,4.58,746,0.834
2026-03-31T17:55:27.772Z,2.98,4.18,1.043,3,13,4.58,746,0.834
2026-03-31T17:55:28.774Z,3.4,4.14,1.034,3,13,4.58,872,1.001
2026-03-31T17:55:29.772Z,2.87,4.11,1.03,3,13,4.58,872,1.001
2026-03-31T17:55:30.776Z,3.48,4.08,1.024,3,13,4.58,474,0.574
2026-03-31T17:55:31.772Z,2.57,4.06,1.02,3,13,4.58,474,0.574
2026-03-31T17:55:32.776Z,3.32,4.05,1.015,3,13,4.58,766,0.877
2026-03-31T17:55:33.772Z,2.52,4.03,1.01,3,13,4.58,766,0.877
2026-03-31T17:55:34.773Z,3.44,4.03,1.01,3,13,4.58,678,0.791
2026-03-31T17:55:35.772Z,2.37,4.02,1.005,3,13,4.58,678,0.791
2026-03-31T17:55:36.772Z,3.3,4.01,1.005,3,13,4.58,656,0.754
2026-03-31T17:55:37.771Z,2.24,4.01,1.005,3,13,4.58,656,0.754
2026-03-31T17:55:38.775Z,3.44,4.0,1.001,3,13,4.58,512,0.587
2026-03-31T17:55:39.771Z,2.37,4.0,1.001,3,13,4.58,512,0.587
2026-03-31T17:55:40.775Z,3.31,4.0,1.001,3,13,4.58,662,0.729
2026-03-31T17:55:41.771Z,2.25,4.0,1.001,3,13,4.58,662,0.729
2026-03-31T17:55:42.775Z,3.32,4.0,1.001,3,13,4.58,858,0.967
2026-03-31T17:55:43.771Z,2.38,4.0,1.001,3,13,4.58,858,0.967
2026-03-31T17:55:44.774Z,3.32,4.0,1.001,3,13,4.58,692,0.812
2026-03-31T17:55:45.771Z,2.26,4.0,1.001,3,13,4.58,692,0.812
2026-03-31T17:55:46.774Z,3.37,4.0,1.001,3,13,4.58,720,0.855
2026-03-31T17:55:47.771Z,2.4,4.0,1.001,3,13,4.58,720,0.855
2026-03-31T17:55:48.775Z,3.33,3.99,1.001,3,13,4.58,754,0.907
2026-03-31T17:55:49.774Z,2.27,3.99,1.001,3,13,4.58,754,0.907
2026-03-31T17:55:50.775Z,3.25,3.99,1.001,3,13,4.58,788,0.949
2026-03-31T17:55:51.774Z,2.41,3.99,1.001,3,13,4.58,788,0.949
2026-03-31T17:55:52.775Z,3.25,3.99,1.001,3,13,4.58,786,0.914
2026-03-31T17:55:53.774Z,2.28,3.99,1.001,3,13,4.58,786,0.914
2026-03-31T17:55:54.773Z,3.24,3.99,1.001,3,13,4.58,786,0.896
2026-03-31T17:55:55.776Z,2.42,3.99,1.001,3,13,4.58,786,0.896
2026-03-31T17:55:56.772Z,3.01,3.99,1.001,3,13,4.58,786,0.896
2026-03-31T17:55:57.774Z,2.29,3.98,1.001,3,13,4.58,784,0.933
2026-03-31T17:55:58.772Z,2.73,3.98,1.001,3,13,4.58,784,0.933
2026-03-31T17:55:59.773Z,2.43,3.98,1.001,3,13,4.58,832,0.986
2026-03-31T17:56:00.771Z,3.06,3.98,1.001,3,13,4.58,832,0.986
2026-03-31T17:56:01.774Z,2.3,3.98,1.001,3,13,4.58,804,0.865
2026-03-31T17:56:02.776Z,3.24,3.98,1.001,3,13,4.58,276,0.349
2026-03-31T17:56:03.774Z,2.44,3.98,1.001,3,13,4.58,276,0.349
2026-03-31T17:56:04.773Z,3.38,3.98,1.001,3,13,4.58,378,0.414
2026-03-31T17:56:05.776Z,2.31,3.98,1.001,3,13,4.58,378,0.414
2026-03-31T17:56:06.772Z,2.72,3.98,1.001,3,13,4.58,378,0.414
2026-03-31T17:56:07.776Z,2.46,3.98,0.997,3,13,4.58,786,0.906
2026-03-31T17:56:08.771Z,2.32,3.98,0.997,3,13,4.58,786,0.906
2026-03-31T17:56:09.774Z,2.34,3.98,0.997,3,13,4.58,888,0.985
2026-03-31T17:56:10.772Z,2.51,3.99,0.997,3,13,4.58,888,0.985
2026-03-31T17:56:11.776Z,2.48,3.99,0.997,3,13,4.58,808,0.886
2026-03-31T17:56:12.772Z,2.31,3.99,0.997,3,13,4.58,808,0.886
2026-03-31T17:56:13.775Z,2.36,4.0,0.997,3,13,4.58,826,0.933
2026-03-31T17:56:14.772Z,2.26,4.0,1.0,3,13,4.58,826,0.933
2026-03-31T17:56:15.776Z,2.24,4.0,1.0,3,13,4.58,816,0.961
2026-03-31T17:56:16.772Z,2.09,4.0,1.0,3,13,4.58,816,0.961
2026-03-31T17:56:17.774Z,2.38,4.0,1.0,3,13,4.58,796,0.941
2026-03-31T17:56:18.772Z,2.07,4.0,1.0,3,13,4.58,796,0.941
2026-03-31T17:56:19.774Z,2.26,4.0,1.0,3,13,4.58,806,0.927
2026-03-31T17:56:20.772Z,2.07,4.0,1.0,3,13,4.58,806,0.927
2026-03-31T17:56:21.773Z,2.4,4.0,1.0,3,13,4.58,872,0.949
2026-03-31T17:56:22.772Z,2.55,4.0,1.0,3,13,4.58,872,0.949
2026-03-31T17:56:23.776Z,2.27,4.0,1.0,3,13,4.58,472,0.566
2026-03-31T17:56:24.772Z,2.27,4.0,1.0,3,13,4.58,472,0.566
2026-03-31T17:56:25.776Z,2.41,4.0,1.0,3,13,4.58,526,0.581
2026-03-31T17:56:26.772Z,1.81,4.0,1.0,3,13,4.58,526,0.581
2026-03-31T17:56:27.774Z,2.29,4.0,1.0,3,13,4.58,732,0.874
2026-03-31T17:56:28.772Z,2.53,4.0,1.0,3,13,4.58,732,0.874
2026-03-31T17:56:29.776Z,2.43,4.0,1.0,3,13,4.58,486,0.538
2026-03-31T17:56:30.772Z,1.74,4.0,1.0,3,13,4.58,486,0.538
2026-03-31T17:56:31.773Z,2.31,4.0,1.0,3,13,4.58,828,0.92
2026-03-31T17:56:32.772Z,1.49,4.0,1.0,3,13,4.58,828,0.92
2026-03-31T17:56:33.773Z,2.29,4.0,1.0,3,13,4.58,890,1.022
2026-03-31T17:56:34.772Z,1.51,4.0,1.0,3,13,4.58,890,1.022
2026-03-31T17:56:35.774Z,2.32,4.0,1.0,3,13,4.58,864,1.019
2026-03-31T17:56:36.772Z,1.26,4.0,1.0,3,13,4.58,864,1.019
2026-03-31T17:56:37.774Z,2.34,4.0,1.0,3,13,4.58,912,1.038
2026-03-31T17:56:38.772Z,1.4,4.0,1.0,3,13,4.58,912,1.038
2026-03-31T17:56:39.773Z,2.33,4.0,1.0,3,13,4.58,782,0.819
2026-03-31T17:56:40.772Z,1.27,4.0,1.0,3,13,4.58,782,0.819
2026-03-31T17:56:41.774Z,2.38,4.0,1.0,3,13,4.58,732,0.818
2026-03-31T17:56:42.772Z,1.41,4.0,1.0,3,13,4.58,732,0.818
2026-03-31T17:56:43.774Z,2.35,4.0,1.0,3,13,4.58,734,0.854
2026-03-31T17:56:44.772Z,1.29,4.0,1.0,3,13,4.58,734,0.854
2026-03-31T17:56:45.772Z,2.12,4.0,1.0,3,13,4.58,734,0.854
2026-03-31T17:56:46.772Z,1.35,4.0,1.0,3,13,4.58,910,1.084
2026-03-31T17:56:47.772Z,2.02,4.0,1.0,3,13,4.58,910,1.084
2026-03-31T17:56:48.772Z,1.3,4.0,1.0,3,13,4.58,864,1.037
2026-03-31T17:56:49.772Z,1.99,4.0,1.0,3,13,4.58,864,1.037
2026-03-31T17:56:50.774Z,1.45,4.0,1.0,3,13,4.58,906,1.079
2026-03-31T17:56:51.772Z,2.02,4.0,1.0,3,13,4.58,906,1.079
2026-03-31T17:56:52.776Z,1.32,4.0,1.0,3,13,4.58,850,1.016
2026-03-31T17:56:53.774Z,2.01,4.0,1.0,3,13,4.58,774,0.937
2026-03-31T17:56:54.774Z,1.46,4.0,1.0,3,13,4.58,774,0.937
2026-03-31T17:56:55.772Z,2.01,4.0,1.0,3,13,4.58,774,0.937
2026-03-31T17:56:56.775Z,1.29,4.0,1.0,3,13,4.58,802,0.965
2026-03-31T17:56:57.772Z,2.04,4.0,1.0,3,13,4.58,802,0.965
2026-03-31T17:56:58.774Z,1.47,4.0,1.0,3,13,4.58,800,0.89
2026-03-31T17:56:59.773Z,2.25,4.0,1.0,3,13,4.58,732,0.804
2026-03-31T17:57:00.773Z,1.35,4.0,1.0,3,13,4.58,732,0.804
2026-03-31T17:57:01.772Z,1.73,4.0,1.0,3,13,4.58,732,0.804
2026-03-31T17:57:02.774Z,1.49,4.0,1.0,3,13,4.58,878,0.99
2026-03-31T17:57:03.774Z,2.42,4.0,1.0,3,13,4.58,470,0.566
2026-03-31T17:57:04.772Z,1.37,4.0,1.0,3,13,4.58,470,0.566
2026-03-31T17:57:05.772Z,2.31,4.0,1.0,3,13,4.58,550,0.619
2026-03-31T17:57:06.773Z,3.24,4.0,1.0,3,13,4.58,682,0.769
2026-03-31T17:57:07.772Z,3.81,4.0,1.0,3,13,4.58,682,0.769
2026-03-31T17:57:08.773Z,3.38,4.0,1.0,3,13,4.58,738,0.993
2026-03-31T17:57:09.772Z,3.57,4.0,1.0,3,13,4.58,738,0.993
2026-03-31T17:57:10.775Z,3.25,4.0,1.0,3,13,4.58,752,1.01
2026-03-31T17:57:11.772Z,3.34,4.0,1.0,3,13,4.58,752,1.01
2026-03-31T17:57:12.776Z,3.4,4.0,1.0,3,13,4.58,796,0.944
2026-03-31T17:57:13.772Z,3.39,4.0,1.0,3,13,4.58,796,0.944
2026-03-31T17:57:14.776Z,3.27,4.0,1.0,3,13,4.58,850,1.009
2026-03-31T17:57:15.772Z,3.76,4.0,1.0,3,13,4.58,850,1.009
2026-03-31T17:57:16.776Z,3.38,4.0,1.0,3,13,4.58,456,0.813
2026-03-31T17:57:17.772Z,3.74,4.0,1.0,3,13,4.58,456,0.813
2026-03-31T17:57:18.774Z,3.29,4.0,1.0,3,13,4.58,600,0.828
2026-03-31T17:57:19.772Z,3.29,4.0,1.0,3,13,4.58,600,0.828
2026-03-31T17:57:20.774Z,3.43,4.0,1.0,3,13,4.58,790,0.85
2026-03-31T17:57:21.772Z,3.09,4.0,1.0,3,13,4.58,790,0.85
2026-03-31T17:57:22.773Z,3.3,4.0,1.0,3,13,4.58,792,0.939
2026-03-31T17:57:23.772Z,2.98,4.0,1.0,3,13,4.58,792,0.939
2026-03-31T17:57:24.772Z,3.45,4.0,1.0,3,13,4.58,824,0.961
2026-03-31T17:57:25.772Z,3.01,4.0,1.0,3,13,4.58,824,0.961
2026-03-31T17:57:26.774Z,3.32,4.0,1.0,3,13,4.58,746,0.888
2026-03-31T17:57:27.771Z,2.81,4.0,1.0,3,13,4.58,746,0.888
2026-03-31T17:57:28.773Z,3.3,4.0,1.0,3,13,4.58,872,0.996
2026-03-31T17:57:29.772Z,2.99,4.0,1.0,3,13,4.58,872,0.996
2026-03-31T17:57:30.773Z,3.33,4.0,1.0,3,13,4.58,474,0.608
2026-03-31T17:57:31.772Z,2.54,4.0,1.0,3,13,4.58,474,0.608
2026-03-31T17:57:32.773Z,3.35,4.0,1.0,3,13,4.58,766,0.871
2026-03-31T17:57:33.772Z,2.5,4.0,1.0,3,13,4.58,766,0.871
2026-03-31T17:57:34.776Z,3.35,4.0,1.0,3,13,4.58,678,0.808
