      Time     KB/s_in    KB/s_out
  19:42:22         0.9         3.2
  19:42:23        11.7       438.4
  19:42:24        15.0       687.7
  19:42:25        10.5       463.9
  19:42:26        18.9       827.2
  19:42:27        19.4       836.6
  19:42:28        13.5       614.6
  19:42:29         9.6       396.1
  19:42:30        18.0       826.4
  19:42:31         9.0       371.3
  19:42:32        18.7       855.2
  19:42:33         9.5       394.0
  19:42:34        18.2       833.9
  19:42:35         8.0       323.6
  19:42:36        15.9       729.7
  19:42:37        12.9       548.5
  19:42:38        18.5       846.6
  19:42:39         6.9       271.9
  19:42:40        18.6       854.0
  19:42:41         9.3       384.3
  19:42:42        18.7       854.4
  19:42:43         7.7       311.6
  19:42:44        18.7       854.2
  19:42:45         9.1       371.2
  19:42:46        16.5       752.2
  19:42:47         5.2       192.4
  19:42:48        18.6       854.2
  19:42:49         9.4       388.0
  19:42:50        18.6       854.2
  19:42:51         8.3       340.9
  19:42:52        11.2       475.8
  19:42:53         8.5       273.4
  19:42:55         6.4       218.7
  19:42:56         7.6       221.8
  19:42:57         6.5       233.4
  19:42:58         7.2       245.2
  19:42:59         7.1       228.1
  19:43:00         7.7       245.3
  19:43:01         6.7       219.2
  19:43:02         7.2       234.9
  19:43:03         6.5       218.6
  19:43:04         6.5       218.7
  19:43:05         6.3       221.6
  19:43:06         7.1       206.1
  19:43:07         7.1       217.9
  19:43:08         1.4        44.2
  19:43:09         6.5       191.6
  19:43:10         0.0         0.0
  19:43:11         6.6       195.4
  19:43:12         0.0         0.0
  19:43:13         6.7       198.1
  19:43:14         0.3         8.4
  19:43:15         6.3       180.5
  19:43:16         1.2        40.3
  19:43:17         4.5       119.6
  19:43:18         0.0         0.0
  19:43:19         5.8       157.6
  19:43:20         0.0         0.4
  19:43:21         5.6       158.1
  19:43:22         6.8       221.7
  19:43:23         6.9       192.4
  19:43:24         1.7        56.6
  19:43:25         5.1       149.2
  19:43:26         1.9        64.3
  19:43:27         4.9       138.9
  19:43:28         1.5        55.1
  19:43:29         4.6       128.5
  19:43:30         2.9        97.2
  19:43:31         4.5       124.1
  19:43:32         0.1         0.3
  19:43:33         4.5       125.6
  19:43:34         2.2        73.1
  19:43:35         4.3       119.7
  19:43:36         1.7        56.7
  19:43:37         4.0       105.0
  19:43:38         2.0        65.7
  19:43:39         3.8        93.1
  19:43:40         1.3        41.1
  19:43:41         3.8       106.3
  19:43:42         2.5        67.2
  19:43:43         3.3        81.3
  19:43:44         7.2       242.4
  19:43:45         6.4       195.1
  19:43:46         6.9       237.9
  19:43:47         6.1       165.7
  19:43:48         3.5       122.3
  19:43:49         2.6        54.7
  19:43:50         4.1       141.1
  19:43:51         2.2        45.8
  19:43:52         4.6       159.0
  19:43:53         2.1        39.9
  19:43:54         5.0       164.2
  19:43:55         1.8        32.5
  19:43:56         5.3       171.5
  19:43:57         1.6        26.6
  19:43:58         5.3       176.7
  19:43:59         1.4        17.7
  19:44:00         6.1       198.0
  19:44:01         1.3        11.8
  19:44:02         5.7       196.9
  19:44:03         1.1         4.4
  19:44:04         2.1        69.6
  19:44:05         0.5         1.5
  19:44:06         6.9       216.6
  19:44:07         2.6        82.8
  19:44:08         7.5       216.2
  19:44:09         0.4        13.7
  19:44:10         6.9       198.7
  19:44:11         0.3        11.1
  19:44:12         6.7       195.0
  19:44:13         0.6        19.3
  19:44:14         6.9       200.2
  19:44:15         0.4        11.2
  19:44:16         6.5       191.6
  19:44:17         0.4        15.0
  19:44:18         6.1       172.9
  19:44:19         1.2        36.4
  19:44:20         5.9       165.5
  19:44:21         1.7        60.5
  19:44:22         4.5       119.4
  19:44:23         0.1         4.6
  19:44:24         5.0       137.9
  19:44:25         0.0         0.0
  19:44:26         5.6       164.0
  19:44:27         0.9        26.0
  19:44:28         4.3       118.6
  19:44:29         0.3         8.7
  19:44:30         5.1       144.7
  19:44:31         2.1        70.1
  19:44:32         4.7       124.1
  19:44:33         3.1       106.5
  19:44:34         4.2       116.7
  19:44:35         3.3       107.4
  19:44:36         4.5       119.7
  19:44:37         3.4       116.4
  19:44:38         4.1       107.8
  19:44:39         2.7        94.9
  19:44:40         3.8        94.6
  19:44:41         2.8        95.8
  19:44:42         3.7        96.0
  19:44:43         2.4        94.7
  19:44:44         3.6        93.1
  19:44:45         4.3       142.5
  19:44:46         3.1        72.4
  19:44:47         4.4       151.7
  19:44:48         2.9        65.0
  19:44:49         4.8       169.3
  19:44:50         2.6        59.1
  19:44:51         4.6       161.0
  19:44:52         2.5        54.7
  19:44:53         4.3       146.5
  19:44:54         2.0        42.8
  19:44:55         4.8       165.1
  19:44:56         2.0        35.4
  19:44:57         4.9       172.0
  19:44:58         1.6        28.1
  19:44:59         4.9       162.2
  19:45:00         1.4        20.7
  19:45:01         6.0       206.7
  19:45:02         1.3        14.8
  19:45:03         3.2       108.6
  19:45:04         1.2         8.9
  19:45:05         3.8       135.2
  19:45:06         1.1         2.9
  19:45:07         5.3       174.3
  19:45:08         0.5         0.0
  19:45:09         6.1       191.6
  19:45:10         0.0         0.0
  19:45:11         6.9       195.4
  19:45:12         0.0         0.0
  19:45:13         6.8       201.0
  19:45:14         0.2         5.4
  19:45:15         6.3       196.5
  19:45:16         0.8        24.0
  19:45:17         4.3       119.6
  19:45:18         0.0         0.0
  19:45:19         5.5       156.5
  19:45:20         0.0         0.0
  19:45:21         6.1       177.2
  19:45:22         1.0        27.8
  19:45:23         6.0       207.0
  19:45:24         0.0         0.0
  19:45:25        11.2       469.1
  19:45:26         0.0         0.0
  19:45:27        11.1       464.3
  19:45:28         0.0         0.0
  19:45:29        11.9       500.2
  19:45:30         0.0         0.0
  19:45:31         7.7       305.2
  19:45:32         0.0         0.0
  19:45:33        10.1       419.4
  19:45:34         0.0         0.0
  19:45:35         9.6       394.1
  19:45:36         0.0         0.0
  19:45:37        10.5       436.5
  19:45:38         0.1         0.1
  19:45:39         7.7       289.0
  19:45:40         0.0         0.0
  19:45:41        10.0       415.2
  19:45:42         7.3       333.8
