      Time     KB/s_in    KB/s_out
  09:39:32         0.9         3.2
  09:39:33        17.9       730.2
  09:39:34        11.9       541.6
  09:39:35        17.2       756.5
  09:39:36         3.8       171.5
  09:39:37        16.8       728.6
  09:39:38        10.0       455.5
  09:39:39        16.4       710.7
  09:39:40         1.7        77.3
  09:39:41        15.9       687.6
  09:39:42         6.4       292.0
  09:39:43        15.3       657.5
  09:39:44        12.9       587.7
  09:39:45        14.8       633.9
  09:39:46         4.2       188.0
  09:39:47        14.1       604.4
  09:39:48        10.2       465.8
  09:39:49        13.8       586.8
  09:39:50         7.9       357.9
  09:39:51        13.2       563.1
  09:39:52        12.3       559.4
  09:39:53        12.5       533.5
  09:39:54        18.6       830.0
  09:39:55        19.3       853.7
  09:39:56        18.6       831.1
  09:39:57        19.1       832.3
  09:39:58        18.0       823.4
  09:39:59        10.4       430.1
  09:40:00        15.0       685.4
  09:40:01         7.2       281.6
  09:40:02         1.2        35.7
  09:40:03         4.7       168.8
  09:40:04         4.7       208.7
  09:40:05         8.8       359.1
  09:40:06        15.0       686.2
  09:40:07         8.0       322.2
  09:40:08        18.6       854.1
  09:40:09         9.0       368.5
  09:40:10        18.6       853.6
  09:40:11        10.0       414.6
  09:40:12        16.0       730.0
  09:40:13        10.7       450.2
  09:40:14        18.6       854.3
  09:40:15         8.6       347.2
  09:40:16        18.6       853.6
  09:40:17         7.9       313.8
  09:40:18        18.6       854.2
  09:40:19         8.1       325.7
  09:40:20        18.6       854.3
  09:40:21         8.3       330.7
  09:40:22        15.9       727.6
  09:40:23         4.2       150.9
  09:40:24        14.8       676.6
  09:40:25         3.7       128.6
  09:40:26        18.7       855.7
  09:40:27         6.4       245.4
  09:40:28        15.1       688.3
  09:40:29         2.8        83.2
  09:40:30        18.6       855.6
  09:40:31         8.5       346.0
  09:40:32        18.6       854.1
  09:40:33         9.6       398.2
  09:40:34        18.6       854.2
  09:40:35         7.6       304.8
  09:40:36        18.6       855.9
  09:40:37        10.4       430.3
  09:40:38        18.5       848.2
  09:40:39         6.9       295.3
  09:40:40        18.5       829.0
  09:40:41         9.5       431.7
  09:40:42        18.7       807.1
  09:40:43         8.4       383.9
  09:40:44        18.1       786.2
  09:40:45        10.1       458.5
  09:40:46        17.7       765.6
  09:40:47         4.4       202.4
  09:40:48        17.2       744.9
  09:40:49        11.3       519.5
  09:40:50        16.7       724.2
  09:40:51        10.8       496.1
  09:40:52        16.2       702.0
  09:40:53         9.6       438.0
  09:40:54        15.8       681.3
  09:40:55        13.4       610.6
  09:40:56        15.3       657.6
  09:40:57         9.3       418.9
  09:40:58        14.9       638.5
  09:40:59         9.1       417.9
  09:41:00        14.3       608.8
  09:41:01        13.7       623.8
  09:41:02        13.9       591.1
  09:41:03         1.4        62.0
  09:41:04        13.3       568.9
  09:41:05         8.6       392.8
  09:41:06        12.7       536.4
  09:41:07        12.7       580.2
  09:41:08        12.1       511.2
  09:41:09        15.4       706.0
  09:41:10        11.6       490.7
  09:41:11        14.6       665.4
  09:41:12        11.4       474.5
  09:41:13        17.7       810.2
  09:41:14        10.7       447.7
  09:41:15        17.4       795.9
  09:41:16        10.2       427.1
  09:41:17         6.1       279.2
  09:41:18         9.8       406.5
  09:41:19        11.1       508.3
  09:41:20         9.3       381.1
  09:41:21        18.7       854.1
  09:41:22         9.8       401.6
  09:41:23        18.6       854.4
  09:41:24         8.7       347.4
  09:41:25        18.6       854.4
  09:41:26         9.0       368.4
  09:41:27        17.5       800.0
  09:41:28         7.2       291.1
  09:41:29        17.5       796.6
  09:41:30         6.7       266.0
  09:41:31         7.2       328.1
  09:41:32         6.2       240.9
  09:41:33        18.6       854.7
  09:41:34         7.0       272.7
  09:41:35        15.6       710.7
  09:41:36         5.3       198.0
  09:41:37        18.6       854.3
  09:41:38         7.6       306.4
  09:41:39        13.4       613.7
  09:41:40         4.1       146.3
  09:41:41        18.2       832.9
  09:41:42         3.9       128.6
  09:41:43        18.6       854.3
  09:41:44         8.9       361.5
  09:41:45        15.8       723.1
  09:41:46         2.7        79.8
  09:41:47        18.6       854.0
  09:41:48         5.2       192.6
  09:41:49        18.6       854.3
  09:41:50         2.4        66.7
  09:41:51        18.6       855.6
  09:41:52         6.3       244.5
  09:41:53        18.6       854.3
  09:41:54         7.6       302.2
  09:41:55        18.2       834.9
  09:41:56         7.9       337.3
  09:41:57        18.3       818.6
  09:41:58         7.6       345.6
  09:41:59        18.1       789.0
  09:42:00         9.1       413.8
  09:42:01        17.7       766.9
  09:42:02         7.7       348.3
  09:42:03         8.0       317.3
  09:42:04         0.0         0.0
  09:42:05         9.2       377.5
  09:42:06         0.0         0.0
  09:42:07        16.2       701.9
  09:42:08         7.5       343.3
  09:42:09        15.7       678.4
  09:42:10        12.2       557.7
  09:42:11        15.2       650.2
  09:42:12        14.1       646.9
  09:42:13        14.7       628.2
  09:42:14        12.6       571.4
  09:42:15        14.2       610.3
  09:42:16        13.3       608.4
  09:42:17        13.8       588.1
  09:42:18        18.6       834.1
  09:42:19        19.1       854.0
  09:42:20        18.6       831.2
  09:42:21        19.2       836.2
  09:42:22        12.2       557.5
  09:42:23        11.9       506.8
  09:42:24         7.0       320.5
  09:42:25        11.6       487.6
  09:42:26        14.0       639.8
  09:42:27        11.0       462.5
  09:42:28         7.2       327.7
  09:42:29        10.4       434.4
  09:42:30        17.2       787.7
  09:42:31         9.9       409.3
  09:42:32        18.6       854.3
  09:42:33         9.7       401.4
  09:42:34        17.3       789.5
  09:42:35         9.0       369.4
  09:42:36        18.7       855.7
  09:42:37        10.1       417.0
  09:42:38        17.6       806.7
  09:42:39         7.8       313.2
  09:42:40        18.6       855.6
  09:42:41         9.5       390.0
  09:42:42        18.5       854.0
  09:42:43         7.9       314.5
  09:42:44        18.7       855.4
  09:42:45         9.0       368.2
  09:42:46        15.6       712.2
  09:42:47         6.1       234.9
  09:42:48        18.6       854.0
  09:42:49         9.3       380.6
  09:42:50        18.6       854.2
  09:42:51         8.5       340.9
