time_hms,kb_per_sec_in,kb_per_sec_out
13:00:54,0.9,3.2
13:00:55,14.5,609.8
13:00:56,18.5,849.8
13:00:57,15.2,662.4
13:00:58,18.7,834.1
13:00:59,19.2,830.3
13:01:00,18.8,855.8
13:01:01,17.5,760.9
13:01:02,2.3,101.9
13:01:03,12.5,526.6
13:01:04,9.5,435.8
13:01:05,12.0,506.9
13:01:06,13.3,609.5
13:01:07,11.4,478.8
13:01:08,16.1,738.6
13:01:09,10.9,455.1
13:01:10,15.3,700.8
13:01:11,10.3,430.0
13:01:12,18.6,854.1
13:01:13,9.9,409.8
13:01:14,18.3,834.7
13:01:15,9.2,381.3
13:01:16,7.1,325.1
13:01:17,8.8,360.7
13:01:18,12.2,554.2
13:01:19,8.4,341.7
13:01:20,18.6,854.2
13:01:21,9.8,403.2
13:01:22,18.7,855.7
13:01:23,8.3,335.6
13:01:24,18.6,852.4
13:01:25,9.2,378.8
13:01:26,18.3,838.4
13:01:27,6.3,245.4
13:01:28,18.4,842.3
13:01:29,5.9,226.2
13:01:30,8.1,367.9
13:01:31,5.4,203.9
13:01:32,18.6,855.8
13:01:33,7.0,272.6
13:01:34,16.4,746.1
13:01:35,4.2,146.3
13:01:36,18.6,854.2
13:01:37,7.9,316.7
13:01:38,14.3,655.1
13:01:39,3.3,106.4
13:01:40,18.6,854.3
13:01:41,3.3,101.3
13:01:42,18.6,854.2
13:01:43,9.0,365.9
13:01:44,16.8,764.6
13:01:45,1.7,31.2
13:01:46,18.6,854.1
13:01:47,5.2,192.6
13:01:48,18.7,855.6
13:01:49,2.8,84.5
13:01:50,18.3,840.8
13:01:51,6.6,278.9
13:01:52,18.3,818.7
13:01:53,7.5,345.0
13:01:54,18.1,790.7
13:01:55,8.5,384.7
13:01:56,17.7,770.0
13:01:57,8.6,394.3
13:01:58,17.2,744.9
13:01:59,10.1,458.2
13:02:00,16.7,719.7
13:02:01,8.7,395.6
13:02:02,8.0,317.3
13:02:03,0.0,0.0
13:02:04,9.2,377.4
13:02:05,0.0,0.0
13:02:06,15.2,654.6
13:02:07,8.6,390.6
13:02:08,14.7,632.5
13:02:09,13.2,603.6
13:02:10,14.2,608.9
13:02:11,15.1,688.2
13:02:12,13.7,585.2
13:02:13,13.4,614.2
13:02:14,13.2,561.7
13:02:15,14.4,657.5
13:02:16,12.7,535.0
13:02:17,14.5,662.7
13:02:18,12.2,515.8
13:02:19,14.9,680.5
13:02:20,11.6,489.3
13:02:21,15.7,717.9
13:02:22,11.1,465.5
13:02:23,9.6,437.9
13:02:24,10.6,443.4
13:02:25,8.4,383.9
13:02:26,10.1,419.7
13:02:27,15.5,707.8
13:02:28,9.6,394.6
13:02:29,8.8,395.7
13:02:30,9.2,374.0
13:02:31,18.6,848.4
13:02:32,8.6,353.2
13:02:33,18.6,854.3
13:02:34,9.5,392.6
13:02:35,18.7,854.6
13:02:36,7.6,304.4
13:02:37,18.6,855.4
13:02:38,10.1,420.0
13:02:39,18.6,854.3
13:02:40,6.9,271.7
13:02:41,18.6,854.3
13:02:42,9.3,382.9
13:02:43,18.6,854.3
13:02:44,7.7,308.6
13:02:45,18.6,854.0
13:02:46,9.2,372.8
13:02:47,17.1,780.3
13:02:48,4.7,168.5
13:02:49,18.6,854.2
13:02:50,9.4,387.9
13:02:51,18.6,854.2
13:02:52,8.3,339.4
13:02:53,18.6,854.3
13:02:54,6.8,265.0
13:02:55,18.7,856.0
13:02:56,10.0,409.7
13:02:57,18.6,854.3
13:02:58,5.6,206.0
13:02:59,18.6,855.5
13:03:00,5.0,178.4
13:03:01,18.6,854.2
13:03:02,8.9,356.3
13:03:03,14.0,641.0
13:03:04,1.0,2.9
13:03:05,18.3,839.5
13:03:06,3.1,119.5
13:03:07,18.4,818.7
13:03:08,6.5,298.1
13:03:09,18.1,789.3
13:03:10,9.3,428.5
13:03:11,17.8,772.8
13:03:12,8.4,383.1
13:03:13,17.3,747.9
13:03:14,18.6,831.1
13:03:15,19.2,855.7
13:03:16,17.9,797.0
13:03:17,16.1,696.1
13:03:18,4.8,218.7
13:03:19,15.5,666.5
13:03:20,13.5,617.6
13:03:21,15.1,648.7
13:03:22,12.6,572.0
13:03:23,14.5,623.7
13:03:24,13.6,621.9
13:03:25,14.1,604.5
13:03:26,11.1,505.8
13:03:27,13.7,585.3
13:03:28,11.0,502.2
13:03:29,11.9,502.4
13:03:30,2.1,91.8
13:03:31,12.7,535.0
13:03:32,13.5,615.3
13:03:33,12.2,515.7
13:03:34,9.1,412.5
13:03:35,11.8,493.7
13:03:36,15.1,690.7
13:03:37,11.2,474.3
13:03:38,6.9,313.7
13:03:39,10.7,450.7
13:03:40,11.6,528.2
13:03:41,10.3,428.5
13:03:42,17.8,816.7
13:03:43,9.9,404.8
13:03:44,9.1,417.1
13:03:45,9.2,376.9
13:03:46,15.2,693.8
13:03:47,8.7,351.8
13:03:48,13.0,592.9
13:03:49,8.1,332.5
13:03:50,17.3,789.6
13:03:51,7.6,308.8
13:03:52,18.7,854.9
13:03:53,7.0,282.1
13:03:54,18.6,854.2
13:03:55,7.3,290.1
13:03:56,18.6,855.7
13:03:57,7.2,284.9
13:03:58,18.6,854.3
13:03:59,8.1,325.3
13:04:00,18.7,854.5
13:04:01,6.4,243.4
13:04:02,2.9,131.1
13:04:03,4.5,161.0
13:04:04,4.8,216.5
13:04:05,3.7,127.0
13:04:06,18.6,853.9
13:04:07,4.6,167.3
13:04:08,18.6,855.4
13:04:09,9.0,367.0
13:04:10,18.6,854.1
13:04:11,10.0,416.2
13:04:12,18.6,854.3
13:04:13,8.1,327.5
