time_hms,kb_per_sec_in,kb_per_sec_out
19:09:18,0.0,0.0
19:09:19,0.0,0.4
19:09:20,0.0,0.0
19:09:21,0.0,0.0
19:09:22,0.0,0.0
19:09:23,0.0,0.1
19:09:24,0.0,0.1
19:09:25,0.1,0.1
19:09:26,0.0,0.1
19:09:27,0.0,0.4
19:09:28,0.0,0.0
19:09:29,0.0,0.0
19:09:30,0.0,0.0
19:09:31,0.0,0.0
19:09:32,0.0,0.0
19:09:33,0.0,0.0
19:09:34,0.0,0.0
19:09:35,0.0,0.0
19:09:36,0.0,0.0
19:09:37,0.0,0.0
19:09:38,0.0,0.1
19:09:39,0.0,0.0
19:09:40,0.0,0.0
19:09:41,0.0,0.1
19:09:42,0.0,0.0
19:09:43,0.1,0.4
19:09:44,0.0,0.1
19:09:45,0.0,0.0
19:09:46,0.0,0.0
19:09:47,0.0,0.0
19:09:48,8.2,300.9
19:09:49,14.2,625.1
19:09:50,9.3,428.5
19:09:51,9.3,425.6
19:09:52,10.0,459.5
19:09:53,9.3,425.6
19:09:54,9.7,441.9
19:09:55,10.4,478.5
19:09:56,9.9,452.3
19:09:57,11.1,511.2
19:09:58,10.0,459.6
19:09:59,17.7,808.3
19:10:00,9.6,440.2
19:10:01,18.0,824.5
19:10:02,16.0,733.0
19:10:03,18.4,841.9
19:10:04,15.0,688.4
19:10:05,18.6,851.2
19:10:06,9.5,434.5
19:10:07,18.2,836.5
19:10:08,9.7,447.9
19:10:09,17.3,792.1
19:10:10,10.1,462.4
19:10:11,18.0,824.5
19:10:12,11.7,535.0
19:10:13,16.4,750.8
19:10:14,10.8,493.4
19:10:15,17.3,795.3
19:10:16,11.2,514.3
19:10:17,16.5,753.6
19:10:18,11.6,528.9
19:10:19,15.3,704.9
19:10:20,11.9,545.3
19:10:21,14.4,663.6
19:10:22,13.4,613.3
19:10:23,17.6,808.2
19:10:24,12.6,577.7
19:10:25,16.7,771.2
19:10:26,13.0,594.0
19:10:27,14.9,684.2
19:10:28,13.3,610.3
19:10:29,17.0,780.3
19:10:30,13.7,629.4
19:10:31,13.3,613.3
19:10:32,14.0,642.6
19:10:33,12.6,577.9
19:10:34,14.4,660.6
19:10:35,12.6,576.3
19:10:36,14.8,676.7
19:10:37,13.3,613.0
19:10:38,15.1,692.9
19:10:39,13.1,599.9
19:10:40,15.4,707.7
19:10:41,12.9,591.1
19:10:42,15.8,723.8
19:10:43,12.4,567.4
19:10:44,16.1,738.7
19:10:45,12.0,548.1
19:10:46,16.5,756.6
19:10:47,11.1,508.4
19:10:48,16.9,771.4
19:10:49,9.3,428.5
19:10:50,16.8,771.3
19:10:51,10.2,468.3
19:10:52,17.5,803.9
19:10:53,9.9,455.2
19:10:54,17.8,818.7
19:10:55,10.2,465.3
19:10:56,18.3,839.3
19:10:57,9.3,428.6
19:10:58,17.7,813.9
19:10:59,9.4,431.5
19:11:00,17.7,812.7
19:11:01,9.7,444.7
19:11:02,16.9,778.6
19:11:03,12.1,555.5
19:11:04,18.6,854.1
19:11:05,10.4,477.2
19:11:06,18.5,852.3
19:11:07,10.8,492.1
19:11:08,18.0,827.3
19:11:09,11.1,508.3
19:11:10,16.8,771.3
19:11:11,11.4,523.1
19:11:12,16.0,735.9
19:11:13,11.7,537.9
19:11:14,9.6,440.4
19:11:15,10.8,493.5
19:11:16,16.1,740.3
19:11:17,13.3,607.3
19:11:18,17.1,783.1
19:11:19,12.9,588.5
19:11:20,15.2,699.0
19:11:21,13.1,602.9
19:11:22,14.9,684.3
19:11:23,13.5,619.2
19:11:24,13.6,620.7
19:11:25,13.9,636.9
19:11:26,13.3,608.8
19:11:27,14.2,650.2
19:11:28,12.2,558.6
19:11:29,14.5,664.9
19:11:30,16.1,738.8
19:11:31,14.9,682.5
19:11:32,13.2,605.8
19:11:33,15.2,697.5
19:11:34,13.5,617.5
19:11:35,15.5,712.2
19:11:36,12.2,561.5
19:11:37,15.8,727.0
19:11:38,15.1,693.0
19:11:39,16.2,743.2
19:11:40,13.0,597.1
19:11:41,16.5,756.6
19:11:42,11.0,503.9
19:11:43,16.8,771.4
19:11:44,11.6,530.6
19:11:45,17.2,789.1
19:11:46,11.4,523.0
19:11:47,17.6,806.7
19:11:48,10.6,484.7
19:11:49,17.9,821.7
