Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,832.0,0,0.0,4.22,1.054
2,4358.0,1,0.0,4.17,1.043
3,1230.0,0,0.0,4.125,1.032
4,1466.0,0,0.0,4.06,1.019
5,4082.0,0,0.0,4.025,1.01
6,4830.0,0,0.0,4.015,1.005
7,5070.0,0,0.0,4.005,1.003
8,4688.0,0,0.0,4.0,1.001
9,4764.0,0,0.0,4.0,1.001
10,4680.0,0,0.0,4.0,1.001
11,4674.0,0,0.0,4.0,1.001
12,4718.0,0,0.0,4.0,1.001
13,3526.0,0,0.0,3.99,1.001
14,3230.0,0,0.0,3.99,1.001
15,4406.0,0,0.0,3.99,1.001
16,3084.0,0,0.0,3.99,1.001
17,4778.0,0,0.0,3.98,1.001
18,3142.0,1,0.0,3.98,1.001
19,3058.0,0,0.0,3.98,1.001
20,1630.0,1,0.0,3.98,1.001
21,1618.0,0,0.0,3.98,1.001
22,1598.0,0,0.0,3.98,1.001
23,1624.0,0,0.0,3.98,0.997
24,1640.0,0,0.0,3.99,0.997
25,1728.0,0,0.0,3.995,0.997
26,2054.0,0,0.0,4.0,0.997
27,1756.0,0,0.0,4.0,0.9996666666666666
28,1750.0,0,0.0,4.0,1.001
29,1650.0,0,0.0,4.0,1.001
30,1866.0,0,0.0,4.0,1.001
31,1816.0,0,0.0,3.995,1.001
32,1894.0,0,0.0,3.99,1.001
33,1156.0,0,0.0,3.99,1.001
34,1474.0,0,0.0,3.99,1.001
35,1520.0,0,0.0,3.9850000000000003,1.001
36,1668.0,0,0.0,3.98,1.001
37,1750.0,0,0.0,3.98,1.001
38,1698.0,0,0.0,3.98,1.001
39,1796.0,0,0.0,3.98,1.001
40,1202.0,0,0.0,3.98,0.9989999999999999
41,1234.0,0,0.0,3.983333333333333,0.997
42,1640.0,0,0.0,3.99,0.997
43,1638.0,0,0.0,3.99,0.997
44,1824.0,0,0.0,4.0,0.997
45,1806.0,0,0.0,4.0,1.001
46,1948.0,0,0.0,4.0,1.001
47,1182.0,0,0.0,4.0,1.001
48,1630.0,0,0.0,4.0,1.001
49,1532.0,0,0.0,3.9966666666666666,1.001
50,1698.0,0,0.0,3.99,1.001
51,1116.0,0,0.0,3.99,1.001
52,1432.0,0,0.0,3.99,1.001
53,1748.0,0,0.0,3.9850000000000003,1.001
54,1582.0,0,0.0,3.98,1.001
55,1540.0,0,0.0,3.98,1.001
56,1622.0,0,0.0,3.98,1.001
57,1652.0,0,0.0,3.98,1.001
58,1726.0,0,0.0,3.98,1.001
59,1730.0,0,0.0,3.98,1.001
60,1742.0,0,0.0,3.98,0.997
61,1778.0,0,0.0,3.99,0.997
62,1790.0,0,0.0,3.99,0.997
63,580.0,0,0.0,4.0,0.997
64,688.0,0,0.0,4.0,0.9996666666666666
65,1714.0,0,0.0,4.0,1.001
66,1826.0,0,0.0,4.0,1.001
67,1642.0,0,0.0,4.0,1.001
68,1648.0,0,0.0,4.0,1.001
69,1632.0,0,0.0,3.99,1.001
70,1718.0,0,0.0,3.99,1.001
71,1850.0,0,0.0,3.99,1.001
72,1944.0,0,0.0,3.99,1.001
73,1110.0,0,0.0,3.98,1.001
74,1402.0,0,0.0,3.98,1.001
75,1670.0,0,0.0,3.98,1.001
76,1236.0,0,0.0,3.98,1.001
77,1814.0,0,0.0,3.98,1.001
78,1902.0,0,0.0,3.98,0.997
79,1834.0,0,0.0,3.9850000000000003,0.997
80,1630.0,0,0.0,3.99,0.997
81,1618.0,0,0.0,4.0,0.997
82,1598.0,0,0.0,4.0,0.9989999999999999
83,1624.0,0,0.0,4.0,1.001
84,1640.0,0,0.0,4.0,1.001
85,1728.0,0,0.0,4.0,1.001
86,2054.0,0,0.0,4.0,1.001
87,1756.0,0,0.0,3.995,1.001
88,1750.0,0,0.0,3.99,1.001
89,1650.0,0,0.0,3.99,1.001
90,1866.0,0,0.0,3.99,1.001
