timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-01 09:24:48.618,54296,ESTAB,cubic,224,20.968,6.336,20.057,1448,10,14480,NaN,2883,2883,408,NaN,3,5,2,1,NaN,NaN,11049016,1055104,3,48640,43520,NaN,NaN
2026-04-01 09:24:49.539,54304,ESTAB,cubic,224,21.97,0.092,20.07,1448,13,18824,15928,125336,106512,822,NaN,88,56,87,2,NaN,NaN,8224992,6329472,75,96256,43520,13,92391
2026-04-01 09:24:49.782,54304,ESTAB,cubic,228,27.629,0.317,20.07,1448,16,23168,15928,296727,273559,1644,NaN,207,119,206,4,NaN,NaN,8049824,6676416,191,96256,43520,16,75296
2026-04-01 09:24:50.009,54304,ESTAB,cubic,232,30.392,0.17,20.07,1448,19,27512,15928,487863,464695,1644,NaN,339,185,338,4,NaN,NaN,8690072,6671608,323,96256,43520,16,170864
2026-04-01 09:24:50.233,54304,ESTAB,cubic,232,29.977,0.771,20.07,1448,20,28960,15928,676103,652935,1644,NaN,469,250,468,4,NaN,NaN,9274112,6694496,453,96256,43520,16,173760
2026-04-01 09:24:50.457,54304,ESTAB,cubic,232,30.071,0.711,20.07,1448,20,28960,15928,864343,841175,1644,NaN,599,315,598,4,NaN,NaN,9245120,6670408,583,96256,43520,16,176656
2026-04-01 09:24:50.679,54304,ESTAB,cubic,232,29.182,0.477,20.07,1448,20,28960,15928,1039551,1019279,1644,NaN,720,371,719,4,NaN,NaN,9526880,6694232,706,136704,43520,14,97016
2026-04-01 09:24:50.904,54304,ESTAB,cubic,232,30.076,0.584,20.07,1448,20,28960,15928,1230687,1204623,1644,NaN,852,435,851,4,NaN,NaN,9243584,6681704,834,136704,43520,18,118736
2026-04-01 09:24:51.136,54304,ESTAB,cubic,232,28.861,0.199,20.07,1448,20,28960,15928,1423271,1398655,1644,NaN,985,502,984,4,NaN,NaN,9632840,6692512,968,136704,43520,17,31345
2026-04-01 09:24:51.365,54304,ESTAB,cubic,236,34.898,11.016,20.07,1448,20,28960,15928,1454616,1454616,1644,NaN,1007,522,1006,4,NaN,NaN,7966496,2681328,1007,137216,43520,NaN,NaN
2026-04-01 09:24:51.593,54304,ESTAB,cubic,232,28.376,0.198,20.07,1448,20,28960,15928,1623771,1599155,2468,NaN,1124,574,1123,6,NaN,NaN,9797440,5945848,1107,137216,43520,17,104256
2026-04-01 09:24:51.822,54304,ESTAB,cubic,232,30.271,0.541,20.07,1448,20,28960,15928,1804771,1775811,2468,NaN,1249,635,1248,6,NaN,NaN,9184080,6699096,1229,137216,43520,20,118736
2026-04-01 09:24:52.064,54304,ESTAB,cubic,232,28.887,0.236,20.07,1448,22,31856,15928,1987219,1966947,2468,NaN,1375,693,1374,6,NaN,NaN,10586496,6673024,1361,137216,43520,14,131768
2026-04-01 09:24:52.315,54304,ESTAB,cubic,232,30.168,0.578,20.07,1448,22,31856,15928,2195731,2169667,2468,NaN,1519,758,1518,6,NaN,NaN,10136856,6694984,1501,137216,43520,18,118736
2026-04-01 09:24:52.549,54304,ESTAB,cubic,232,28.902,0.191,20.07,1448,22,31856,15928,2388315,2363699,2468,NaN,1652,825,1651,6,NaN,NaN,10580912,6696376,1635,137216,43520,17,121632
2026-04-01 09:24:52.787,54304,ESTAB,cubic,232,30.335,0.378,20.07,1448,22,31856,15928,2589587,2563523,2468,NaN,1791,894,1790,6,NaN,NaN,10081176,6694984,1773,137216,43520,18,60537
2026-04-01 09:24:53.019,54304,ESTAB,cubic,232,29.492,0.411,20.07,1448,22,31856,15928,2762820,2739652,2884,NaN,1911,956,1910,7,NaN,NaN,10369200,6688864,1895,137216,43520,16,157832
2026-04-01 09:24:53.253,54304,ESTAB,cubic,232,29.144,1.144,20.07,1448,22,31856,15928,2958300,2933684,2884,NaN,2046,1023,2045,7,NaN,NaN,10493104,6295432,2029,137216,43520,17,157832
2026-04-01 09:24:53.481,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:53.711,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:53.944,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:54.177,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:54.423,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:54.658,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:54.893,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:55.127,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:55.358,54316,ESTAB,cubic,224,21.82,6.525,21.569,1448,10,14480,NaN,2883,2883,408,NaN,4,5,2,1,NaN,NaN,10617352,991392,3,48640,43520,NaN,NaN
2026-04-01 09:24:55.587,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:55.822,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:56.079,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:56.313,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:56.548,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:56.773,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:56.997,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:57.219,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:57.442,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:57.672,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:57.897,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:58.125,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:58.355,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:58.585,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:58.811,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:59.060,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:59.290,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
2026-04-01 09:24:59.520,54316,ESTAB,cubic,224,21.675,4.095,20.184,1448,10,14480,NaN,5766,5766,816,NaN,6,8,4,2,NaN,NaN,10688624,1048888,5,52736,43520,NaN,NaN
