time_hms,kb_per_sec_in,kb_per_sec_out
17:19:01,0.9,3.2
17:19:02,13.7,529.5
17:19:03,18.2,854.3
17:19:04,13.6,595.6
17:19:05,18.6,833.4
17:19:06,17.4,753.3
17:19:07,12.8,582.0
17:19:08,13.2,508.3
17:19:09,16.2,709.5
17:19:10,12.4,483.4
17:19:11,15.7,672.9
17:19:12,10.9,456.4
17:19:13,18.1,828.3
17:19:14,11.2,437.2
17:19:15,20.2,806.6
17:19:16,10.0,413.6
17:19:17,6.4,292.8
17:19:18,9.4,388.5
17:19:19,11.5,526.3
17:19:20,9.9,364.8
17:19:21,20.9,854.4
17:19:22,10.1,401.9
17:19:23,18.7,854.3
17:19:24,9.4,347.5
17:19:25,19.6,855.7
17:19:26,9.1,367.3
17:19:27,17.8,816.3
17:19:28,6.7,265.8
17:19:29,17.9,821.5
17:19:30,6.7,243.6
17:19:31,8.9,350.5
17:19:32,3.4,109.1
17:19:33,11.4,427.1
17:19:34,12.0,428.6
17:19:35,10.9,408.0
17:19:36,11.7,428.5
17:19:37,10.7,415.6
17:19:38,12.0,428.5
17:19:39,11.2,407.2
17:19:40,4.5,146.1
17:19:41,8.1,314.6
17:19:42,1.8,39.6
17:19:43,10.5,409.6
17:19:44,1.5,24.9
17:19:45,10.2,382.1
17:19:46,1.2,10.1
17:19:47,9.8,386.3
17:19:48,1.1,2.9
17:19:49,10.4,414.1
17:19:50,0.5,0.0
17:19:51,11.2,413.6
17:19:52,0.3,11.6
17:19:53,11.5,397.4
17:19:54,1.3,46.6
17:19:55,10.5,386.7
17:19:56,1.6,57.8
17:19:57,10.7,375.2
17:19:58,1.9,73.1
17:19:59,10.0,363.3
17:20:00,2.4,94.0
17:20:01,9.8,348.5
17:20:02,3.1,111.6
17:20:03,4.6,151.6
17:20:04,0.0,0.0
17:20:05,5.4,178.8
17:20:06,0.0,0.0
17:20:07,8.7,313.0
17:20:08,3.5,127.7
17:20:09,8.1,302.7
17:20:10,4.4,166.5
17:20:11,8.5,289.3
17:20:12,3.5,133.1
17:20:13,8.0,276.1
17:20:14,3.9,147.9
17:20:15,7.8,264.2
17:20:16,4.3,155.6
17:20:17,7.3,250.9
17:20:18,5.3,190.8
17:20:19,7.1,239.1
17:20:20,11.2,419.3
17:20:21,11.9,418.2
17:20:22,4.9,182.2
17:20:23,6.4,214.0
17:20:24,3.9,147.4
17:20:25,5.8,202.2
17:20:26,6.0,227.5
17:20:27,5.8,190.3
17:20:28,3.2,128.7
17:20:29,5.1,177.0
17:20:30,7.6,289.0
17:20:31,5.2,162.3
17:20:32,8.3,326.4
17:20:33,4.7,152.0
17:20:34,8.3,319.5
17:20:35,4.2,137.2
17:20:36,7.3,282.1
17:20:37,4.0,122.4
17:20:38,7.6,293.8
17:20:39,3.6,110.6
17:20:40,8.0,300.7
17:20:41,3.3,97.3
17:20:42,8.6,320.6
17:20:43,3.1,85.5
17:20:44,8.8,336.5
17:20:45,2.7,72.1
17:20:46,9.8,372.0
17:20:47,2.3,58.8
17:20:48,11.0,430.0
17:20:49,3.1,84.2
17:20:50,10.5,405.8
17:20:51,1.8,33.8
17:20:52,10.6,416.0
17:20:53,1.4,21.9
17:20:54,10.5,402.5
17:20:55,1.2,6.0
17:20:56,10.8,428.1
17:20:57,1.8,48.1
17:20:58,10.9,417.9
17:20:59,1.3,46.0
17:21:00,11.6,409.1
17:21:01,2.1,77.4
17:21:02,8.6,299.0
17:21:03,0.0,0.0
17:21:04,10.7,379.7
17:21:05,0.0,0.1
17:21:06,10.7,372.2
17:21:07,0.6,19.0
17:21:08,10.2,360.4
17:21:09,1.8,68.6
17:21:10,10.0,344.0
17:21:11,2.7,106.1
17:21:12,9.6,332.2
17:21:13,2.8,104.2
17:21:14,9.6,321.8
17:21:15,3.7,139.6
17:21:16,9.1,308.6
17:21:17,0.1,1.7
17:21:18,8.2,293.7
17:21:19,0.6,24.7
17:21:20,8.3,280.5
17:21:21,3.9,141.4
17:21:22,8.1,270.1
17:21:23,3.7,151.2
17:21:24,7.3,259.8
17:21:25,5.5,209.3
17:21:26,7.2,246.5
17:21:27,5.5,217.9
17:21:28,6.7,233.2
17:21:29,7.2,266.9
17:21:30,6.2,219.8
17:21:31,2.3,85.2
17:21:32,6.2,208.1
17:21:33,5.6,211.4
17:21:34,6.1,197.8
17:21:35,5.1,196.4
17:21:36,5.8,185.9
17:21:37,6.8,250.6
17:21:38,5.1,169.7
17:21:39,3.1,118.3
17:21:40,4.9,157.8
17:21:41,5.4,211.1
17:21:42,4.5,146.0
17:21:43,8.1,303.2
17:21:44,4.3,131.3
17:21:45,7.1,275.7
17:21:46,3.7,117.9
17:21:47,7.3,278.4
17:21:48,3.4,104.7
17:21:49,8.1,312.5
17:21:50,3.2,92.8
17:21:51,9.0,332.2
17:21:52,3.1,79.7
17:21:53,9.6,364.3
17:21:54,2.5,64.8
17:21:55,10.1,379.9
17:21:56,2.2,52.9
17:21:57,10.3,394.6
17:21:58,1.9,41.1
17:21:59,10.9,416.1
17:22:00,1.6,27.8
17:22:01,10.6,432.2
17:22:02,1.5,24.9
17:22:03,2.8,126.8
17:22:04,1.1,2.9
17:22:05,3.9,175.9
17:22:06,0.5,0.0
17:22:07,10.7,441.9
17:22:08,0.0,0.0
17:22:09,18.4,798.9
17:22:10,1.0,43.4
17:22:11,20.1,772.6
17:22:12,2.1,85.2
17:22:13,17.1,739.9
17:22:14,1.7,73.6
17:22:15,18.1,712.1
17:22:16,2.8,124.1
17:22:17,16.0,688.4
17:22:18,4.0,160.4
17:22:19,17.3,679.6
17:22:20,11.5,516.6
