      Time     KB/s_in    KB/s_out
  17:27:19         0.0         0.0
  17:27:20         0.0         0.4
  17:27:21         0.0         0.0
  17:27:22         0.0         0.0
  17:27:23         0.0         0.0
  17:27:24         0.0         0.1
  17:27:25         0.0         0.1
  17:27:26         0.1         0.1
  17:27:27         0.0         0.1
  17:27:28         0.0         0.4
  17:27:29         0.0         0.0
  17:27:30         0.0         0.0
  17:27:31         0.0         0.0
  17:27:32         0.0         0.0
  17:27:33         0.0         0.0
  17:27:34         0.0         0.0
  17:27:35         0.0         0.0
  17:27:36         0.0         0.0
  17:27:37         0.0         0.0
  17:27:38         0.0         0.0
  17:27:39         0.0         0.1
  17:27:40         0.0         0.1
  17:27:41         0.1         0.0
  17:27:42         0.0         0.0
  17:27:43         0.0         0.0
  17:27:44         0.0         0.5
  17:27:45         0.0         0.0
  17:27:46         0.0         0.1
  17:27:47         0.0         0.0
  17:27:48         0.0         0.0
  17:27:49         9.7       343.0
  17:27:50        25.1       635.1
  17:27:51        11.9       535.0
  17:27:52         9.5       555.7
  17:27:53         9.3       563.0
  17:27:54         9.8       563.1
  17:27:55         9.3       564.5
  17:27:56         9.8       555.6
  17:27:57         9.0       570.4
  17:27:58         9.1       558.6
  17:27:59         9.9       570.4
  17:28:00        10.6       585.2
  17:28:01         9.6       560.0
  17:28:02        10.8       678.3
  17:28:03        12.2       704.9
  17:28:04        13.1       803.9
  17:28:05        12.3       693.1
  17:28:06        12.9       817.1
  17:28:07         9.5       558.5
  17:28:08        11.3       712.1
  17:28:09         9.7       563.0
  17:28:10        11.1       678.1
  17:28:11         9.7       552.7
  17:28:12        11.1       727.1
  17:28:13         9.4       539.4
  17:28:14        12.3       744.7
  17:28:15         9.9       545.1
  17:28:16        11.5       739.2
  17:28:17         9.5       566.0
  17:28:18        11.3       650.2
  17:28:19        10.3       551.2
  17:28:20        10.6       656.0
  17:28:21        10.2       582.1
  17:28:22        10.7       616.2
  17:28:23        10.2       608.9
  17:28:24        13.0       762.6
  17:28:25        10.2       597.0
  17:28:26        12.1       746.3
  17:28:27        10.6       617.4
  17:28:28        11.4       635.2
  17:28:29        10.9       635.3
  17:28:30        11.6       749.2
  17:28:31        11.2       623.6
  17:28:32        10.2       601.4
  17:28:33        10.8       632.5
  17:28:34        10.7       585.2
  17:28:35        10.8       632.5
  17:28:36        10.2       596.7
  17:28:37        11.0       655.9
  17:28:38        10.9       613.1
  17:28:39        11.3       668.0
  17:28:40        10.6       574.8
  17:28:41        11.5       673.9
  17:28:42        10.9       607.1
  17:28:43        11.1       688.6
  17:28:44        10.1       597.0
  17:28:45        11.7       660.5
  17:28:46        10.6       576.3
  17:28:47        11.7       682.8
  17:28:48        10.1       576.3
  17:28:49        11.5       713.7
  17:28:50         9.5       557.1
  17:28:51        11.1       608.7
  17:28:52         9.5       545.3
  17:28:53        11.6       713.8
  17:28:54         9.8       537.9
  17:28:55        12.2       700.4
  17:28:56        10.1       558.5
  17:28:57        12.0       749.3
  17:28:58         9.9       555.5
  17:28:59        11.4       659.1
  17:29:00         9.7       531.9
  17:29:01        11.1       691.6
  17:29:02         9.3       557.2
  17:29:03         9.8       557.1
  17:29:04         9.4       554.2
  17:29:05         9.5       579.3
  17:29:06         9.7       546.8
  17:29:07        12.5       760.7
  17:29:08         9.7       558.6
  17:29:09        11.9       684.3
  17:29:10         9.8       557.1
  17:29:11        11.2       697.3
  17:29:12         9.7       540.8
  17:29:13        11.7       706.2
  17:29:14        10.2       557.2
  17:29:15        11.3       679.6
  17:29:16         9.3       570.4
  17:29:17        12.5       796.3
  17:29:18         9.6       533.5
  17:29:19        13.5       802.4
  17:29:20         9.5       544.3
  17:29:21        12.0       744.9
  17:29:22        10.0       570.3
  17:29:23        11.0       704.9
  17:29:24         9.6       573.2
  17:29:25        10.4       650.2
  17:29:26         9.7       580.8
  17:29:27        10.7       638.4
  17:29:28        10.6       582.3
  17:29:29        10.1       608.9
  17:29:30        10.2       601.4
  17:29:31        13.2       787.7
  17:29:32        10.6       604.3
  17:29:33        11.5       663.3
  17:29:34        10.5       601.4
  17:29:35        12.3       709.2
  17:29:36        11.1       616.3
  17:29:37        10.8       635.4
  17:29:38        10.6       632.3
  17:29:39        12.6       777.2
  17:29:40        10.9       631.0
  17:29:41        11.3       678.2
  17:29:42        10.6       648.7
  17:29:43        10.2       570.3
  17:29:44        11.2       662.0
  17:29:45        10.8       616.2
  17:29:46        11.1       657.6
  17:29:47        11.1       635.3
  17:29:48        11.5       676.8
  17:29:49        10.4       604.4
  17:29:50        11.1       681.3
  17:29:51         9.5       570.5
  17:29:52        11.8       725.5
  17:29:53         9.6       564.5
  17:29:54        11.6       684.1
  17:29:55         9.6       545.2
  17:29:56        12.1       693.0
  17:29:57        10.2       555.6
  17:29:58        11.7       727.1
  17:29:59         9.1       543.6
  17:30:00        11.5       644.1
  17:30:01         9.7       549.8
  17:30:02        11.5       696.0
  17:30:03        12.7       741.7
  17:30:04        12.0       753.7
  17:30:05        12.4       758.1
  17:30:06        11.7       769.7
  17:30:07         9.5       549.7
  17:30:08        11.6       712.1
  17:30:09         9.9       546.8
  17:30:10        10.8       651.6
  17:30:11         9.5       570.4
  17:30:12        11.7       690.0
  17:30:13        10.1       555.6
  17:30:14        11.5       697.5
  17:30:15         9.5       552.7
  17:30:16        12.0       706.3
  17:30:17         9.7       554.2
  17:30:18        11.0       715.2
  17:30:19         6.5       289.1
  17:30:20         0.0         0.0
  17:30:21         0.0         0.0
  17:30:22         0.0         0.0
  17:30:23         0.0         0.0
  17:30:24         0.0         0.0
  17:30:25         0.0         0.0
  17:30:26         0.0         0.0
  17:30:27         0.0         0.0
  17:30:28         0.0         0.0
  17:30:29         0.0         0.0
  17:30:30         0.0         0.0
  17:30:31         0.0         0.0
  17:30:32         0.0         0.0
  17:30:33         0.0         0.0
  17:30:34         0.0         0.0
  17:30:35         0.0         0.0
  17:30:36         0.0         0.0
  17:30:37         0.0         0.0
  17:30:38         0.0         0.0
