      Time     KB/s_in    KB/s_out
  17:16:16         0.9         3.4
  17:16:17        13.1       501.7
  17:16:18        18.4       854.2
  17:16:19        13.0       582.9
  17:16:20        14.3       655.5
  17:16:21        12.7       517.1
  17:16:22        15.4       690.1
  17:16:23        13.2       492.1
  17:16:24        10.5       411.7
  17:16:25        11.0       462.4
  17:16:26         8.1       365.1
  17:16:27        11.7       434.2
  17:16:28        15.7       693.4
  17:16:29        10.0       413.5
  17:16:30        18.6       834.1
  17:16:31        19.3       833.8
  17:16:32        18.6       854.2
  17:16:33        16.1       695.5
  17:16:34        18.2       832.6
  17:16:35         8.0       321.9
  17:16:36        18.7       855.7
  17:16:37        10.8       427.4
  17:16:38        18.8       843.9
  17:16:39         7.5       283.5
  17:16:40        19.1       854.6
  17:16:41         9.5       384.6
  17:16:42        18.6       854.2
  17:16:43         7.8       314.4
  17:16:44        18.6       854.1
  17:16:45         9.3       363.9
  17:16:46        12.1       474.2
  17:16:47         7.9       270.4
  17:16:48         6.1       229.0
  17:16:49         6.5       224.6
  17:16:50         6.3       239.4
  17:16:51         6.6       234.9
  17:16:52         5.9       220.1
  17:16:53         7.1       207.2
  17:16:54         6.0       226.1
  17:16:55         6.9       219.4
  17:16:56         5.7       217.2
  17:16:57         7.2       224.7
  17:16:58         6.1       216.7
  17:16:59         6.7       220.6
  17:17:00         6.0       207.9
  17:17:01         4.4       125.7
  17:17:02         3.2       120.4
  17:17:03         0.5         0.0
  17:17:04         4.1       144.0
  17:17:05         0.0         0.0
  17:17:06         5.6       177.2
  17:17:07         0.1         0.1
  17:17:08         5.8       191.6
  17:17:09         0.0         0.0
  17:17:10         6.0       194.7
  17:17:11         0.1         0.6
  17:17:12         6.2       200.9
  17:17:13         0.3         5.9
  17:17:14         5.9       191.8
  17:17:15         0.8        29.0
  17:17:16         4.1       119.7
  17:17:17         0.0         0.1
  17:17:18         5.3       156.6
  17:17:19         0.0         0.0
  17:17:20         5.1       159.3
  17:17:21         1.3        45.7
  17:17:22         5.3       162.3
  17:17:23         1.1        43.5
  17:17:24         4.7       140.1
  17:17:25         2.0        73.3
  17:17:26         4.6       141.6
  17:17:27         1.5        52.4
  17:17:28         4.3       128.3
  17:17:29         2.6        97.4
  17:17:30         4.2       121.0
  17:17:31         0.2         3.5
  17:17:32         4.2       138.7
  17:17:33         1.6        60.1
  17:17:34         3.5       107.6
  17:17:35         1.9        68.7
  17:17:36         3.8       101.7
  17:17:37         1.9        68.9
  17:17:38         3.3        94.3
  17:17:39         1.0        39.8
  17:17:40         3.2        86.9
  17:17:41         2.4        85.5
  17:17:42         2.9        82.4
  17:17:43         3.7       139.7
  17:17:44         3.0        75.1
  17:17:45         2.9       105.1
  17:17:46         2.7        63.3
  17:17:47         3.3       124.0
  17:17:48         2.5        57.4
  17:17:49         3.9       138.3
