      Time     KB/s_in    KB/s_out
  16:32:05         0.0         0.0
  16:32:06         0.0         0.4
  16:32:07         0.0         0.0
  16:32:08         0.0         0.0
  16:32:09         0.0         0.0
  16:32:10         0.0         0.0
  16:32:11         0.1         0.1
  16:32:12         0.0         0.3
  16:32:13         0.0         0.0
  16:32:14         0.0         0.4
  16:32:15         0.0         0.0
  16:32:16         0.0         0.0
  16:32:17         0.0         0.0
  16:32:18         0.0         0.0
  16:32:19         0.0         0.0
  16:32:20         0.0         0.0
  16:32:21         0.0         0.0
  16:32:22         0.0         0.0
  16:32:23         0.0         0.0
  16:32:24         0.0         0.0
  16:32:25         0.0         0.0
  16:32:26         0.0         0.1
  16:32:27         0.1         0.0
  16:32:28         0.0         0.1
  16:32:29         0.0         0.0
  16:32:30         0.0         0.6
  16:32:31         0.0         0.0
  16:32:32         0.0         0.0
  16:32:33         0.0         0.0
  16:32:34         0.0         0.0
  16:32:35        10.1       310.1
  16:32:36        19.3       478.9
  16:32:37        15.8       461.2
  16:32:38        11.2       498.0
  16:32:39         8.7       450.8
  16:32:40        10.6       461.1
  16:32:41        11.8       576.1
  16:32:42        13.9       648.3
  16:32:43        13.8       711.0
  16:32:44        12.7       589.8
  16:32:45         9.8       546.7
  16:32:46        12.4       569.0
  16:32:47         7.4       477.3
  16:32:48         8.3       517.3
  16:32:49        12.9       558.4
  16:32:50        11.2       548.2
  16:32:51        15.0       641.3
  16:32:52        13.6       576.2
  16:32:53        12.3       602.9
  16:32:54         8.9       642.7
  16:32:55        14.2       707.9
  16:32:56        12.7       574.9
  16:32:57        15.0       716.2
  16:32:58        12.1       565.7
  16:32:59        11.9       522.9
  16:33:00         9.6       560.0
  16:33:01        13.7       737.6
  16:33:02        12.5       626.7
  16:33:03        13.0       592.5
  16:33:04        12.3       641.2
  16:33:05        15.4       722.7
  16:33:06        10.0       549.9
  16:33:07        15.0       746.0
  16:33:08         8.3       471.3
  16:33:09        12.1       524.5
  16:33:10        13.8       607.3
  16:33:11        11.2       551.2
  16:33:12        12.0       563.1
  16:33:13        13.0       703.5
  16:33:14        11.9       573.4
  16:33:15        13.1       691.7
  16:33:16        13.3       597.1
  16:33:17        12.9       827.3
  16:33:18        11.5       716.3
  16:33:19        13.2       660.5
  16:33:20        13.7       665.0
  16:33:21        13.7       830.6
  16:33:22        12.9       648.7
  16:33:23        12.9       837.9
  16:33:24        12.3       704.9
  16:33:25        14.4       796.2
  16:33:26        14.8       654.8
  16:33:27        12.2       852.7
  16:33:28        14.3       631.0
  16:33:29        11.8       848.8
  16:33:30        15.6       724.0
  16:33:31        12.0       854.2
  16:33:32        15.6       666.5
  16:33:33        12.6       843.8
  16:33:34        13.6       679.8
  16:33:35        11.5       846.9
  16:33:36        14.8       749.3
  16:33:37        14.2       769.9
  16:33:38        12.7       720.9
  16:33:39        11.9       854.1
  16:33:40        13.8       750.6
  16:33:41        12.3       786.2
  16:33:42        13.5       718.3
  16:33:43        12.0       768.3
  16:33:44        12.3       765.5
  16:33:45        13.2       762.6
  16:33:46        11.6       749.4
  16:33:47        15.1       756.4
  16:33:48        12.5       758.0
  16:33:49        13.5       755.2
  16:33:50        10.9       772.7
  16:33:51        14.9       731.4
  16:33:52        12.3       778.6
  16:33:53        12.8       725.6
  16:33:54        11.1       799.5
  16:33:55        12.1       704.9
  16:33:56        12.6       780.4
  16:33:57        12.6       725.4
  16:33:58        12.2       802.5
  16:33:59        14.6       679.7
  16:34:00        14.4       759.5
  16:34:01        12.9       698.9
  16:34:02        13.1       781.7
  16:34:03        12.1       854.0
  16:34:04        13.3       825.9
  16:34:05        12.7       783.3
  16:34:06        11.5       835.3
  16:34:07        13.7       675.3
  16:34:08        14.1       780.2
  16:34:09        12.4       617.6
  16:34:10        11.8       847.7
  16:34:11        14.2       672.3
  16:34:12        12.2       830.3
  16:34:13        13.5       651.5
  16:34:14        12.8       840.5
  16:34:15        12.4       676.4
  16:34:16        13.4       820.3
  16:34:17        12.6       710.8
  16:34:18        11.5       791.8
  16:34:19        12.9       647.0
  16:34:20        13.4       836.3
  16:34:21        14.0       638.2
  16:34:22        12.4       843.6
  16:34:23        15.1       731.1
  16:34:24        13.2       853.9
  16:34:25        10.1       731.5
  16:34:26        11.5       839.4
  16:34:27        14.5       743.2
  16:34:28        13.3       775.6
  16:34:29        14.0       727.0
  16:34:30        12.2       854.1
  16:34:31        11.3       746.0
  16:34:32        11.7       747.7
  16:34:33        12.0       755.1
  16:34:34        14.2       723.9
  16:34:35        13.2       733.0
  16:34:36        13.2       752.3
  16:34:37        11.9       771.2
  16:34:38        14.8       681.0
  16:34:39        11.4       794.5
  16:34:40        10.5       704.8
  16:34:41        13.1       704.7
  16:34:42        12.9       660.4
  16:34:43        12.0       731.2
  16:34:44        11.6       698.8
  16:34:45        12.7       797.6
  16:34:46        10.2       719.6
