time_hms,kb_per_sec_in,kb_per_sec_out
17:58:45,1.0,3.3
17:58:46,15.1,508.9
17:58:47,17.2,700.8
17:58:48,13.4,521.7
17:58:49,19.4,753.1
17:58:50,13.8,499.7
17:58:51,18.9,731.1
17:58:52,13.4,476.0
17:58:53,17.4,673.6
17:58:54,12.5,448.3
17:58:55,22.0,854.2
17:58:56,12.0,427.7
17:58:57,17.1,658.2
17:58:58,11.5,403.5
17:58:59,17.1,661.5
17:59:00,10.5,363.7
17:59:01,22.0,854.3
17:59:02,10.5,369.6
17:59:03,8.1,314.2
17:59:04,9.2,319.3
17:59:05,16.8,650.7
17:59:06,8.6,291.3
17:59:07,21.5,835.0
17:59:08,8.0,263.3
17:59:09,22.0,854.2
17:59:10,10.0,346.1
17:59:11,22.0,854.2
17:59:12,8.8,296.7
17:59:13,22.0,854.3
17:59:14,11.9,417.6
17:59:15,21.8,731.5
17:59:16,13.1,357.4
17:59:17,14.8,440.4
17:59:18,11.8,327.7
17:59:19,19.9,617.8
17:59:20,5.1,123.2
17:59:21,19.2,582.2
17:59:22,8.3,241.1
17:59:23,19.6,625.1
17:59:24,6.0,155.9
17:59:25,20.3,629.6
17:59:26,7.8,213.9
17:59:27,18.7,589.7
17:59:28,9.8,288.4
17:59:29,19.3,573.3
17:59:30,11.0,352.0
17:59:31,18.9,552.9
17:59:32,1.1,38.3
17:59:33,19.2,563.1
17:59:34,8.5,257.6
17:59:35,20.0,589.9
17:59:36,6.8,200.5
17:59:37,17.4,504.1
17:59:38,14.0,424.4
17:59:39,16.3,479.0
17:59:40,3.7,117.1
17:59:41,16.1,480.5
17:59:42,19.7,596.2
17:59:43,18.3,530.1
17:59:44,19.2,619.4
17:59:45,17.4,491.1
17:59:46,15.8,515.6
17:59:47,15.6,439.0
17:59:48,12.3,388.4
17:59:49,14.7,421.4
17:59:50,13.2,403.2
17:59:51,15.3,430.2
17:59:52,14.3,437.9
17:59:53,12.5,376.9
17:59:54,15.7,478.3
17:59:55,12.5,354.8
17:59:56,16.8,528.9
17:59:57,11.5,340.1
17:59:58,17.7,546.4
17:59:59,13.4,366.5
18:00:00,16.8,520.0
18:00:01,8.8,249.1
18:00:02,0.5,14.9
18:00:03,8.6,235.3
18:00:04,3.3,95.0
18:00:05,10.0,279.4
