      Time     KB/s_in    KB/s_out
  16:37:49         1.0         3.3
  16:37:50        13.3       395.0
  16:37:51        23.4       830.7
  16:37:52        16.7       544.9
  16:37:53        20.6       728.6
  16:37:54        12.5       418.6
  16:37:55        21.8       766.5
  16:37:56        12.5       400.6
  16:37:57        21.8       773.0
  16:37:58        11.5       383.3
  16:37:59        23.1       830.3
  16:38:00        10.9       347.4
  16:38:01        21.3       777.0
  16:38:02         9.9       320.0
  16:38:03         0.1         0.0
  16:38:04         9.4       295.6
  16:38:05         2.7        85.2
  16:38:06         8.6       270.5
  16:38:07        22.5       783.2
  16:38:08         8.1       251.4
  16:38:09        23.4       838.2
  16:38:10        11.3       376.1
  16:38:11        24.0       842.4
  16:38:12        14.1       449.6
  16:38:13        23.9       841.0
  16:38:14        10.7       346.9
  16:38:15        23.8       836.4
  16:38:16        11.1       363.4
  16:38:17        23.5       842.4
  16:38:18        10.3       346.1
  16:38:19        23.8       838.0
  16:38:20        11.2       346.2
  16:38:21        23.0       845.3
  16:38:22        11.0       349.6
  16:38:23        22.9       823.8
  16:38:24         2.4        57.7
  16:38:25        21.9       776.6
  16:38:26         1.9        31.1
  16:38:27        23.6       845.4
  16:38:28         8.8       272.6
  16:38:29        22.0       785.1
  16:38:30         1.0         3.0
  16:38:31        23.3       820.2
  16:38:32        11.3       409.5
  16:38:33        23.1       808.5
  16:38:34        13.9       475.5
  16:38:35        22.9       777.5
  16:38:36        11.9       413.5
  16:38:37        22.6       749.2
  16:38:38        15.8       563.9
  16:38:39        21.6       730.4
  16:38:40        12.2       426.2
  16:38:41        20.9       703.5
  16:38:42        23.1       820.6
  16:38:43        24.0       839.6
  16:38:44        23.3       819.5
  16:38:45        23.9       814.8
  16:38:46        20.0       703.1
  16:38:47        18.5       614.8
  16:38:48        18.8       660.2
  16:38:49        17.5       594.2
  16:38:50        17.7       636.3
  16:38:51        17.3       572.1
  16:38:52        15.5       577.6
  16:38:53        16.6       538.1
  16:38:54        21.0       764.8
  16:38:55        16.3       524.7
  16:38:56        15.6       560.5
  16:38:57        15.0       505.5
  16:38:58        15.9       559.7
  16:38:59        14.4       479.0
  16:39:00        21.0       764.3
  16:39:01        14.0       459.7
  16:39:02         5.7       199.0
  16:39:03        13.7       430.1
  16:39:04        15.2       539.9
  16:39:05        12.8       409.4
  16:39:06        19.6       716.7
  16:39:07        11.3       379.8
  16:39:08        23.0       846.9
  16:39:09        11.3       354.3
  16:39:10        22.7       812.3
  16:39:11        10.8       329.6
  16:39:12        23.0       845.3
  16:39:13        13.7       423.3
  16:39:14        22.9       843.9
  16:39:15        12.0       392.7
  16:39:16        12.2       426.9
  16:39:17         8.4       263.1
  16:39:18        18.7       659.5
  16:39:19         7.7       236.6
  16:39:20        23.4       841.0
  16:39:21        12.8       428.9
  16:39:22        23.1       845.4
  16:39:23        11.4       359.2
  16:39:24        23.5       841.0
  16:39:25        11.5       395.1
  16:39:26        23.8       841.1
  16:39:27         8.2       246.1
  16:39:28        23.5       842.3
  16:39:29         8.3       238.0
  16:39:30        13.8       483.9
  16:39:31         3.1        78.4
  16:39:32        23.5       841.0
  16:39:33         9.3       300.0
  16:39:34        23.9       837.9
  16:39:35         2.9        71.4
  16:39:36        23.8       838.2
  16:39:37        10.6       338.5
  16:39:38        21.9       780.0
  16:39:39         1.2         3.0
  16:39:40        22.2       838.0
  16:39:41         4.9       146.4
  16:39:42        22.7       798.2
  16:39:43        12.9       457.5
  16:39:44        22.9       777.3
  16:39:45         1.4        51.7
  16:39:46        22.3       762.6
  16:39:47         9.1       316.8
  16:39:48        21.4       737.6
  16:39:49         6.2       215.1
  16:39:50        20.9       704.6
  16:39:51        12.1       426.8
  16:39:52        19.8       684.5
  16:39:53        13.9       489.2
  16:39:54        19.3       660.7
  16:39:55        14.7       524.4
  16:39:56        19.0       631.2
  16:39:57        15.2       542.9
  16:39:58        18.0       614.9
  16:39:59        17.1       598.1
  16:40:00        17.9       585.5
  16:40:01        15.1       539.5
  16:40:02         9.9       320.0
  16:40:03         0.0         0.0
  16:40:04        11.9       380.6
