Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,734.0,0,0.0,4.35,1.073
2,4864.0,0,0.0,4.25,1.0575
3,3780.0,0,0.0,4.18,1.042
4,4942.0,0,0.0,4.125,1.033
5,4768.0,0,0.0,4.08,1.024
6,4454.0,0,0.0,4.055,1.015
7,5050.0,0,0.0,4.025,1.0085
8,4206.0,0,0.0,4.015,1.006
9,4126.0,0,0.0,4.01,1.002
10,4818.0,0,0.0,4.01,1.002
11,2546.0,0,0.0,4.01,1.002
12,3756.0,0,0.0,4.0,1.002
13,4364.0,0,0.0,4.0,1.002
14,4758.0,0,0.0,3.995,1.002
15,4516.0,0,0.0,3.99,1.002
16,5022.0,0,0.0,3.9850000000000003,1.001
17,4862.0,0,0.2836666666666667,4.1000000000000005,1.0163333333333333
18,2754.0,0,0.5543333333333333,4.44,1.08
19,1234.0,1,0.0,4.325,1.0695000000000001
20,1640.0,0,0.0,4.23,1.056
21,1638.0,0,0.0,4.16,1.041
22,1824.0,0,0.0,4.11,1.028
23,1806.0,0,0.0,4.0633333333333335,1.0183333333333333
24,1948.0,0,0.0,4.04,1.01
25,1182.0,0,0.0,4.016666666666667,1.0066666666666666
26,1630.0,0,0.0,4.005,1.003
27,1532.0,0,0.0,4.0,1.001
28,1698.0,0,0.0,4.0,1.001
29,1116.0,0,0.0,4.0,1.001
30,1432.0,0,0.0,4.0,1.001
31,1748.0,0,0.0,3.99,1.001
32,1582.0,0,0.0,3.99,1.001
33,1540.0,0,0.0,3.99,1.001
34,1622.0,0,0.0,3.99,1.001
35,1652.0,0,0.0,3.9850000000000003,1.001
36,1726.0,0,0.0,3.98,1.001
37,1730.0,0,0.0,3.98,1.001
38,1742.0,0,0.0,3.98,1.001
39,1778.0,0,0.0,3.98,1.001
40,1790.0,0,0.0,3.98,1.001
41,580.0,0,0.0,3.98,0.997
42,688.0,0,0.0,3.986666666666667,0.997
43,1714.0,0,0.0,3.9966666666666666,0.997
44,1826.0,0,0.0,4.0,0.9989999999999999
45,1642.0,0,0.0,4.0,1.001
46,1648.0,0,0.0,4.0,1.001
47,1632.0,0,0.0,4.0,1.001
48,1718.0,0,0.0,4.0,1.001
49,1850.0,0,0.0,4.0,1.001
50,1944.0,0,0.0,3.99,1.001
51,1110.0,0,0.0,3.99,1.001
52,1402.0,0,0.0,3.99,1.001
53,1670.0,0,0.0,3.99,1.001
54,1236.0,0,0.0,3.99,1.001
55,1814.0,0,0.0,3.98,1.001
56,1902.0,0,0.0,3.98,1.001
57,1834.0,0,0.0,3.98,1.001
58,1630.0,0,0.0,3.98,1.001
59,1618.0,0,0.0,3.98,0.9989999999999999
60,1598.0,0,0.0,3.98,0.997
61,1624.0,0,0.0,3.9850000000000003,0.997
62,1640.0,0,0.0,3.995,0.997
63,1728.0,0,0.0,4.0,0.997
64,2054.0,0,0.0,4.0,1.001
65,1756.0,0,0.0,4.0,1.001
66,1750.0,0,0.0,4.0,1.001
67,1650.0,0,0.0,4.0,1.001
68,1866.0,0,0.0,3.995,1.001
69,1816.0,0,0.0,3.99,1.001
70,1894.0,0,0.0,3.99,1.001
71,1156.0,0,0.0,3.99,1.001
72,1474.0,0,0.0,3.99,1.001
73,1520.0,0,0.0,3.98,1.001
74,1668.0,0,0.0,3.98,1.001
75,1750.0,0,0.0,3.98,1.001
76,1698.0,0,0.0,3.98,1.001
77,1796.0,0,0.0,3.98,1.001
78,1202.0,0,0.0,3.98,0.997
79,1234.0,0,0.0,3.983333333333333,0.997
80,1640.0,0,0.0,3.995,0.997
81,1638.0,0,0.0,4.0,0.997
82,1824.0,0,0.0,4.0,1.001
83,1806.0,0,0.0,4.0,1.001
84,1948.0,0,0.0,4.0,1.001
85,1182.0,0,0.0,4.0,1.001
86,1630.0,0,0.0,3.995,1.001
87,1532.0,0,0.0,3.99,1.001
88,1698.0,0,0.0,3.99,1.001
89,1116.0,0,0.0,3.99,1.001
90,1432.0,0,0.0,3.99,1.001
