time_hms,kb_per_sec_in,kb_per_sec_out
15:16:26,0.0,0.0
15:16:27,0.0,0.4
15:16:28,0.0,0.0
15:16:29,0.0,0.0
15:16:30,0.0,0.0
15:16:31,0.0,0.0
15:16:32,0.1,0.2
15:16:33,0.0,0.1
15:16:34,0.0,0.0
15:16:35,0.0,0.4
15:16:36,0.0,0.0
15:16:37,0.0,0.0
15:16:38,0.0,0.0
15:16:39,0.0,0.0
15:16:40,0.0,0.0
15:16:41,0.0,0.0
15:16:42,0.0,0.0
15:16:43,0.0,0.0
15:16:44,0.0,0.0
15:16:45,0.0,0.0
15:16:46,0.0,0.0
15:16:47,0.0,0.1
15:16:48,0.1,0.1
15:16:49,0.0,0.0
15:16:50,0.0,0.0
15:16:51,0.0,0.6
15:16:52,0.0,0.0
15:16:53,0.0,0.0
15:16:54,0.0,0.0
15:16:55,0.0,0.0
15:16:56,10.1,374.8
15:16:57,13.7,625.1
15:16:58,13.5,617.8
15:16:59,13.4,613.3
15:17:00,12.2,561.7
15:17:01,11.9,548.3
15:17:02,12.9,591.1
15:17:03,12.9,589.6
15:17:04,12.4,570.4
15:17:05,12.9,585.2
15:17:06,12.8,587.9
15:17:07,12.9,590.9
15:17:08,13.1,601.3
15:17:09,12.5,570.4
15:17:10,12.6,578.9
15:17:11,11.3,517.1
15:17:12,11.4,503.8
15:17:13,14.0,638.3
15:17:14,14.2,651.7
15:17:15,12.9,591.2
15:17:16,14.2,651.7
15:17:17,16.2,744.7
15:17:18,14.3,657.4
15:17:19,15.9,729.8
15:17:20,14.8,678.5
15:17:21,13.2,605.7
15:17:22,15.0,685.6
15:17:23,13.0,598.8
15:17:24,14.9,684.0
15:17:25,12.0,551.1
15:17:26,15.1,690.1
15:17:27,12.6,577.8
15:17:28,15.7,682.8
15:17:29,12.7,582.1
15:17:30,13.5,617.6
15:17:31,15.2,696.1
15:17:32,15.8,725.5
15:17:33,12.9,592.5
15:17:34,15.8,725.6
15:17:35,12.8,585.2
15:17:36,15.5,712.4
15:17:37,12.5,571.8
15:17:38,15.7,722.6
15:17:39,14.2,649.9
15:17:40,16.5,755.1
15:17:41,12.6,580.8
15:17:42,17.2,787.6
15:17:43,12.5,574.6
15:17:44,15.2,695.9
15:17:45,12.8,585.1
15:17:46,15.3,700.6
15:17:47,12.0,548.3
15:17:48,17.6,756.8
15:17:49,11.0,503.8
15:17:50,17.5,801.0
15:17:51,11.5,527.6
15:17:52,16.7,766.9
15:17:53,12.5,573.4
15:17:54,15.1,695.9
15:17:55,12.6,577.7
15:17:56,15.1,694.5
15:17:57,12.4,569.0
15:17:58,15.3,699.0
15:17:59,12.8,588.1
15:18:00,14.5,665.0
15:18:01,12.8,585.3
15:18:02,14.4,663.5
15:18:03,15.3,700.1
15:18:04,18.7,855.5
15:18:05,14.7,673.9
15:18:06,18.6,854.1
15:18:07,13.3,608.8
15:18:08,14.3,655.9
15:18:09,13.5,620.8
15:18:10,13.4,614.7
15:18:11,13.8,632.5
15:18:12,14.2,650.2
15:18:13,13.8,633.7
15:18:14,14.2,648.6
15:18:15,14.2,650.3
15:18:16,13.8,635.4
15:18:17,14.1,648.4
15:18:18,13.4,614.7
15:18:19,13.9,637.1
15:18:20,12.9,592.6
15:18:21,13.3,611.8
15:18:22,12.9,594.0
15:18:23,14.8,675.3
15:18:24,16.2,744.6
15:18:25,15.2,697.4
15:18:26,14.0,646.0
15:18:27,15.8,703.7
15:18:28,12.6,572.0
15:18:29,14.6,662.0
15:18:30,15.8,725.6
15:18:31,15.7,718.3
15:18:32,12.7,582.2
15:18:33,15.1,670.9
15:18:34,13.1,594.0
15:18:35,14.1,639.9
15:18:36,12.4,567.6
15:18:37,14.8,681.1
15:18:38,12.2,561.3
15:18:39,15.8,724.0
15:18:40,12.6,574.8
15:18:41,15.9,731.6
15:18:42,12.8,583.7
15:18:43,15.5,709.4
15:18:44,12.8,586.6
15:18:45,15.5,710.8
15:18:46,12.7,583.8
15:18:47,12.8,586.7
15:18:48,12.9,591.1
15:18:49,12.5,573.4
15:18:50,12.8,586.7
15:18:51,13.2,604.4
15:18:52,12.6,579.3
15:18:53,12.8,588.2
15:18:54,11.4,523.1
15:18:55,13.9,638.4
15:18:56,12.0,532.0
15:18:57,15.7,704.8
15:18:58,11.4,523.2
15:18:59,15.7,718.2
15:19:00,12.2,558.5
15:19:01,14.4,660.4
15:19:02,12.9,590.9
15:19:03,17.8,817.1
15:19:04,13.2,604.3
15:19:05,15.7,721.2
15:19:06,13.5,623.6
15:19:07,15.2,691.6
15:19:08,13.4,614.8
15:19:09,14.4,661.8
15:19:10,12.3,565.7
15:19:11,15.1,689.8
15:19:12,13.4,614.7
15:19:13,14.2,653.2
15:19:14,13.0,597.0
15:19:15,14.8,647.2
15:19:16,15.1,681.3
15:19:17,15.6,715.2
15:19:18,15.0,687.2
15:19:19,15.3,700.4
15:19:20,15.3,704.9
15:19:21,12.6,577.8
15:19:22,15.2,697.4
15:19:23,12.8,586.7
15:19:24,15.6,713.6
15:19:25,12.9,594.0
15:19:26,4.6,169.3
15:19:27,0.0,0.0
15:19:28,0.0,0.0
15:19:29,0.0,0.0
15:19:30,0.0,0.0
15:19:31,0.0,0.0
15:19:32,0.0,0.0
15:19:33,0.0,0.0
15:19:34,0.0,0.0
15:19:35,0.0,0.0
15:19:36,0.0,0.0
15:19:37,0.0,0.0
15:19:38,0.0,0.0
15:19:39,0.0,0.0
15:19:40,0.0,0.0
15:19:41,0.0,0.0
15:19:42,0.0,0.0
15:19:43,0.0,0.0
15:19:44,0.0,0.0
15:19:45,0.0,0.0
