timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-01 14:24:51.921,47810,ESTAB,prague,224,21.164,5.039,20.177,1448,9,13032,13032,2883,2883,408,NaN,4,6,3,1,NaN,NaN,5102784,1592592,4,48640,43520,NaN,NaN
2026-04-01 14:24:52.173,47810,ESTAB,prague,224,21.164,5.039,20.177,1448,9,13032,13032,2883,2883,408,NaN,4,6,3,1,NaN,NaN,5102784,1592592,4,48640,43520,NaN,NaN
2026-04-01 14:24:52.863,47824,ESTAB,prague,224,21.175,8.297,20.125,1448,10,14480,NaN,8024,1056,822,NaN,7,5,6,2,NaN,NaN,11333600,575600,2,45568,43520,5,87596
2026-04-01 14:24:53.087,47824,ESTAB,prague,224,21.794,0.276,20.038,1448,13,18824,10136,147316,128648,822,NaN,104,51,103,2,NaN,NaN,7157800,6405008,91,63488,43520,13,56004
2026-04-01 14:24:53.312,47824,ESTAB,prague,224,22.931,1.373,20.03,1448,14,20272,20272,288120,268016,1644,NaN,203,103,202,4,NaN,NaN,7326256,6716136,189,69632,43520,14,66056
2026-04-01 14:24:53.545,47824,ESTAB,prague,224,22.01,0.505,20.03,1448,13,18824,17376,477672,459004,1644,NaN,335,177,334,4,NaN,NaN,7087600,6519456,322,69632,43520,13,83288
2026-04-01 14:24:53.775,47824,ESTAB,prague,228,25.004,4.982,20.023,1448,10,14480,14480,651428,639940,1644,NaN,456,245,455,4,NaN,NaN,4799120,5265888,448,70144,43520,8,116316
2026-04-01 14:24:53.997,47824,ESTAB,prague,224,22.098,0.552,20.023,1448,12,17376,15928,823748,807952,1644,NaN,576,311,575,4,NaN,NaN,6516288,5775248,565,69632,43520,11,81852
2026-04-01 14:24:54.217,47824,ESTAB,prague,224,22.087,0.683,20.023,1448,14,20272,17376,1008992,990324,1644,NaN,705,375,704,4,NaN,NaN,7606144,6766680,692,69632,43520,13,103392
2026-04-01 14:24:54.438,47824,ESTAB,prague,228,24.859,4.994,20.023,1448,11,15928,15928,1169824,1165516,1644,NaN,817,440,816,4,NaN,NaN,5309832,5945336,814,70144,43520,3,80416
2026-04-01 14:24:54.664,47824,ESTAB,prague,224,22.254,0.496,20.023,1448,12,17376,17376,1328887,1327784,1644,NaN,928,504,927,4,NaN,NaN,6470400,6593992,927,69632,43520,1,NaN
2026-04-01 14:24:54.892,47824,ESTAB,prague,228,26.23,9.592,20.023,1448,13,18824,17376,1336078,1331770,2468,NaN,934,509,933,6,NaN,NaN,5947136,1882264,931,70144,43520,3,134984
2026-04-01 14:24:55.117,47824,ESTAB,prague,224,21.816,0.352,20.023,1448,14,20272,17376,1521322,1502654,2468,NaN,1063,575,1062,6,NaN,NaN,7700560,6898312,1050,69632,43520,13,87596
2026-04-01 14:24:55.348,47824,ESTAB,prague,224,21.757,0.312,20.022,1448,13,18824,15928,1708002,1689334,2468,NaN,1193,648,1192,6,NaN,NaN,7169968,6398816,1180,69632,43520,13,107700
2026-04-01 14:24:55.577,47824,ESTAB,prague,228,24.014,4.527,20.022,1448,14,20272,17376,1881758,1864526,2468,NaN,1314,703,1313,6,NaN,NaN,6995632,2487704,1302,72192,43520,12,71800
2026-04-01 14:24:55.806,47824,ESTAB,prague,224,23.595,1.807,20.022,1448,13,18824,18824,2068438,2051206,2468,NaN,1444,769,1443,6,NaN,NaN,6611280,6692912,1432,72192,43520,12,101956
2026-04-01 14:24:56.036,47824,ESTAB,prague,224,21.961,0.339,20.022,1448,14,20272,17376,2255118,2236450,2468,NaN,1574,841,1573,6,NaN,NaN,7649712,7061256,1561,72192,43520,13,58876
2026-04-01 14:24:56.266,47824,ESTAB,prague,224,22.144,0.722,20.022,1448,13,18824,17376,2438926,2421694,2468,NaN,1702,913,1701,6,NaN,NaN,7044648,6375632,1690,72192,43520,12,90468
2026-04-01 14:24:56.491,47824,ESTAB,prague,224,21.992,0.681,20.022,1448,12,17376,15928,2594657,2594014,2468,NaN,1811,981,1810,6,NaN,NaN,6547584,5290808,1810,72192,43520,1,NaN
2026-04-01 14:24:56.720,47824,ESTAB,prague,228,27.151,10.827,20.022,1448,12,17376,15928,2594657,2594657,2468,NaN,1811,982,1810,6,NaN,NaN,5303616,1810536,1811,72192,43520,NaN,NaN
2026-04-01 14:24:56.949,47824,ESTAB,prague,228,24.847,8.03,20.022,1448,12,17376,15928,2611900,2597540,3292,NaN,1824,987,1823,8,NaN,NaN,5795328,1810536,1814,72192,43520,10,130676
2026-04-01 14:24:57.172,47824,ESTAB,prague,224,21.879,0.25,20.019,1448,14,20272,17376,2798580,2779912,3292,NaN,1954,1058,1953,8,NaN,NaN,7678272,6931680,1941,72192,43520,13,87596
2026-04-01 14:24:57.394,47824,ESTAB,prague,224,22.423,1.202,20.017,1448,13,18824,17376,2980952,2962284,3292,NaN,2081,1122,2080,8,NaN,NaN,6956976,6173464,2068,72192,43520,13,120624
2026-04-01 14:24:57.618,47824,ESTAB,prague,224,23.087,1.166,20.017,1448,12,17376,17376,3161888,3144656,3292,NaN,2207,1193,2206,8,NaN,NaN,6237120,6692360,2195,72192,43520,12,83288
2026-04-01 14:24:57.846,47824,ESTAB,prague,224,21.849,0.282,20.017,1448,14,20272,15928,3348568,3328464,3292,NaN,2337,1264,2336,8,NaN,NaN,7688912,6933408,2323,72192,43520,14,112008
2026-04-01 14:24:58.076,47824,ESTAB,prague,224,22.288,0.813,20.017,1448,13,18824,17376,3536684,3518016,3292,NaN,2468,1330,2467,8,NaN,NaN,6998992,6138840,2455,72192,43520,13,67492
2026-04-01 14:24:58.307,47824,ESTAB,prague,224,22.452,1.15,20.017,1448,13,18824,17376,3649283,3649283,3292,NaN,2547,1376,2546,8,NaN,NaN,6948136,5593656,2547,72704,43520,NaN,NaN
2026-04-01 14:24:58.538,47824,ESTAB,prague,224,22.452,1.15,20.017,1448,13,18824,17376,3649283,3649283,3292,NaN,2547,1376,2546,8,NaN,NaN,6948136,5593656,2547,72704,43520,NaN,NaN
2026-04-01 14:24:58.766,47824,ESTAB,prague,224,22.452,1.15,20.017,1448,13,18824,17376,3649283,3649283,3292,NaN,2547,1376,2546,8,NaN,NaN,6948136,5593656,2547,72704,43520,NaN,NaN
2026-04-01 14:24:58.990,47824,ESTAB,prague,224,22.762,2.034,20.017,1448,13,18824,17376,3678014,3660782,4116,NaN,2568,1382,2567,10,NaN,NaN,6853392,5593656,2556,72704,43520,12,119188
2026-04-01 14:24:59.214,47824,ESTAB,prague,224,22.956,1.812,20.017,1448,13,18824,17376,3858950,3841718,4116,NaN,2694,1453,2693,10,NaN,NaN,6795568,5960376,2682,72192,43520,12,81852
2026-04-01 14:24:59.449,47824,ESTAB,prague,224,22.606,0.975,20.017,1448,12,17376,17376,4049938,4032706,4116,NaN,2827,1527,2826,10,NaN,NaN,6369984,6830760,2815,72192,43520,12,106264
2026-04-01 14:24:59.685,47824,ESTAB,prague,224,21.981,1.099,20.017,1448,11,15928,15928,4243798,4228002,4116,NaN,2962,1603,2961,10,NaN,NaN,6005032,5540648,2951,72192,43520,11,127804
2026-04-01 14:24:59.910,47824,ESTAB,prague,224,21.756,0.669,20.017,1448,12,17376,17376,4431914,4414682,4116,NaN,3093,1674,3092,10,NaN,NaN,6618720,6184216,3081,72192,43520,12,83288
2026-04-01 14:25:00.142,47824,ESTAB,prague,224,23.25,1.628,20.017,1448,12,17376,17376,4615722,4598490,4116,NaN,3221,1740,3220,10,NaN,NaN,6193344,6722552,3209,72192,43520,12,68441
2026-04-01 14:25:00.379,47824,ESTAB,prague,224,22.503,1.383,20.017,1448,13,18824,18824,4684163,4684163,4116,NaN,3269,1773,3268,10,NaN,NaN,6932328,6435552,3269,72192,43520,NaN,NaN
2026-04-01 14:25:00.610,47824,ESTAB,prague,224,22.503,1.383,20.017,1448,13,18824,18824,4684163,4684163,4116,NaN,3269,1773,3268,10,NaN,NaN,6932328,6435552,3269,72192,43520,NaN,NaN
2026-04-01 14:25:00.853,47824,ESTAB,prague,224,22.503,1.383,20.017,1448,13,18824,18824,4684163,4684163,4116,NaN,3269,1773,3268,10,NaN,NaN,6932328,6435552,3269,72192,43520,NaN,NaN
2026-04-01 14:25:01.096,47824,ESTAB,prague,224,21.841,0.833,20.017,1448,13,18824,17376,4776078,4757410,4940,NaN,3334,1805,3333,12,NaN,NaN,7142512,6315096,3321,72192,43520,13,56004
2026-04-01 14:25:01.332,47824,ESTAB,prague,224,22.13,0.458,20.017,1448,13,18824,15928,4965630,4948398,4940,NaN,3466,1880,3465,12,NaN,NaN,7049120,6454080,3454,72192,43520,12,81852
2026-04-01 14:25:01.575,47824,ESTAB,prague,224,23.517,1.757,20.017,1448,13,18824,18824,5169542,5152310,4940,NaN,3608,1952,3607,12,NaN,NaN,6633224,6699824,3596,72192,43520,12,93340
2026-04-01 14:25:01.813,47824,ESTAB,prague,224,22.79,1.316,20.017,1448,12,17376,17376,5361966,5346170,4940,NaN,3742,2027,3741,12,NaN,NaN,6318336,6763312,3731,72192,43520,11,116316
2026-04-01 14:25:02.061,47824,ESTAB,prague,224,22.327,0.66,20.017,1448,12,17376,17376,5560134,5542902,4940,NaN,3880,2103,3879,12,NaN,NaN,6449280,6813824,3868,72192,43520,12,61748
2026-04-01 14:25:02.294,47824,ESTAB,prague,224,22.52,1.505,20.017,1448,11,15928,15928,5753994,5739634,4940,NaN,4015,2179,4014,12,NaN,NaN,5861328,5869368,4005,72192,43520,10,83288
2026-04-01 14:25:02.527,47824,ESTAB,prague,228,27.203,10.571,20.017,1448,13,18824,18824,5891851,5891851,4940,NaN,4112,2233,4111,12,NaN,NaN,5734456,2366712,4112,72704,43520,NaN,NaN
2026-04-01 14:25:02.760,47824,ESTAB,prague,228,27.203,10.571,20.017,1448,13,18824,18824,5891851,5891851,4940,NaN,4112,2233,4111,12,NaN,NaN,5734456,2366712,4112,72704,43520,NaN,NaN
2026-04-01 14:25:02.993,47824,ESTAB,prague,228,27.203,10.571,20.017,1448,13,18824,18824,5894734,5891851,5348,NaN,4115,2234,4114,13,NaN,NaN,5734456,2366712,4112,72704,43520,3,NaN
2026-04-01 14:25:03.227,47824,ESTAB,prague,224,21.925,0.402,20.017,1448,14,20272,17376,6069926,6051258,5764,NaN,4237,2299,4236,14,NaN,NaN,7662368,6863232,4224,72192,43520,13,113444
2026-04-01 14:25:03.459,47824,ESTAB,prague,224,21.835,0.893,20.017,1448,11,15928,15928,6259478,6243682,5764,NaN,4369,2373,4368,14,NaN,NaN,6045160,6687624,4358,72192,43520,11,67492
2026-04-01 14:25:03.692,47824,ESTAB,prague,224,22.93,1.157,20.017,1448,13,18824,17376,6449030,6431798,5764,NaN,4501,2439,4500,14,NaN,NaN,6803160,6034904,4489,72192,43520,12,82728
2026-04-01 14:25:03.932,47824,ESTAB,prague,224,22.813,1.354,20.017,1448,11,15928,15928,6531758,6531758,5764,NaN,4559,2481,4558,14,NaN,NaN,5786000,6710568,4559,72192,43520,NaN,NaN
2026-04-01 14:25:04.165,47824,ESTAB,prague,224,22.813,1.354,20.017,1448,11,15928,15928,6531758,6531758,5764,NaN,4559,2481,4558,14,NaN,NaN,5786000,6710568,4559,72192,43520,NaN,NaN
2026-04-01 14:25:04.406,47824,ESTAB,prague,224,22.813,1.354,20.017,1448,11,15928,15928,6531758,6531758,5764,NaN,4559,2481,4558,14,NaN,NaN,5786000,6710568,4559,72192,43520,NaN,NaN
2026-04-01 14:25:04.652,47824,ESTAB,prague,224,22.813,1.354,20.017,1448,11,15928,15928,6531758,6531758,5764,NaN,4559,2481,4558,14,NaN,NaN,5786000,6710568,4559,72192,43520,NaN,NaN
2026-04-01 14:25:04.906,47824,ESTAB,prague,224,22.813,1.354,20.017,1448,11,15928,15928,6531758,6531758,5764,NaN,4559,2481,4558,14,NaN,NaN,5786000,6710568,4559,72192,43520,NaN,NaN
2026-04-01 14:25:05.186,47824,ESTAB,prague,224,22.146,0.626,20.017,1448,12,17376,17376,6630853,6613621,6588,NaN,4629,2513,4628,16,NaN,NaN,6502176,6840424,4617,72192,43520,12,120624
2026-04-01 14:25:05.434,47824,ESTAB,prague,224,22.242,0.605,20.017,1448,12,17376,17376,6839073,6821841,6588,NaN,4774,2593,4773,16,NaN,NaN,6474048,6861688,4762,72192,43520,12,127804
2026-04-01 14:25:05.677,47824,ESTAB,prague,224,22.089,1.249,20.017,1448,11,15928,15928,7035805,7020009,6588,NaN,4911,2670,4910,16,NaN,NaN,5975640,5640968,4900,72192,43520,11,74672
2026-04-01 14:25:05.920,47824,ESTAB,prague,224,22.587,1.26,20.017,1448,11,15928,15928,7236845,7221049,6588,NaN,5051,2747,5050,16,NaN,NaN,5843904,6697736,5040,72192,43520,11,89032
2026-04-01 14:25:06.149,47824,ESTAB,prague,224,22.503,1.126,20.017,1448,13,18824,17376,7422089,7403421,6588,NaN,5180,2811,5179,16,NaN,NaN,6932224,5821104,5167,72192,43520,13,52097
2026-04-01 14:25:06.389,47824,ESTAB,prague,224,22.174,0.596,20.017,1448,12,17376,15928,7596246,7580450,7004,NaN,5302,2881,5301,17,NaN,NaN,6493920,5017280,5291,72192,43520,11,94776
2026-04-01 14:25:06.636,47824,ESTAB,prague,224,21.957,0.411,20.017,1448,14,20272,20272,7804466,7784362,7004,NaN,5447,2953,5446,17,NaN,NaN,7651168,6936840,5433,72192,43520,14,101956
2026-04-01 14:25:06.871,47824,ESTAB,prague,224,22.054,0.552,20.017,1448,14,20272,17376,7995454,7975350,7004,NaN,5580,3027,5579,17,NaN,NaN,7617456,6866280,5566,72192,43520,14,54568
2026-04-01 14:25:07.108,47824,ESTAB,prague,224,23.082,1.42,20.017,1448,11,15928,15928,8182134,8166338,7004,NaN,5710,3102,5709,17,NaN,NaN,5718680,5673368,5699,72192,43520,11,83288
2026-04-01 14:25:07.344,47824,ESTAB,prague,224,23.067,1.528,20.017,1448,13,18824,18824,8375994,8358762,7004,NaN,5845,3171,5844,17,NaN,NaN,6762808,6285400,5833,72192,43520,12,104828
2026-04-01 14:25:07.576,47824,ESTAB,prague,224,22.09,0.402,20.017,1448,14,20272,20272,8562674,8544006,7004,NaN,5975,3242,5974,17,NaN,NaN,7604912,6987928,5962,72192,43520,13,2806
2026-04-01 14:25:07.824,47824,ESTAB,prague,224,21.747,0.325,20.017,1448,13,18824,15928,8740672,8722004,7420,NaN,6099,3312,6098,18,NaN,NaN,7173192,6362208,6086,72192,43520,13,113444
