      Time     KB/s_in    KB/s_out
  20:08:16         0.0         0.0
  20:08:17         0.0         0.4
  20:08:18         0.0         0.0
  20:08:19         0.0         0.0
  20:08:20         0.0         0.0
  20:08:21         0.0         0.0
  20:08:22         0.0         0.1
  20:08:23         0.1         0.2
  20:08:24         0.0         0.0
  20:08:25         0.0         0.4
  20:08:26         0.0         0.0
  20:08:27         0.0         0.0
  20:08:28         0.0         0.0
  20:08:29         0.0         0.0
  20:08:30         0.0         0.0
  20:08:31         0.0         0.0
  20:08:32         0.0         0.0
  20:08:33         0.0         0.0
  20:08:34         0.0         0.0
  20:08:35         0.0         0.0
  20:08:36         0.0         0.0
  20:08:37         0.0         0.0
  20:08:38         0.0         0.1
  20:08:39         0.1         0.1
  20:08:40         0.0         0.0
  20:08:41         0.0         0.6
  20:08:42         0.0         0.0
  20:08:43         0.0         0.0
  20:08:44         0.0         0.0
  20:08:45         0.0         0.0
  20:08:46         8.6       295.3
  20:08:47        16.9       465.6
  20:08:48         7.2       416.8
  20:08:49        10.4       401.9
  20:08:50        11.5       444.8
  20:08:51        14.7       427.1
  20:08:52         9.9       384.2
  20:08:53         8.0       426.7
  20:08:54         7.5       396.0
  20:08:55         8.1       403.4
  20:08:56         8.1       431.4
  20:08:57         7.8       388.7
  20:08:58         6.0       428.6
  20:08:59         8.4       388.6
  20:09:00         8.2       403.2
  20:09:01         8.0       428.4
  20:09:02         7.9       419.6
  20:09:03         8.4       421.0
  20:09:04         8.4       444.8
  20:09:05         7.6       395.9
  20:09:06         7.6       418.1
  20:09:07         8.1       418.2
  20:09:08         8.2       413.6
  20:09:09         7.9       395.8
  20:09:10         7.9       409.3
  20:09:11         8.2       419.6
  20:09:12         7.6       430.1
  20:09:13         7.5       403.8
  20:09:14         8.6       446.3
  20:09:15         8.2       415.2
  20:09:16         8.0       403.6
  20:09:17         7.1       424.0
  20:09:18         9.5       532.1
  20:09:19         8.6       418.1
  20:09:20         8.6       471.4
  20:09:21         8.4       419.7
  20:09:22         7.7       385.7
  20:09:23         8.1       412.3
  20:09:24         7.9       419.6
  20:09:25         8.8       424.0
  20:09:26         8.6       430.1
  20:09:27         8.1       425.6
  20:09:28         8.6       452.2
  20:09:29         8.5       424.2
  20:09:30         7.5       406.3
  20:09:31         7.5       388.6
  20:09:32         9.5       526.0
  20:09:33         7.5       404.8
  20:09:34         6.7       440.2
  20:09:35         7.3       422.5
  20:09:36         9.2       480.2
  20:09:37         8.6       407.8
  20:09:38         8.2       464.0
  20:09:39         6.8       422.6
  20:09:40         9.7       502.3
  20:09:41         7.5       410.8
  20:09:42         8.8       509.9
  20:09:43         8.2       403.4
  20:09:44         7.3       422.6
  20:09:45         6.7       382.7
  20:09:46         8.0       462.3
  20:09:47         7.1       422.5
  20:09:48         7.5       418.1
  20:09:49         8.8       409.4
  20:09:50         8.1       440.4
  20:09:51         7.7       397.6
  20:09:52         9.1       474.3
  20:09:53         7.3       424.1
  20:09:54         7.8       431.5
  20:09:55         7.3       421.0
  20:09:56         8.1       433.0
  20:09:57         8.3       410.8
  20:09:58         8.6       403.4
  20:09:59         8.1       424.1
  20:10:00         8.2       403.4
  20:10:01         8.3       422.5
  20:10:02         7.9       412.3
  20:10:03         7.7       543.8
  20:10:04        12.9       854.1
  20:10:05         9.1       486.2
  20:10:06        13.1       848.3
  20:10:07         7.8       438.8
  20:10:08         8.0       410.7
  20:10:09         7.9       415.2
  20:10:10         7.3       372.4
  20:10:11         8.4       422.6
  20:10:12         7.7       400.5
  20:10:13         8.6       412.3
  20:10:14         7.5       421.1
  20:10:15         8.2       425.7
  20:10:16         7.1       422.6
  20:10:17         8.1       395.0
  20:10:18         7.9       424.2
  20:10:19         8.4       461.1
  20:10:20         8.4       407.8
  20:10:21         7.8       424.2
  20:10:22         7.5       421.2
  20:10:23         7.0       424.1
  20:10:24         7.2       418.2
  20:10:25         7.2       421.2
  20:10:26         6.6       427.1
  20:10:27         8.1       418.2
  20:10:28         8.1       406.4
  20:10:29         8.0       430.1
  20:10:30         8.2       418.2
  20:10:31         8.2       403.3
  20:10:32         7.6       409.4
  20:10:33         7.7       429.8
  20:10:34         7.6       419.8
  20:10:35         8.5       496.6
  20:10:36         8.6       412.2
  20:10:37         7.7       413.6
  20:10:38         8.6       425.7
  20:10:39         7.2       400.4
  20:10:40         6.7       393.1
  20:10:41         8.1       468.5
  20:10:42         7.9       356.2
  20:10:43         9.7       514.3
  20:10:44         7.7       390.0
  20:10:45         8.1       403.5
  20:10:46         8.3       412.3
  20:10:47         8.4       441.8
  20:10:48         7.9       418.1
  20:10:49         8.7       418.0
  20:10:50         8.0       418.3
  20:10:51         7.3       400.5
  20:10:52         8.2       397.5
  20:10:53         7.7       404.8
  20:10:54         8.3       421.1
  20:10:55         7.4       379.7
  20:10:56         8.1       405.0
  20:10:57         8.1       404.9
  20:10:58         7.3       419.7
  20:10:59         7.9       416.7
  20:11:00         7.7       415.3
  20:11:01         6.6       400.3
  20:11:02         8.0       402.0
  20:11:03         9.9       558.5
  20:11:04         7.7       418.3
  20:11:05         9.3       444.7
  20:11:06         8.0       408.0
  20:11:07         9.3       456.6
  20:11:08         7.8       427.1
  20:11:09         8.1       416.8
  20:11:10         7.5       412.3
  20:11:11         7.4       428.6
  20:11:12         8.0       400.5
  20:11:13         8.0       407.7
  20:11:14         8.4       409.4
  20:11:15         7.3       425.6
  20:11:16         4.8       181.3
  20:11:17         0.0         0.0
  20:11:18         0.0         0.0
  20:11:19         0.0         0.0
  20:11:20         0.0         0.0
  20:11:21         0.0         0.0
  20:11:22         0.0         0.0
  20:11:23         0.0         0.0
  20:11:24         0.0         0.0
  20:11:25         0.0         0.0
  20:11:26         0.0         0.0
  20:11:27         0.0         0.0
  20:11:28         0.0         0.0
  20:11:29         0.0         0.0
  20:11:30         0.0         0.0
  20:11:31         0.0         0.0
  20:11:32         0.0         0.0
  20:11:33         0.0         0.0
  20:11:34         0.0         0.0
  20:11:35         0.0         0.0
