time_hms,kb_per_sec_in,kb_per_sec_out
07:08:30,0.9,3.2
07:08:31,15.3,608.7
07:08:32,15.9,737.8
07:08:33,14.4,636.4
07:08:34,13.9,636.3
07:08:35,14.5,617.8
07:08:36,12.3,563.5
07:08:37,13.7,585.4
07:08:38,15.7,716.8
07:08:39,13.0,557.6
07:08:40,12.9,589.4
07:08:41,12.7,537.9
07:08:42,15.8,722.7
07:08:43,12.1,515.8
07:08:44,14.8,675.1
07:08:45,11.6,489.1
07:08:46,16.6,755.3
07:08:47,11.2,471.5
07:08:48,10.9,496.1
07:08:49,10.9,452.3
07:08:50,17.7,812.0
07:08:51,10.1,424.2
07:08:52,17.4,796.1
07:08:53,9.7,403.1
07:08:54,18.7,834.2
07:08:55,19.3,855.0
07:08:56,18.6,835.3
07:08:57,15.9,698.2
07:08:58,18.6,854.3
07:08:59,9.8,403.1
07:09:00,12.6,514.4
07:09:01,9.2,298.6
07:09:02,9.0,310.5
07:09:03,8.8,308.8
07:09:04,9.5,308.3
07:09:05,9.0,296.9
07:09:06,8.6,299.4
07:09:07,2.4,65.0
07:09:08,8.2,297.0
07:09:09,4.8,131.8
07:09:10,8.7,305.9
07:09:11,4.3,132.4
07:09:12,9.0,322.1
07:09:13,3.9,106.9
07:09:14,8.9,304.4
07:09:15,5.1,148.3
07:09:16,7.9,273.3
07:09:17,1.6,26.6
07:09:18,8.5,292.0
07:09:19,1.4,17.7
07:09:20,8.7,304.4
07:09:21,3.8,108.6
07:09:22,9.2,335.4
07:09:23,3.4,80.1
07:09:24,8.3,292.5
07:09:25,5.0,173.6
07:09:26,8.5,285.1
07:09:27,4.9,179.7
07:09:28,9.5,307.3
07:09:29,5.4,192.9
07:09:30,8.9,292.5
07:09:31,0.4,12.5
07:09:32,8.7,285.2
07:09:33,4.0,134.3
07:09:34,8.6,274.9
07:09:35,3.6,119.4
07:09:36,8.1,257.1
07:09:37,5.2,179.3
07:09:38,7.7,240.9
07:09:39,1.4,47.1
07:09:40,7.5,236.4
07:09:41,3.9,132.6
07:09:42,7.2,233.4
07:09:43,6.2,215.7
07:09:44,7.1,214.2
07:09:45,5.5,192.7
07:09:46,6.4,190.6
07:09:47,5.8,205.7
07:09:48,6.5,199.5
07:09:49,6.5,217.7
07:09:50,5.9,175.8
07:09:51,7.3,249.2
07:09:52,6.0,178.8
07:09:53,7.8,265.0
07:09:54,5.6,162.5
07:09:55,7.9,282.1
07:09:56,5.4,161.0
07:09:57,8.3,286.7
07:09:58,5.1,144.8
07:09:59,8.6,312.5
07:10:00,4.6,133.0
07:10:01,8.2,297.0
07:10:02,5.2,155.7
07:10:03,0.8,26.0
07:10:04,3.9,109.4
07:10:05,1.9,69.4
07:10:06,4.0,110.9
07:10:07,9.1,329.9
07:10:08,3.5,93.1
07:10:09,9.2,335.5
07:10:10,4.7,130.9
07:10:11,9.4,332.3
07:10:12,2.9,76.8
07:10:13,9.0,320.7
07:10:14,3.8,97.3
07:10:15,9.5,331.0
07:10:16,3.1,75.6
07:10:17,8.1,279.3
07:10:18,5.1,159.4
07:10:19,9.1,317.8
07:10:20,5.0,141.5
07:10:21,8.9,326.6
07:10:22,5.6,166.9
07:10:23,7.3,254.3
07:10:24,1.4,20.7
07:10:25,9.1,317.7
07:10:26,2.0,36.3
07:10:27,8.5,297.1
07:10:28,4.6,123.8
07:10:29,8.6,315.6
07:10:30,0.5,1.5
07:10:31,9.0,297.4
07:10:32,8.7,302.9
07:10:33,9.5,290.1
07:10:34,9.0,305.8
07:10:35,9.0,289.2
07:10:36,7.1,246.8
07:10:37,8.5,269.0
07:10:38,4.3,150.3
07:10:39,8.4,267.6
07:10:40,3.7,148.9
07:10:41,8.7,277.9
07:10:42,3.9,133.6
07:10:43,8.1,246.8
07:10:44,5.0,171.2
07:10:45,7.7,249.8
07:10:46,5.0,172.2
07:10:47,7.7,240.9
07:10:48,5.7,203.4
07:10:49,7.2,233.5
07:10:50,7.7,283.9
07:10:51,7.6,234.9
07:10:52,6.8,226.8
07:10:53,6.9,214.3
07:10:54,6.6,235.5
07:10:55,6.1,192.0
07:10:56,6.6,232.2
07:10:57,6.3,203.9
07:10:58,7.6,275.4
07:10:59,5.8,181.7
07:11:00,7.9,285.0
07:11:01,5.6,168.4
07:11:02,8.4,304.4
07:11:03,5.8,176.2
07:11:04,9.2,314.8
07:11:05,9.2,297.0
07:11:06,8.4,292.1
07:11:07,5.0,143.3
07:11:08,8.1,285.5
07:11:09,4.5,133.0
07:11:10,8.4,295.6
07:11:11,4.9,144.3
07:11:12,8.8,313.8
07:11:13,4.0,118.2
07:11:14,8.9,320.7
07:11:15,4.5,137.9
07:11:16,5.5,195.0
07:11:17,3.9,104.9
07:11:18,6.2,213.6
07:11:19,3.4,87.2
07:11:20,9.1,314.8
07:11:21,3.6,96.8
07:11:22,9.6,334.0
07:11:23,3.1,75.6
07:11:24,8.8,302.9
07:11:25,5.3,158.7
07:11:26,8.6,299.9
07:11:27,5.2,154.1
07:11:28,8.8,310.3
07:11:29,5.9,181.1
07:11:30,7.3,267.9
07:11:31,2.7,79.8
07:11:32,16.5,735.2
07:11:33,2.2,54.7
07:11:34,18.6,853.8
07:11:35,2.2,47.4
07:11:36,18.6,854.3
07:11:37,7.8,312.3
07:11:38,17.0,777.9
07:11:39,1.0,2.9
07:11:40,15.5,712.4
07:11:41,6.3,263.8
07:11:42,18.3,817.1
07:11:43,9.4,428.0
07:11:44,18.3,795.2
07:11:45,0.6,27.1
07:11:46,17.7,768.4
07:11:47,6.6,302.0
07:11:48,17.2,741.7
07:11:49,4.4,202.6
