timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-10 17:17:00.604,54796,ESTAB,bbr,224,21.925,7.214,20.215,1448,12,17376,NaN,2883,2883,408,NaN,3,5,2,1,NaN,NaN,14747936,1145056,3,48640,43520,NaN,NaN
2026-04-10 17:17:01.330,54810,ESTAB,bbr,232,28.951,2.057,20.073,1448,43,62264,NaN,99272,76104,822,NaN,70,31,69,2,NaN,NaN,20361784,6289456,54,86016,43520,16,85279
2026-04-10 17:17:01.574,54810,ESTAB,bbr,228,27.932,2.934,20.073,1448,36,52128,28960,271039,249319,1644,NaN,189,92,188,4,NaN,NaN,8817008,6493040,174,86016,43520,15,379376
2026-04-10 17:17:01.831,54810,ESTAB,bbr,232,28.881,0.45,20.073,1448,36,52128,28960,480999,460727,1644,NaN,334,165,333,4,NaN,NaN,8318864,6688648,320,86016,43520,14,337384
2026-04-10 17:17:02.066,54810,ESTAB,bbr,232,28.703,0.741,20.073,1448,36,52128,28960,688063,663447,1644,NaN,477,235,476,4,NaN,NaN,8333392,6300784,460,86016,43520,17,298288
2026-04-10 17:17:02.296,54810,ESTAB,bbr,232,30.559,3.825,20.073,1448,42,60816,28960,880647,856031,1644,NaN,610,297,609,4,NaN,NaN,6666712,6679368,593,86016,43520,17,509765
2026-04-10 17:17:02.519,54810,ESTAB,bbr,232,28.701,1.209,20.073,1448,44,63712,28960,1068887,1044271,1644,NaN,740,362,739,4,NaN,NaN,8333392,6307648,723,219648,43520,17,321525
2026-04-10 17:17:02.741,54810,ESTAB,bbr,232,29.788,1.038,20.073,1448,44,63712,28960,1252783,1229615,1644,NaN,867,426,866,4,NaN,NaN,8331688,6677856,851,219648,43520,16,137629
2026-04-10 17:17:02.983,54810,ESTAB,bbr,232,31.876,6.978,20.073,1448,44,63712,28960,1390412,1390412,1644,NaN,963,478,962,4,NaN,NaN,8318864,4744344,963,219648,43520,NaN,NaN
2026-04-10 17:17:03.231,54810,ESTAB,bbr,232,31.876,6.978,20.073,1448,44,63712,28960,1393295,1390412,2052,NaN,965,479,964,5,NaN,NaN,6655096,4744344,963,219648,43520,2,NaN
2026-04-10 17:17:03.460,54810,ESTAB,bbr,232,28.859,0.25,20.073,1448,36,52128,28960,1584431,1561263,2468,NaN,1097,539,1096,6,NaN,NaN,8316304,6688432,1081,219648,43520,16,398200
2026-04-10 17:17:03.686,54810,ESTAB,bbr,228,26.38,0.399,20.073,1448,40,57920,28960,1774119,1748055,2468,NaN,1228,601,1227,6,NaN,NaN,8323992,6695704,1210,219648,43520,18,256200
2026-04-10 17:17:03.916,54810,ESTAB,bbr,232,28.457,2.382,20.073,1448,46,66608,28960,1966703,1942087,2468,NaN,1361,663,1360,6,NaN,NaN,8323992,6687008,1344,219648,43520,17,63616
2026-04-10 17:17:04.140,54810,ESTAB,bbr,228,27.515,1.946,20.073,1448,46,66608,28960,2130231,2108511,2884,NaN,1474,721,1473,7,NaN,NaN,8345352,6222520,1459,219648,43520,15,489424
2026-04-10 17:17:04.366,54810,ESTAB,bbr,232,29.794,0.393,20.073,1448,36,52128,28960,2319919,2296751,2884,NaN,1605,786,1604,7,NaN,NaN,8345352,6530104,1589,219648,43520,16,560376
2026-04-10 17:17:04.594,54810,ESTAB,bbr,232,28.749,0.05,20.073,1448,36,52128,28960,2509607,2484991,2884,NaN,1736,851,1735,7,NaN,NaN,8318864,6694872,1719,219648,43520,17,370688
2026-04-10 17:17:04.847,54810,ESTAB,bbr,232,29.437,0.546,20.073,1448,36,52128,28960,2713775,2690607,2884,NaN,1877,922,1876,7,NaN,NaN,8323992,6687008,1861,219648,43520,16,256089
2026-04-10 17:17:05.100,54810,ESTAB,bbr,232,29.427,1.199,20.073,1448,36,52128,28960,2929527,2904911,2884,NaN,2026,996,2025,7,NaN,NaN,8299216,6693528,2009,219648,43520,17,40337
2026-04-10 17:17:05.359,54810,ESTAB,bbr,228,25.375,2.054,20.073,1448,36,52128,28960,3043699,3021979,3708,NaN,2105,1039,2104,9,NaN,NaN,8364152,6694744,2090,219648,43520,15,583544
2026-04-10 17:17:05.609,54810,ESTAB,bbr,232,30.268,0.398,20.073,1448,36,52128,28960,3253659,3230491,3708,NaN,2250,1111,2249,9,NaN,NaN,8364152,6690632,2234,219648,43520,16,373584
2026-04-10 17:17:05.859,54810,ESTAB,bbr,232,28.359,0.226,20.073,1448,36,52128,28960,3463619,3439003,3708,NaN,2395,1183,2394,9,NaN,NaN,8311176,6076248,2378,219648,43520,17,489424
2026-04-10 17:17:06.116,54810,ESTAB,bbr,232,28.936,0.332,20.073,1448,36,52128,28960,3676475,3653307,3708,NaN,2542,1257,2541,9,NaN,NaN,8299216,6698744,2526,219648,43520,16,387566
2026-04-10 17:17:06.363,54810,ESTAB,bbr,232,29.958,0.866,20.073,1448,36,52128,28960,3886435,3861819,3708,NaN,2687,1329,2686,9,NaN,NaN,8310320,6692080,2670,219648,43520,17,177606
2026-04-10 17:17:06.602,54810,ESTAB,bbr,232,28.821,0.141,20.073,1448,36,52128,28960,4064041,4061643,3708,NaN,2810,1398,2809,9,NaN,NaN,8315448,6691224,2808,219648,43520,2,NaN
