Segment,Actual_Bitrate_Kbps,Quality_Switches,Stall_Duration_Sec,Live_Latency,Playback_Rate
1,864.0,0,0.0,4.48,1.084
2,4942.0,1,0.0,4.36,1.0745
3,4768.0,0,0.0,4.26,1.06
4,4454.0,0,0.0,4.18,1.044
5,5050.0,0,0.0,4.12,1.03
6,4206.0,0,0.0,4.08,1.0225
7,4126.0,0,0.0,4.045,1.013
8,4818.0,0,0.0,4.03,1.011
9,2546.0,0,0.0,4.013333333333333,1.0053333333333334
10,3756.0,0,0.0,4.005,1.002
11,4364.0,0,0.0,4.0,1.002
12,4758.0,0,0.0,4.0,1.002
13,4516.0,0,0.0,3.99,1.002
14,5022.0,0,0.0,3.99,0.998
15,4862.0,0,0.0,3.99,0.998
16,2754.0,0,0.0,3.9966666666666666,0.9979999999999999
17,3572.0,0,0.6477999999999999,4.422,1.0188000000000001
18,5018.0,0,2.1562,5.79,1.05
19,1638.0,1,0.4969999999999999,5.71,1.1
20,1824.0,0,0.7145000000000001,5.720000000000001,1.05
21,1806.0,0,0.9709999999999992,5.845000000000001,1.1
22,1948.0,0,0.7454999999999998,5.925000000000001,1.1
23,1182.0,0,0.07600000000000051,5.76,1.1
24,1630.0,0,0.0,5.61,1.1
25,1532.0,0,0.0,5.46,1.1
26,1698.0,0,0.0,5.26,1.1
27,1116.0,0,0.0,5.11,1.1
28,1432.0,0,0.0,4.96,1.1
29,1748.0,0,0.0,4.765,1.098
30,1582.0,0,0.0,4.575,1.0915
31,1540.0,0,0.0,4.4,1.0790000000000002
32,1622.0,0,0.0,4.29,1.067
33,1652.0,0,0.0,4.205,1.0510000000000002
34,1726.0,0,0.0,4.125,1.0314999999999999
35,1730.0,0,0.0,4.07,1.02
36,1742.0,0,0.0,4.04,1.0106666666666666
37,1778.0,0,0.0,4.015,1.005
38,580.0,0,0.0,4.005,1.005
39,688.0,0,0.0,4.0,1.001
40,1714.0,0,0.0,4.0,1.001
41,1826.0,0,0.0,4.0,1.001
42,1642.0,0,0.0,4.0,1.001
43,1648.0,0,0.0,3.9933333333333336,1.001
44,1632.0,0,0.0,3.99,1.001
45,1718.0,0,0.0,3.99,1.001
46,1850.0,0,0.0,3.99,1.001
47,1944.0,0,0.0,3.99,1.001
48,1110.0,0,0.0,3.99,1.001
49,1402.0,0,0.0,3.9850000000000003,1.001
50,1670.0,0,0.0,3.98,1.001
51,1236.0,0,0.0,3.98,1.001
52,1814.0,0,0.0,3.98,1.001
53,1902.0,0,0.0,3.98,1.001
54,1834.0,0,0.0,3.98,1.001
55,1630.0,0,0.0,3.98,1.001
56,1618.0,0,0.0,3.98,1.001
57,1598.0,0,0.0,3.975,1.001
58,1624.0,0,0.0,3.98,0.997
59,1640.0,0,0.0,3.9850000000000003,0.997
60,1728.0,0,0.0,3.9933333333333336,0.997
61,2054.0,0,0.0,4.0,0.9989999999999999
62,1756.0,0,0.0,4.0,1.001
63,1750.0,0,0.0,4.0,1.001
64,1650.0,0,0.0,4.0,1.001
65,1866.0,0,0.0,4.0,1.001
66,1816.0,0,0.0,4.0,1.001
67,1894.0,0,0.0,3.99,1.001
68,1156.0,0,0.0,3.99,1.001
69,1474.0,0,0.0,3.99,1.001
70,1520.0,0,0.0,3.99,1.001
71,1668.0,0,0.0,3.99,1.001
72,1750.0,0,0.0,3.99,1.001
73,1698.0,0,0.0,3.983333333333333,1.001
74,1796.0,0,0.0,3.98,1.001
75,1202.0,0,0.0,3.98,1.001
76,1234.0,0,0.0,3.98,1.001
77,1640.0,0,0.0,3.98,1.001
78,1638.0,0,0.0,3.98,1.001
79,1824.0,0,0.0,3.98,1.001
80,1806.0,0,0.0,3.97,1.001
81,1948.0,0,0.0,3.98,0.997
82,1182.0,0,0.0,3.98,0.997
83,1630.0,0,0.0,3.99,0.997
84,1532.0,0,0.0,4.0,0.997
85,1698.0,0,0.0,4.0,0.997
86,1116.0,0,0.0,4.0,1.001
87,1432.0,0,0.0,4.0,1.001
88,1748.0,0,0.0,4.0,1.001
89,1582.0,0,0.0,4.0,1.001
