time_hms,kb_per_sec_in,kb_per_sec_out
06:02:13,0.0,0.0
06:02:14,0.0,0.4
06:02:15,0.0,0.0
06:02:16,0.0,0.0
06:02:17,0.0,0.0
06:02:18,0.0,0.1
06:02:19,0.1,0.1
06:02:20,0.0,0.1
06:02:21,0.0,0.0
06:02:22,0.0,0.4
06:02:23,0.0,0.0
06:02:24,0.0,0.0
06:02:25,0.0,0.0
06:02:26,0.0,0.0
06:02:27,0.0,0.0
06:02:28,0.0,0.0
06:02:29,0.0,0.0
06:02:30,0.0,0.0
06:02:31,0.0,0.0
06:02:32,0.0,0.1
06:02:33,0.0,0.0
06:02:34,0.1,0.0
06:02:35,0.0,0.1
06:02:36,0.0,0.1
06:02:37,0.0,0.1
06:02:38,0.0,0.4
06:02:39,0.0,0.0
06:02:40,0.0,0.0
06:02:41,0.0,0.0
06:02:42,0.0,0.0
06:02:43,13.7,310.9
06:02:44,10.5,451.5
06:02:45,15.4,494.5
06:02:46,18.9,491.8
06:02:47,20.5,505.5
06:02:48,19.0,537.7
06:02:49,17.4,502.3
06:02:50,14.2,489.1
06:02:51,11.5,444.8
06:02:52,10.5,647.1
06:02:53,13.6,543.7
06:02:54,9.7,421.2
06:02:55,9.3,393.0
06:02:56,11.3,467.0
06:02:57,9.5,424.1
06:02:58,8.3,415.2
06:02:59,9.6,456.6
06:03:00,10.8,468.5
06:03:01,10.7,463.9
06:03:02,10.7,436.0
06:03:03,8.9,409.4
06:03:04,7.7,412.0
06:03:05,10.2,459.4
06:03:06,12.0,465.6
06:03:07,9.8,469.9
06:03:08,12.2,493.6
06:03:09,11.4,564.5
06:03:10,11.8,476.2
06:03:11,9.2,478.7
06:03:12,10.2,449.3
06:03:13,9.4,397.4
06:03:14,9.8,447.7
06:03:15,9.0,393.0
06:03:16,10.0,444.7
06:03:17,9.6,446.2
06:03:18,9.6,422.5
06:03:19,9.8,472.9
06:03:20,10.4,432.7
06:03:21,11.3,518.6
06:03:22,9.0,416.7
06:03:23,9.9,484.6
06:03:24,10.0,446.3
06:03:25,10.9,412.3
06:03:26,9.9,458.1
06:03:27,9.8,450.7
06:03:28,9.3,438.9
06:03:29,10.4,428.6
06:03:30,9.8,441.7
06:03:31,9.9,481.8
06:03:32,11.0,472.9
06:03:33,10.2,681.2
06:03:34,14.2,552.7
06:03:35,10.1,452.2
06:03:36,10.2,425.1
06:03:37,8.3,372.5
06:03:38,11.0,538.0
06:03:39,11.2,471.5
06:03:40,10.7,523.1
06:03:41,13.3,749.3
06:03:42,13.1,636.7
06:03:43,12.2,463.9
06:03:44,9.5,443.3
06:03:45,11.0,455.2
06:03:46,9.9,455.2
06:03:47,9.1,471.4
06:03:48,10.5,458.1
06:03:49,9.9,441.5
06:03:50,11.3,438.9
06:03:51,8.7,415.1
06:03:52,10.7,465.4
06:03:53,9.9,452.2
06:03:54,8.4,436.0
06:03:55,10.3,449.3
06:03:56,10.7,467.0
06:03:57,10.5,428.6
06:03:58,15.7,733.1
06:03:59,10.4,440.3
06:04:00,8.3,468.4
06:04:01,9.4,461.2
06:04:02,13.8,699.0
06:04:03,11.6,579.3
06:04:04,15.8,818.7
06:04:05,10.2,477.3
06:04:06,13.4,820.2
06:04:07,12.8,472.9
06:04:08,10.0,396.1
06:04:09,8.2,416.8
06:04:10,11.5,461.1
06:04:11,10.2,418.1
06:04:12,10.7,525.7
06:04:13,10.5,449.3
06:04:14,7.7,425.9
06:04:15,10.5,421.2
06:04:16,9.1,447.8
06:04:17,10.4,440.2
06:04:18,10.0,431.6
06:04:19,10.3,462.6
06:04:20,11.9,555.6
06:04:21,8.2,441.8
06:04:22,10.0,455.1
06:04:23,7.1,437.4
06:04:24,11.1,480.2
06:04:25,10.5,464.1
06:04:26,8.8,430.1
06:04:27,9.4,400.5
06:04:28,9.9,456.7
06:04:29,9.8,493.6
06:04:30,11.2,591.0
06:04:31,9.5,409.2
06:04:32,9.9,509.9
06:04:33,10.7,461.1
06:04:34,10.2,435.9
06:04:35,11.5,509.8
06:04:36,10.3,475.7
06:04:37,11.8,542.2
06:04:38,14.1,641.2
06:04:39,9.2,409.4
06:04:40,9.8,457.9
06:04:41,7.8,394.6
06:04:42,12.5,543.8
06:04:43,10.7,427.1
06:04:44,8.3,453.7
06:04:45,10.0,450.7
06:04:46,10.2,446.0
06:04:47,9.2,444.8
06:04:48,10.0,466.9
06:04:49,7.6,384.2
06:04:50,10.1,440.3
06:04:51,9.9,437.4
06:04:52,9.3,438.9
06:04:53,10.1,468.4
06:04:54,9.0,413.7
06:04:55,10.1,459.7
06:04:56,11.7,462.6
06:04:57,10.0,449.2
06:04:58,10.1,585.1
06:04:59,10.7,444.8
06:05:00,9.5,484.6
06:05:01,12.3,475.8
06:05:02,11.7,524.6
06:05:03,11.3,469.9
06:05:04,8.8,554.1
06:05:05,11.9,461.0
06:05:06,9.4,440.4
06:05:07,8.6,422.5
06:05:08,9.9,437.4
06:05:09,8.8,415.2
06:05:10,8.8,475.9
06:05:11,10.7,493.6
06:05:12,8.7,402.0
06:05:13,9.4,446.4
06:05:14,0.8,0.9
06:05:15,0.0,0.0
06:05:16,0.0,0.0
06:05:17,0.0,0.0
06:05:18,0.0,0.0
06:05:19,0.0,0.0
06:05:20,0.0,0.0
06:05:21,0.0,0.0
06:05:22,0.0,0.0
06:05:23,0.0,0.0
06:05:24,0.0,0.0
06:05:25,0.0,0.0
06:05:26,0.0,0.0
06:05:27,0.0,0.0
06:05:28,0.0,0.0
06:05:29,0.0,0.0
06:05:30,0.0,0.0
06:05:31,0.0,0.0
06:05:32,0.0,0.0
