timestamp,dst_port,state,cc_algo,rto_ms,rtt_ms,rtt_var_ms,min_rtt_ms,mss_bytes,cwnd_pkts,cwnd_bytes,ssthresh_bytes,bytes_sent,bytes_acked,bytes_received,bytes_retrans,segs_out,segs_in,data_segs_out,data_segs_in,retrans_outstanding,retrans_total,pacing_rate_bps,delivery_rate_bps,delivered_pkts,snd_wnd_bytes,rcv_wnd_bytes,unacked_pkts,notsent_bytes
2026-04-28 19:27:49.571,42616,ESTAB,cubic,224,22.578,7.182,20.207,1448,10,14480,NaN,2883,2883,408,NaN,3,5,2,1,NaN,NaN,10261312,1055728,3,48640,43520,NaN,NaN
2026-04-28 19:27:50.277,42622,ESTAB,cubic,232,28.794,0.355,20.065,1448,36,52128,NaN,122440,99272,822,NaN,86,39,85,2,NaN,NaN,28965400,6728144,70,113664,43520,16,67485
2026-04-28 19:27:50.513,42622,ESTAB,cubic,232,30.206,0.459,20.065,1448,36,52128,52128,280509,257341,1644,NaN,196,95,195,4,NaN,NaN,16566848,5875936,180,113664,43520,16,202720
2026-04-28 19:27:50.759,42622,ESTAB,cubic,232,29.849,0.941,20.065,1448,36,52128,52128,481781,457165,1644,NaN,335,164,334,4,NaN,NaN,16765272,6673768,318,113664,43520,17,227336
2026-04-28 19:27:50.991,42622,ESTAB,cubic,232,28.676,0.691,20.065,1448,36,52128,52128,684501,659885,1644,NaN,475,234,474,4,NaN,NaN,17450752,6300568,458,113664,43520,17,250504
2026-04-28 19:27:51.221,42622,ESTAB,cubic,232,28.871,0.357,20.065,1448,36,52128,52128,874189,851021,1644,NaN,606,300,605,4,NaN,NaN,17332968,6698312,590,113664,43520,16,286704
2026-04-28 19:27:51.456,42622,ESTAB,cubic,232,28.666,1.014,20.065,1448,36,52128,52128,1071117,1049397,1644,NaN,742,365,741,4,NaN,NaN,17456992,5949088,727,113664,43520,15,202720
2026-04-28 19:27:51.684,42622,ESTAB,cubic,232,29.218,0.524,20.065,1448,36,52128,52128,1263701,1240533,1644,NaN,875,431,874,4,NaN,NaN,17127192,6708016,859,113664,43520,16,24034
2026-04-28 19:27:51.928,42622,ESTAB,cubic,236,34.12,10.848,20.065,1448,36,52128,52128,1287735,1287735,1644,NaN,892,448,891,4,NaN,NaN,14666616,2753928,892,113664,43520,NaN,NaN
2026-04-28 19:27:52.188,42622,ESTAB,cubic,232,31.067,10.83,20.065,1448,18,26064,52128,1314986,1290618,2468,NaN,911,452,910,6,NaN,NaN,8053824,2753928,894,113664,43520,17,324352
2026-04-28 19:27:52.425,42622,ESTAB,cubic,232,29.241,0.522,20.065,1448,36,52128,52128,1513362,1490194,2468,NaN,1048,521,1047,6,NaN,NaN,17113576,6693800,1032,113664,43520,16,238920
2026-04-28 19:27:52.659,42622,ESTAB,cubic,232,29.017,0.557,20.065,1448,36,52128,52128,1710290,1685674,2468,NaN,1184,586,1183,6,NaN,NaN,17245752,6699608,1167,113664,43520,17,267880
2026-04-28 19:27:52.889,42622,ESTAB,cubic,232,29.324,0.658,20.065,1448,36,52128,52128,1902874,1876810,2468,NaN,1317,652,1316,6,NaN,NaN,17065136,6709520,1299,113664,43520,18,188240
2026-04-28 19:27:53.127,42622,ESTAB,cubic,232,29.986,0.756,20.065,1448,36,52128,52128,2099802,2076634,2468,NaN,1453,721,1452,6,NaN,NaN,16688536,6697640,1437,113664,43520,16,217200
2026-04-28 19:27:53.363,42622,ESTAB,cubic,232,29.31,1.197,20.065,1448,36,52128,52128,2301074,2276458,2468,NaN,1592,790,1591,6,NaN,NaN,17073144,6297576,1575,113664,43520,17,126864
2026-04-28 19:27:53.588,42622,ESTAB,cubic,236,35.249,10.281,20.065,1448,36,52128,52128,2427938,2427938,2468,NaN,1680,843,1679,6,NaN,NaN,14196656,2711640,1680,113664,43520,NaN,NaN
2026-04-28 19:27:53.821,42622,ESTAB,cubic,236,35.249,10.281,20.065,1448,36,52128,52128,2427938,2427938,2468,NaN,1680,843,1679,6,NaN,NaN,14196656,2711640,1680,113664,43520,NaN,NaN
2026-04-28 19:27:54.055,42622,ESTAB,cubic,236,35.249,10.281,20.065,1448,36,52128,52128,2427938,2427938,2468,NaN,1680,843,1679,6,NaN,NaN,14196656,2711640,1680,113664,43520,NaN,NaN
2026-04-28 19:27:54.288,42622,ESTAB,cubic,232,28.636,0.244,20.065,1448,36,52128,52128,2517453,2491389,3292,NaN,1742,868,1741,8,NaN,NaN,17475128,6708448,1724,113664,43520,18,262088
