time_hms,kb_per_sec_in,kb_per_sec_out
05:21:43,0.8,3.1
05:21:44,6.9,220.8
05:21:45,17.6,852.9
05:21:46,13.6,595.1
05:21:47,18.4,831.0
05:21:48,19.4,834.0
05:21:49,18.6,854.4
05:21:50,6.1,236.8
05:21:51,18.6,854.3
05:21:52,6.3,244.9
05:21:53,18.6,854.3
05:21:54,7.3,291.8
05:21:55,18.6,854.2
05:21:56,7.5,300.4
05:21:57,18.3,854.2
05:21:58,7.2,284.8
05:21:59,18.6,854.2
05:22:00,8.2,329.6
05:22:01,18.7,855.7
05:22:02,6.1,235.9
05:22:03,6.1,271.8
05:22:04,1.4,20.4
05:22:05,7.8,357.2
05:22:06,1.0,3.0
05:22:07,18.5,847.9
05:22:08,4.7,194.5
05:22:09,18.4,824.2
05:22:10,9.0,411.7
05:22:11,18.3,794.8
05:22:12,11.0,502.3
05:22:13,13.7,536.2
05:22:14,10.6,428.5
05:22:15,10.9,383.2
05:22:16,11.0,437.5
05:22:17,11.5,426.8
05:22:18,11.9,467.0
05:22:19,12.1,457.6
05:22:20,10.7,425.6
05:22:21,11.5,423.6
05:22:22,10.8,440.4
05:22:23,11.5,425.2
05:22:24,11.3,440.1
05:22:25,11.1,400.3
05:22:26,10.0,395.0
05:22:27,8.7,318.9
05:22:28,11.5,455.0
05:22:29,9.4,344.2
05:22:30,7.5,318.9
05:22:31,7.2,280.5
05:22:32,11.2,439.0
05:22:33,9.4,327.3
05:22:34,11.9,463.9
05:22:35,9.1,345.5
05:22:36,10.9,425.7
05:22:37,8.4,315.2
05:22:38,11.3,440.3
05:22:39,9.8,370.7
05:22:40,11.1,439.3
05:22:41,8.7,309.0
05:22:42,10.8,430.0
05:22:43,10.1,362.0
05:22:44,10.9,430.0
05:22:45,10.0,367.1
05:22:46,11.1,440.4
05:22:47,9.6,352.1
05:22:48,11.5,453.7
05:22:49,9.2,335.3
05:22:50,11.4,449.2
05:22:51,12.1,432.8
05:22:52,12.0,467.0
05:22:53,11.9,419.9
05:22:54,11.5,452.2
