      Time     KB/s_in    KB/s_out
  05:10:40         0.9         3.2
  05:10:41        14.3       564.2
  05:10:42        17.2       835.1
  05:10:43        14.6       653.4
  05:10:44        13.1       598.5
  05:10:45        13.2       564.3
  05:10:46        14.9       680.5
  05:10:47        12.9       541.0
  05:10:48         9.3       427.4
  05:10:49        12.3       520.4
  05:10:50        16.2       744.5
  05:10:51        11.7       494.9
  05:10:52        15.9       725.5
  05:10:53        11.2       472.7
  05:10:54        14.6       667.3
  05:10:55        10.6       444.6
  05:10:56        18.5       847.3
  05:10:57        10.2       419.5
  05:10:58        14.4       656.9
  05:10:59         9.6       392.9
  05:11:00        14.5       663.4
  05:11:01         9.0       370.7
  05:11:02        18.6       854.2
  05:11:03         8.8       359.3
  05:11:04         6.6       301.7
  05:11:05         8.1       322.3
  05:11:06        13.9       639.6
  05:11:07         7.4       299.9
  05:11:08        17.8       816.8
  05:11:09         7.1       283.3
  05:11:10        14.2       601.6
  05:11:11        12.0       436.1
  05:11:12        10.2       387.2
  05:11:13        11.2       425.6
  05:11:14        12.0       406.4
  05:11:15        11.7       399.1
  05:11:16        10.6       422.6
  05:11:17        11.8       412.4
  05:11:18        11.7       446.3
  05:11:19        10.9       419.6
  05:11:20        10.6       421.0
  05:11:21        11.4       413.9
  05:11:22        10.5       415.3
  05:11:23        11.6       412.6
  05:11:24        11.5       437.5
  05:11:25        11.9       424.1
  05:11:26        10.4       426.9
  05:11:27        12.5       441.8
  05:11:28        10.1       397.5
  05:11:29        11.7       420.0
  05:11:30        11.0       433.1
  05:11:31        11.7       419.8
  05:11:32        11.0       416.1
  05:11:33        11.4       416.7
  05:11:34        11.2       410.5
  05:11:35        11.3       440.4
  05:11:36        11.4       415.4
  05:11:37        11.1       433.2
  05:11:38        11.6       397.6
  05:11:39        10.6       415.2
  05:11:40        11.6       411.9
  05:11:41         9.9       382.8
  05:11:42         9.6       357.3
  05:11:43        11.4       433.0
  05:11:44        10.8       407.5
  05:11:45        11.3       457.9
  05:11:46         9.3       337.8
  05:11:47        10.8       427.0
  05:11:48         9.8       369.8
  05:11:49        11.2       449.3
  05:11:50         9.9       349.0
  05:11:51        11.3       440.2
  05:11:52         9.9       375.6
  05:11:53        11.3       434.5
  05:11:54        11.5       418.8
  05:11:55        11.3       436.1
  05:11:56        10.1       362.1
  05:11:57        11.0       439.0
  05:11:58        11.6       418.5
  05:11:59        10.7       413.7
  05:12:00        12.1       437.1
  05:12:01        11.3       446.3
  05:12:02        10.9       407.9
  05:12:03         2.3        83.0
  05:12:04         6.0       227.2
  05:12:05         3.0       101.3
  05:12:06         6.3       208.1
  05:12:07        11.3       429.9
  05:12:08        10.9       390.1
  05:12:09        11.4       418.3
  05:12:10        12.0       443.3
  05:12:11        10.7       411.1
  05:12:12        11.6       426.9
  05:12:13        10.6       411.5
  05:12:14        11.9       423.8
  05:12:15        10.7       431.2
  05:12:16        11.3       404.8
  05:12:17        10.4       431.3
  05:12:18        11.5       416.5
  05:12:19        11.0       421.0
  05:12:20        11.1       400.5
  05:12:21        11.6       436.9
  05:12:22        11.6       431.4
  05:12:23        10.7       414.9
  05:12:24        11.9       422.5
  05:12:25        11.1       437.4
  05:12:26         8.6       312.0
  05:12:27        11.4       438.9
  05:12:28        10.6       374.9
  05:12:29        10.9       441.8
  05:12:30         4.7       157.6
